Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Akhaura Upazila Health Complex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.8645379,91.203273
HOMEOPATHY CLINIC by Dr Sangeeta nath,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,alternative,Unknown,Unknown,Unknown,23.8356932,91.3670021
Life Line Nursing Home and Research Centre,"Sakuntala Road Extension, Palace Compound Agartala",Unknown,Unknown,799001,Tripura,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.834373,91.2809747
Sarkar Clinic and Nursing Home,"46, Hgb Road, Agartala",Unknown,Unknown,799001,Tripura,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.8289863,91.2773417
Agartala Hospital And Research Centre,"9A, PO: Chowmuhani, 67 Mantribari Road Agartala",Unknown,Unknown,799001,Tripura,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.8303051,91.2784789
"Govinda Ballav Panth Hospital, West Tripura","Kunjaban, Agartala",Unknown,Unknown,799006,Tripura,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.8596535,91.2916915
Devlok Hospital,"Regd No: F.Cmo(W) 9(217), Cle/2011 24 Dimsagar, Opposite Astable Ground, Vip Road, Agartala",Unknown,Unknown,799001,Tripura,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.8410733,91.282737
"Cancer Hospital,West Tripura",Kunjaban,Unknown,Unknown,799006,Tripura,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.8608346,91.294603
Bhaumik Polyclinic and Nursing Home,"A.A Road, Dhaleswar, Kalyani, Agartala",Unknown,Unknown,799007,Tripura,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.8336848,91.2985526
Agartala Govt Medical College and GBP Hospital,"Govt Medical College Street, GB Baazar, Govt Medical College Street",Unknown,Unknown,799006,Tripura,Unknown,hospital,Unknown,Unknown,www.agmc.nic.in,Unknown,23.8602986,91.2928221
"Ranirbazar, PHC","West Tripura, Ranir Bazar",Unknown,Unknown,799035,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.8357797,91.3720436
"Gandhigram, PHC","Gandhigram baazar, Gandhigram Baazar, Bamutia Road",Unknown,Unknown,799012,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.891768,91.2804389
"Narsinghar, PHC","Near Narsinghar H S school, Narshingarh Gram Panchayet",Unknown,Unknown,799009,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.907302,91.249742
Paschim Bhubanban Urban Primary Health Centre,"Ushabazar Road, Paschim Bhubanban High School, Bhubanban",Unknown,Unknown,799009,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.867122,91.254898
"Bamutia, PHC","Taltala School & Sri Krishna Mission School, Taltala, Near Taltala Baazar",Unknown,Unknown,799211,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.9646761,91.2854507
"Health Sub-Centre ,Rangutia",Bamutia,Unknown,Unknown,Unknown,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.9419017,91.2809513
"Primary Health Sub-Centre ,Old Agartala",Khayerpur,Unknown,Unknown,Unknown,Tripura,Unknown,clinic,centre,Unknown,Unknown,Unknown,23.8430292,91.3440932
"Health Sub-Centre ,Harinakhola",Mohanpur,Unknown,Unknown,Unknown,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.9674032,91.3482667
"Sub Health Center ,Subhash Nagar,Dharpara",Pratapgarh,Unknown,Unknown,Unknown,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.8081545,91.2931144
"Community Health Centre, Mohanpur",Mohanpur,Unknown,Unknown,799211,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.9712836,91.3724434
Laxmi Clinic,"Palace Compound, Kalibari Road, behind Laxmi Narayan Temple, Agartala",Unknown,Unknown,799001,Tripura,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.8344295,91.2843872
Urban Primary Health Centre,West Tripura,Unknown,Unknown,799001,Tripura,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.8121814,91.2827289
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.8191641,91.2337122
ASR Hospital,Dhaleswar,Unknown,Unknown,799001,Tripura,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.8263332,91.2819867
Venkataeswara Hospitals,"CR Road, Santipara, Dhaleswar, Agartala",Unknown,Unknown,799001,Tripura,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.8303963,91.2864718
VHAT Eye Hospital,"Usha Bazar, Agartala",Unknown,Unknown,799009,Tripura,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.878826,91.254702
Homoeopathic Hospital,"Sadhu Tilla, Subhash Nagar, Jogendra Nagar, Agartala",Unknown,Unknown,799004,Tripura,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.8077381,91.2981913
ECHS Polyclinic,"Salbagan, Agartala",Unknown,Unknown,799012,Tripura,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.8808017,91.2934195
