Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
sarojini nyadu emergency hosptial,"SN Medical College, Mahatma Gandhi Road",Unknown,agra,282001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1881234,78.0016004
Vaibhav Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.181373,78.0015211
G.K. hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1451061,78.0140596
National Jalma Institute for Leprosy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1687524,78.0509193
masjid,Unknown,NOORI DARWAJA ROAD,agra,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.189292,78.0108612
police station,Unknown,milan vatika,agra,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1894012,78.0113638
Amit Jaggi Memorial Hospital,Vaibhav Nagar,Unknown,Unknown,282001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,http://ajmh.in/index.html,Unknown,27.1582063,78.0344299
Malhotra hospital,Unknown,Unknown,agra,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1823828,78.0011717
Dixit Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1622856,78.039799
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,27.1899878,78.0125468
Shanti Mangalick Hospital,Fatehabad Road,Unknown,Unknown,Unknown,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,http://shantimangalickhospital.org/,Unknown,27.157519,78.056171
Unknown,Unknown,Shilpgram Road,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,27.164146,78.0537167
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,27.1638185,78.0388065
Ram Tej Hospital,Vibhav Nagar,Unknown,Unknown,282001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1597819,78.034156
Siromani Hospital,"19, Ajmer Road, Latakunj Baluganj",Unknown,Unknown,282001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.166243,78.0137041
Dr Arti Manoj Hospital,Chungi Chungi,Unknown,Unknown,282001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1538132,78.0344953
Agarwal Eye Care Hospital,"72-A, Professor Colony, Hart Paruat",Unknown,Unknown,282002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1982199,78.0003119
Vishal Nursing Home,"16/296, Shitla Gali, Near Chitra Cinema",Unknown,Unknown,282003,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,27.1907252,78.0096674
"Upadhyay Hospital, Agra",Shahid Nagar Crossing,Unknown,Unknown,282001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.1547492,78.0340521
