Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Madar,Unknown,305024,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.4574115,74.6839031
R.K. Hospital,"Near Water Tank, Janta Colony,Vaishali Nagar",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4925786,74.6268037
"J.L.N.Medical College and Hospital,Ajmer",J.L.N.Medical College & Hospital,Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4673161,74.6363519
Vaishali Hospital and Research Centre,"Near Bank Of Baroda, Vaishali Nagar",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4880356,74.6298911
Bharat Hospital,"14, Lohagal Road, Shastri Nagar",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4813255,74.6449569
Dr.Kshetrapal Eye Hospital and Lasik Laser Centre,Kutchery Road,Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4636654,74.638785
Ajmer Hospital,"158/10,Civil Lines",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4748311,74.6378651
Sewa Mandir Polyclinic,"3-A, Mayur Colony, Alwar Gate",Unknown,Unknown,305001,Rajasthan,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.4472496,74.6482077
Porwal Nursing Home,Beawar Road,Unknown,Unknown,305901,Rajasthan,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.4369347,74.6391419
Deepmala Pagarani Hospital and Research Centre,"76- A, Inside Swami Madhav Dwar, Adarsh Nagar",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4239471,74.6539055
Navjeevan Hospital and Research Centre,Ajmer,Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4219755,74.6512345
"St Francis Hospital, Ajmer",Beawar Road,Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4491216,74.6387154
Dr. Khunger Eye Care and Research Centre Pvt Ltd,"109, Near Post Office,Opposite P.N.B Ramganj,Beawar Road",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4295798,74.6367929
Dr. Nandlal Hospital and Research Centre,"B-34, Near Badhir Vidhyalaly, Vaishali Nagar",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4905681,74.6226979
Pratap Memorial Hospital and Research Centre,"Kutcheri Road,M.G. Road, OppositeRoad sc Building",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.463802,74.6387965
Mavens Hospital,"N-37, Opposite Reliance Fresh, Vaishali Nagar",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4879335,74.6276238
Jeevan Jyoti Hospital,"Ramganj, beawar road",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4282479,74.6361591
Mayani Hospital,"Sindhuwadi, Asha Ganj",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4463489,74.6317963
Vijay Government Dispansary,"Vinay Nagar, Pal Bhichala, Ajmer",Unknown,Unknown,305001,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.4507339,74.6456422
Sir Jitendra Government Hospital,"Nalasopra, Railway Quarters, Ajmer",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4499175,74.6398028
PHC Vaishali Nagar,"Janta Colony, Vaishali Nagar, Ajmer",Unknown,Unknown,305004,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.4922238,74.6261321
"PHC, Madarpura","Jaipur Road, Madarpura",Unknown,Unknown,305007,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.480301,74.6833
"UPHC, Ajaynagar","Near Old Bus Stand, Ajay Nagar, Ajmer",Unknown,Unknown,305001,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.434827,74.625899
"Government Hospital, Gaddi Maliyan","Near Chamunda Mata Ji Garden, Gaddi Malian, Ajmer",Unknown,Unknown,305001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4220151,74.6438516
PHC Ramnagar,"Near Govt. Girls Sen Sec School, Foy Sagar Road, Ramnagar",Unknown,Unknown,305004,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.4697,74.607532
"Government Dispensary Police Line, Ajmer","Police Lines, Ajmer",Unknown,Unknown,305001,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.477653,74.6495
"Government Dispensary, Gulab Bari","Pahli Gali, Gulab Bari",Unknown,Unknown,305001,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.4478764,74.6640543
Satellite Hospital Adarsh Nagar,"Government Girls Sr Sec School, Ajmer",Unknown,Unknown,305002,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.418547,74.655256
