Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Balson and Sons,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,25.4570525,81.859844
Rama Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,25.4578081,81.8604743
Sri Narayan Ashram Hospital,Shivkuti,Unknown,Unknown,211001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.4969605,81.8684147
Priti Hospital,"29- B, Pannalal Road, Near Indian Press Building",Unknown,Unknown,211002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.4573983,81.8541354
"Jeevan Jyoti Hospital, Allahabad","162, Bai Ka Bagh, Lowther Road",Unknown,Unknown,211003,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.436294,81.8465893
gupta medical store,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.4394997,81.8597543
Bhola Hospital,12/13 Lowther Road Darbhanga Colony,Lowther Road,Unknown,211002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.4534639,81.8558676
Dr. Deepak Agarwal Clinic,Unknown,Lowther Road,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.4549816,81.8574438
Priti Nursing And Maternity Home,No 39- C Y Chintamani Road George Town,Unknown,Unknown,211002,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.4502705,81.8590102
"Rama Hospital, Allahabad","131 - A, Malviya Road,George Town",Unknown,Unknown,211001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,https://www.ramahospitalprayag.com/,Unknown,25.452294,81.86083
Svasti Hospital,"463/580A, Mumfordganj (Muirabad Crossing )",Unknown,Unknown,211002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.4767798,81.850069
City Hospital and Orthopaedic and Taruma Center,"George Town, George Town",Unknown,Unknown,211002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.4517419,81.8617031
Dev Nursing Home,"12/18/E Kasturba Gandhi Road , Near Police Line",Unknown,Unknown,211001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.4633446,81.8484825
"Phoenix Hospital, Allahabad","49 A/163, Tagore Town, Allahabad, Near Colonelganj Inter College",Unknown,Unknown,211002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.4559399,81.8616736
Sardar Patel Hospital,"Near Chungi, Alopibagh",Unknown,Unknown,211006,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.4431995,81.8715656
