Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,12.9134182,77.6774852
Shanti Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.9235041,77.5857517
Apollo Hospital,"74/1, Bellandur, Ring Road, Varthur",Outer Ring Road,"Belandur, Bangalore",560037,Karnataka,Unknown,hospital,hospital,+91-80-40222555,http://www.apolloclinicbangalore.com/,Unknown,12.9263714,77.6765455
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9314045,77.5924636
Narayana Hrudayalaya Dental Clinic,Unknown,Outer Ring Road,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.9155759,77.6349897
Dr Ganesh Medical and Diabetic Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,12.9129006,77.6419101
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.9601717,77.6387672
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.9603255,77.638371
Ashwin Pharma,Unknown,HAL Airport Road,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.9600171,77.6454021
MedPlus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9605409,77.6372314
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.9600511,77.6371358
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.9586589,77.6375328
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.9581727,77.6402029
Apollo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9686175,77.6489441
JBS Hospital,Unknown,Kanakapura Road,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.9207173,77.5745968
Jayanagar heart Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,12.9231684,77.584433
Sri Vijayalakshmi Pragathi Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.0371728,77.6409543
MedPlus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,13.0310427,77.6353019
Sathya Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.0185503,77.6364728
Sathya Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,13.0183245,77.6364269
Chord Road Hospital Pvt Ltd,"#100/101, Lic Colony West Of Chord, Basaveshwaranagar",West of Chord Road (LIC Colony),"Basaveshwara Nagar, Bangalore",560079,Karnataka,Unknown,hospital,Unknown,+91-80-23225858;+91-80-23225868;+91-80-23225878,http://www.chordroadhospitalent.com/,Unknown,12.9981215,77.5404836
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,13.0360931,77.5317332
Pristline Hospital,Unknown,Modi Hospital Road (West of Chord Road),"Basaveshwara Nagar, Bangalore",560079,Unknown,Unknown,hospital,hospital,+91-80-41354444;+91-80-51270776,http://www.pristinehospitals.com/,Unknown,12.9978931,77.5436127
"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited","202, R.V.Road",Rashtriya Vidyalaya Road,Unknown,560001,Karnataka,Unknown,hospital,hospital,Unknown,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf,Unknown,12.9376734,77.5802836
Sri Manjunath Medical & General stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.9248306,77.6642849
Dava Sagar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,13.0257078,77.6517029
Apollo Pharmacy,Unknown,Horamavu Agara Main Road,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,13.0231103,77.6510216
Pushyamee,Unknown,8th Main,"Malleswaram, Bangalore",Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,13.0006252,77.5652425
Manipal Northside Hospital,"71, 11Th Main Road, Opposite Malleshwaram Railway Station, Malleshwaram","11th Main Road, Opp Railway Station, Malleswaram",bangalore,560003,Karnataka,Unknown,hospital,Unknown,080 2222 1111,Unknown,Unknown,13.0011275,77.5639285
Manipal North Side Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,13.0009721,77.5640265
Arvind Diagnostics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,laboratory,Unknown,Unknown,Unknown,13.0072994,77.5784789
