Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Shri Ram Ganga Hospital,"Subash Nagar, Badaun Road",Unknown,Unknown,243001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3339901,79.3991308
Jan Seva Hospital,"Badaun Road, Parag Doodh Factory Ke Samney Karegana",Unknown,Unknown,243001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3221402,79.3917882
UPHC Bareilly,Choupla Bareilly,Unknown,Unknown,243001,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,28.3657933,79.3942559
Navoday Hospital,"Karamchari Nagar, Bareilly",Unknown,Unknown,243005,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3839344,79.398923
Aaliya Hospital,"City Station Road, Bareilly",Unknown,Unknown,243122,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3600251,79.3999327
Camphor Hospital,"Camphor Colony, Gate, Rampur Road, Infront Of C.B.Ganj, Bareilly",Unknown,Unknown,243502,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3911204,79.3825726
Pratap Hospital,"Izatnagar, Bareilly",Unknown,Unknown,243502,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3811474,79.3950689
Ravi Hospital & Trauma Centre,"Mini Bypass, Karamchari Nagar, Izatnagar, Bareilly",Unknown,Unknown,243001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3810442,79.3922424
Shraddha Hospital,"Saidpur Hawkins Road, Izatnagar, Bareilly",Unknown,Unknown,243502,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3815608,79.3968114
Diwakar Multi Speciality Hospital & Advanced Trama Centre,"Mini Bypass Road, Karamchari Nagar, Bareilly",Unknown,Unknown,243001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3829574,79.3973847
"SubCentre, Unchagaon",Unchagaon,Unknown,Unknown,243003,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,28.3425326,79.3719251
