Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Dr. Pawans Hospital - Budhlada,Fatehabad - Bhikhi Rd,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9281662,75.5452573
SDH Budhlada,Near Old Court,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9251055,75.5581055
Bone Specialist,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.926693,75.554206
Goyal Nursing Home,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.924966,75.554283
Hope Hospital,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.926641,75.545385
Government Hospital,Borawal,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.997622,75.547121
Civil Hospital,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9254578,75.557975
Garg Psychiatry Nursing Home,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9245344,75.5530498
Gagan Nursing Home,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9243128,75.5506669
Dr. Bangali Hospital,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9257264,75.5526984
Dr. Om Prakash Nursing Home,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9259986,75.5596369
Janta Hospital,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.925609,75.552547
Dr. Bengali Clinic,Unknown,Unknown,Unknown,151501,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.932969,75.561232
Deol Hospital,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9266122,75.5548293
Dr. Gopal Hospital,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9230786,75.550855
Smt. Satya Devi Memorial Gupta Hospital,Budhlada,Unknown,Unknown,151502,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9296914,75.5465855
"SubCentre, Biroke Kalan",Biroke Kalan,Unknown,Unknown,151502,Punjab,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.9933078,75.5925572
"SubCentre,Gurne Kalan",Gurne Kalan,Unknown,Unknown,151502,Punjab,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.9729322,75.54621
"SubCentre,Chak Bhai Ke",Chak Bhai Ke,Unknown,Unknown,151502,Punjab,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.9542374,75.5745247
"SubCentre,Phaphre Bhaike",Phaphre Bhaike,Unknown,Unknown,151502,Punjab,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.985138,75.5078242
