Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Madaan Nursing and Maternity Home,"Gt Road, Bhatinda, beside Madan Lal Footware",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2138936,74.9432588
"Gurdev Hospital, Bathinda","Ganesha Basti,Near Nirankari Bhavan",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,"01645001566,9815335166,9356858058",Unknown,Unknown,30.2180031,74.9405256
CHHABRA HOSPITAL & TEST TUBE BABY CENTRE,"Near Stadium, 80 Ft Road",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,http://www.chhabrahospital.com/,Unknown,30.2173475,74.9455314
"Deol Hospital, Bathinda","Opposite Holy Rosary Church,power House Road",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2078666,74.9576107
Delhi Nursing Home & Hair Transplant Clinic,"Near St No 1, Biwi Wala Road",Unknown,Unknown,151001,Punjab,Unknown,clinic,Unknown,Unknown,https://delhihairclinic.in/,Unknown,30.2135725,74.9478423
"Dhillon Hospital, Rampuraphul","Near Railway Crossing,Ajit Road, Rampuraphul",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2110803,74.9507922
Bombay Clinic and Multispeciality Hospital,"Opp Mangla Jewellers ,Old City, Bathinda",Unknown,Unknown,151001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.2102418,74.9398604
"Preet Hospital, Bathinda",Ganesha Basti G.T.Road,Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2034165,74.9544543
"Surya Hospital / Khurana Eye Care, Bathinda","No.7, Goniana Road, Malviya Nagar",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2142524,74.9425101
Singla Eye and Phaco Centre,"Near Hanuman Chowk, Opposite Omega Centre, G.T. Road",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.216223,74.9465371
Romana Hospital,"21844, Power House Rd, Model Town, Phase-3, Model Town, Bathinda",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2081354,74.9566477
Sanjivini Children Hospital,"Bibi wala Road, Near Fauji Chowk",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,https://sanjivinichildrenhospital.business.site/,Unknown,30.2123117,74.9467953
Chahal Hospital,G.T.Road Ganesha Basti,Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.217167,74.9506328
Garg Multispeciality Hospital,"Street Number 12, Batinda, Bathinda",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2117461,74.9505866
Darshan E N T Allergy and Endoscopic Center,"Mall Road, Calle Pizano, Old City, Bathinda, Punjab 151001",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2125018,74.9400361
Chandigarh Children Maternity Hospital,"Jagdish Monga Street, Ganesh Nagar, Bathinda",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2199621,74.939735
Ludhiana Maternity Hospital,"Mall Road, Opposite Nagpal Hospital, Dhobi Bazar, Old City, Bathinda",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2122811,74.9421218
Wadi Hospital,"Malviya Nagar, Bathinda",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2162648,74.9414838
M. D Hospital,"House No. 2741-A, Mathra Dass Road,Goniana Road (G.T. Road)",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,http://mathradassmricentre.com/,Unknown,30.2157856,74.9426781
Badyal Advanced Bone Joint And Children Hospital,"Badyal Advanced Bone Joint and Children Hospital, Batinda, Bathinda",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2157885,74.9493246
Pragma Hospital,"Aggarwal Colony, Bathinda",Unknown,Unknown,151001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.2215445,74.9450009
