Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Gindodi Devi Memorial Charitable Reserch Center,"New Khursipar , G. E. Road",Unknown,Unknown,491001,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2075561,81.4013372
Manoharlal Government Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.2077162,81.4011762
S.S. Hospital,Nandani Road Near Chhapani Chock,Unknown,Unknown,490036,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2207349,81.3805121
Lal Bahadur Shastri Civil Hospital,Infront Of Nagar Nigam,Unknown,Unknown,490023,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2082539,81.3554683
Apollo Bsr Hospital,"Junwani Road, Smriti Nagar, Near Chaohan Towers",Unknown,Unknown,490020,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2162229,81.3232684
Shree Ambe Hospital,"Near Heavey Restorent , G E Road Power House",Unknown,Unknown,491001,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.209254,81.3731965
Chandulal Chandrakar Hospital,"Nehru Nagar, G E Road, Bhilai",Unknown,Unknown,490023,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2002044,81.3225931
Bhilai Nursing Home,"Opp Maurya Talkies, Sirsa Road, Bhilai",Unknown,Unknown,490001,Chhattisgarh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,21.2093283,81.3585717
Bhilai Gayatri Hospital,"Near Supela Thana , Priyodarshni Pariror G.E.Road",Unknown,Unknown,491001,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.204333,81.3416523
"Suraj Hospital, Durg",Nehru Nagar,Unknown,Unknown,490009,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2013325,81.3214741
"Pragya Hospital, Durg",G E Road Power House,Unknown,Unknown,490023,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2093754,81.3720323
Sharma Nethralaya,"1/24, Dakshin Gangotry",Unknown,Unknown,490020,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2057046,81.3476711
"Jan Kalyan Hospital, Bhilai","Kailash Nagar, M.P.Housing Board",Unknown,Unknown,490026,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2367531,81.3688438
Govt Hospital BHILAI,"Contractor Colony, Supela, Bhilai",Unknown,Unknown,495678,Chhattisgarh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,21.2080862,81.3552214
PHC Kohka Bhilai,"Kohka, Bhilai",Unknown,Unknown,490023,Chhattisgarh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,21.225097,81.339919
PHC Vaishali Nagar,"VILLAGE RANCHIRAI, RANCHIRAI",Unknown,Unknown,490023,Chhattisgarh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,21.2239273,81.3538892
PHC Khapri,"Jevra Sirsa, Infront of Govt. High School Jevra Sirsa",Unknown,Unknown,495115,Chhattisgarh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,21.2487672,81.3116176
PHC Surdung,Surdung,Unknown,Unknown,490024,Chhattisgarh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,21.25676,81.413954
S R Hospital and Research Centre,Khapri Alias Pipardih,Unknown,Unknown,491001,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.233098,81.302638
GBR Nihar Hospital Jeora Sirsa Durg,Khapri Alias Pipardih,Unknown,Unknown,491001,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2464488,81.3061011
"Government Hospital, Charoda",Bhilai,Unknown,Unknown,490021,Chhattisgarh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2080882,81.4326871
Med Shop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.2180302,81.33233
Mahadev Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,21.220885,81.3068661
Sharma Multi-speciality Clinic,Unknown,GE Road,Unknown,490023,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,21.2069127,81.3473509
