Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Arihant Hospital and Research Sansthan,"Arihant Marg,Shastri Nagar",Unknown,Bhilwara,311001,Rajasthan,Unknown,hospital,hospital,Unknown,arihanthospitalbhilwara.com,Unknown,25.3327901,74.6357194
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.3446142,74.6413549
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.3447422,74.6414292
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.344787,74.6415779
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.3449309,74.6416486
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.345078,74.641723
Ravi Clinic,Unknown,Unknown,Bhilwara,311001,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,25.3451868,74.6417831
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.3453275,74.641861
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.3454107,74.6419919
Sahkari Medicine Store,Unknown,Unknown,Bhilwara,311001,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.3460728,74.6407638
Sai Medical,Unknown,New Housing Board Road,Bhilwara,311001,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,25.3294039,74.6432346
Dr. Alok Gupta,Unknown,"PNT Colony Road, Shastri Nagar",Bhilwara,311001,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,25.3315449,74.6375289
