Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Manisha Hospital,Unknown,"Main Road 3, Gomti Colony,","Bhopal, Madhya Pradesh 462003",462003,Unknown,Unknown,hospital,Unknown,0755 277 4851,Unknown,Unknown,23.213357,77.3921666
"Shekhar Hospital, Bhopal","A-69, Shahpura Near Manisha Market",Unknown,Unknown,462016,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2016302,77.4263831
Bhopal Fracture Hospital ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2126452,77.4387892
Asha Niketan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2100099,77.440881
"Vardaan Hospital, Bhopal","1st Floor,Shiv Narayan Complex Lily Talkies Square Jehangirabad",Unknown,Unknown,462008,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2521256,77.4149495
"Khan Shakir ali khan aspataal, gas rahat, bhopal",BHRAT TALKIES ROAD,Near Station,Unknown,462013,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2617176,77.4104527
Bhopal Eye Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2682768,77.404835
Seva Sadan Eye Hospital Trust,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospice,Unknown,Unknown,Unknown,23.2730246,77.3400647
Shri Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,23.2377581,77.402213
Aastha Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2324175,77.3944885
HAKIM SYED ZIAUL HASAN GOVERMENT UNANI MEDICAL COLLEGE AND HOSPITAL,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2045252,77.4093707
GOVERMENT HOMEOPATHIC MEDICAL COLLEGE AND HOSPITAL,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2037556,77.4091003
"Meenakshi Hospital, Bhopal","E-5/38, Arera Colony",Unknown,Unknown,462001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2133755,77.4299254
Prakash Eye Care and Laser Centre,"Plot No.131/14, Zone-2,Mp Nagar,Opposite Provident Fund Office,Near Pragati Petrol Pump",Unknown,Unknown,462011,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2288798,77.4356157
Mata Mandir Netra Sewa Kendra,"1/4, Sanjay Complex, Mata Mandir",Unknown,Unknown,462001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2242238,77.4019808
Kshitij Hospital,Bhopal,Unknown,Unknown,462003,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.262956,77.3803829
Bhopal Care Hospital,"Noor Mahal Road, Chowki Imambara",Unknown,Unknown,462001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2627832,77.3939585
G.S.M.Hospital,"31-35,Mwa Mp Qwarters, Jawahar Chowk New Market",Unknown,Unknown,462003,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2301825,77.3937517
Central Hospital and Research Center,"713,Kamala Nehru Nagar",Unknown,Unknown,482002,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.263933,77.393792
Narmada Advance Trauma and Critical care Institute,"Add,E-3/23, Arera Colony",Unknown,Unknown,462016,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.217648,77.4391609
"Pushkom Maternity and Nursing Home, Bhopal","52, Old Ashoka Garden",Unknown,Unknown,462001,Madhya Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.2534681,77.4309044
Devmata Hospital,"Ahinsa Vihar Colony, Ayodhya Nagar, P O Phase-3",Unknown,Unknown,462041,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2684238,77.4731988
Malti Hospital,"E-7, H/451, Opp, 1100 Qtrs, Hanuman Mandir Arera Colony",Unknown,Unknown,462016,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2070006,77.4342786
Jayshree Hospital,"No. 22, Retghat, Near Kamla Park",Unknown,Unknown,462001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2528588,77.3988064
Peoples General Hospital,"6, Malviya Nagar",Unknown,Unknown,462003,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2402937,77.4055132
Shubham Hospital Fracture Accident Care,"103, Opposite Tazul Masjid",Unknown,Unknown,462001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2624533,77.3939529
Choudhary Hospital,"Gurunankrupa Raisen Road,Bpl, Near Capital Pertol Pump",Unknown,Unknown,462023,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2536634,77.4280921
Citi Hospital,"115,Zonal-II,M.P Nagar,Behind Pragati Petrol Pump",Unknown,Unknown,462011,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2304819,77.4360924
