Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Usthi Hospital And Research Centre,"N4-1/1, Irc Village Nayapally Bhubaneswar",Unknown,Unknown,751015,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2935264,85.8112879
Lion's Eye Hospital,Unknown,Nayapalli,Bhubaneswar,751015,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2932299,85.8114232
Shree Hospitals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2483697,85.8415191
"CHC, Balakati","Balakati,Bhubaneswar, Khordha",Unknown,Unknown,752100,Odisha,Unknown,Unknown,centre,Unknown,Unknown,Unknown,20.2033661,85.8685601
Jagannath Hospital,"Plot No-185-P, Saheed Nagar, Bhubaneswar",Unknown,Unknown,751007,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2899524,85.8448559
Jagannath Seva Sadan,"164, Bapuji Nagar, Bhubaneswar",Unknown,Unknown,751009,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2605818,85.8372905
Millenium Hospitals Private Limited,"N-1/258, Irc Village, Crp Square, Nayapalli, Bhubaneswar",Unknown,Unknown,751015,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2859719,85.807323
"Lions Eye Hospital, Khordha",No.4 1/2 Nayapalli,Unknown,Unknown,751015,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.293277,85.8117187
Sanjeevani Medicare,"3103A, Mahabir Bazaar, Samantarapur, Bhubaneswar",Unknown,Unknown,751002,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2322348,85.8414093
Matrenity Care Hospital,"A/142, Saheed Nagar, Bhubneshwar",Unknown,Unknown,751007,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2943263,85.8441536
Sneha Clinic,"2508-B, Lewis Road , Bhubneshwar",Unknown,Unknown,751002,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.245379,85.8389054
Maa Shakti Hospital - Bhubaneshwar,"Plot No. 168, Ekamra Marg, Unit - 6",Unknown,Unknown,751001,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2585913,85.8205886
Utkal Polyclinic,"C-19,Palashpalli, Bhubaneswar",Unknown,Unknown,751020,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2466112,85.8243088
Utkal Ayurveda Pratisthan,"Market Building, Unit-II, Market Building, Unit-2, Ashok Nagar, Bhubaneswar",Unknown,Unknown,751009,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2654456,85.8330927
Satayu Hospital and Diabetic Research Centre,"666, Lal Bahadur Sastry Colony, Old Station Bazar, Bhubaneswar",Unknown,Unknown,751006,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2635981,85.8467915
Satabdi Gynaec Clinic,"8,Madhusudan Nagar,Unit-Iv",Unknown,Unknown,751001,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2829223,85.8335609
Saswat Clinic,"33, Forest Park, ( In Front Of Dr. P. C.Mohanty Ultrasound Clinic) Bhubneswar",Unknown,Unknown,751009,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2552531,85.8294653
Sun Flower Nursing Home,"A/99, Budha Nagar, Bhubaneswar",Unknown,Unknown,751006,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2610585,85.8427054
Sparsh Hospital & Critical Care Pvt. Ltd.,"A/407, Sahid Nagar, Bhubaneshwar,Behind Netra Tower, Vali Vihar",Unknown,Unknown,751007,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2953994,85.8433176
Panda Nursing Home Pvt Ltd,"A/115, Press Colony, Unit - iii ,Kharvel Nagar, Bhubaneswar",Unknown,Unknown,751001,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2747054,85.8473577
Padma Hospital,"Plot No . 210/1320 , Sarala Nagar, Near Okilbag, Cuttack Road, Bhuvaneshwar",Unknown,Unknown,751006,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2718248,85.8493111
Ayush Hospital,"Plot No:13,14, Bhoi Nagar, Acharya Vihar Square, Bhubaneswar",Unknown,Unknown,751022,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2961441,85.8341166
Deepak Clinic And Nursing Home,Plot No 84 (D C) Saheed Nagar Bhubaneswar,Unknown,Unknown,751007,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2922322,85.8447242
Neelachal Hospital Pvt Ltd - Bhubaneshwar,4/84. Kharvelanagar Bhubaneswar,Unknown,Unknown,751001,Odisha,Unknown,hospital,Unknown,+ 1235 2355 98,http://www.neelachalhospital.in/,Unknown,20.2707865,85.8454296
Annapurna Memorial Hospital,"Plot No-2767/4805 , Nageshwer Tangi Old Town, Bhubaneswar",Unknown,Unknown,751002,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2464631,85.836615
"Life Line Clinic and Nursing Home, Khordha",N/5-121 ; Jayadev Vihar ; Nayapally,Unknown,Unknown,751015,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.297118,85.816435
Kar Vision Eye Hospital,"Plot No-10 Satyanagar, Near Kali Mandir, Bhubaneswar",Unknown,Unknown,751007,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2797771,85.8442306
Vision Care Eye Hospital,"24, Behind Maharishi College, Saheed Nagar",Unknown,Unknown,751007,Odisha,Unknown,hospital,centre,Unknown,Unknown,Unknown,20.284683,85.8496208
"Krishna Nursing Home, Khordha","Plot No.1061, Nayapali Bhubaneswar",Unknown,Unknown,751012,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2883682,85.8144302
"PHC, Itipur(N)","Itipur, Itipur",Unknown,Unknown,751002,Odisha,Unknown,Unknown,centre,Unknown,Unknown,Unknown,20.2003328,85.8334619
"Goverment hospital,Bhingarpur","Bhingapur, Bhingapur",Unknown,Unknown,752102,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2610963,85.9312767
Secretariate Zonal Dispensary,"Secretariate Zonal Dispensary, Secretariate Zonal Dispensary",Unknown,Unknown,751000,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2739449,85.8384629
"PHC, Sarakana","Sarakana, Sarakana",Unknown,Unknown,752101,Odisha,Unknown,Unknown,centre,Unknown,Unknown,Unknown,20.2323738,85.9138115
"Municipality Hospital, Bbsr","Near Lingaraj Mandira, Bindu Sagar, Lingaraj Mandira Road",Unknown,Unknown,752034,Odisha,Unknown,Unknown,midwife,Unknown,Unknown,Unknown,20.2389807,85.8326089
"PHC, Benupur","Benupur, Benupur",Unknown,Unknown,752101,Odisha,Unknown,Unknown,centre,Unknown,Unknown,Unknown,20.2920292,85.9012976
Janani Hospital,"Janani Hospital, Gangotri Nagar, Bhubaneswar",Unknown,Unknown,751002,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2169039,85.8524348
Health Cure Physiotherapy Clinic,"Plot no -273, 6, Laxmi Vihar, Mahaveer Nagar, Bhubaneswar",Unknown,Unknown,751002,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.225923,85.843712
Prava Life Care,Bhubaneswar,Unknown,Unknown,751002,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.223943,85.844619
Muncipal Hospital,"Samantarapur, Bhubaneswar",Unknown,Unknown,751002,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2309511,85.8420358
Sara Hospital,"Samantarapur, Bhubaneswar",Unknown,Unknown,751002,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2349312,85.8429377
Maa Sakti Clinic,"Vijaya Vihar, Lingipur, Bhubaneswar",Unknown,Unknown,751002,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2222292,85.8437838
Sara Gastro & Laparoscopic Hospital,"Gouri Nagar, Bhubaneswar",Unknown,Unknown,751002,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2375006,85.840364
Sri Khetra Poly Clinic,"Divya Vihar, Samantarapur, Bhubaneswar",Unknown,Unknown,751002,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2314526,85.8437126
Sunshine Clinic,"Gangotri Nagar, Bhubaneswar",Unknown,Unknown,751002,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2183679,85.8508522
BBS Health Care Hospital,Sisua,Unknown,Unknown,754010,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.2476984,85.9870827
Olatpur Hospital,Sisua,Unknown,Unknown,754010,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.241071,85.987985
Shanthi Homeo Clinic,Kantapada,Unknown,Unknown,754010,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,20.2510402,85.984903
