Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
PHC Hasanpur,HASANPUR,Unknown,Unknown,848121,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.6343058,85.5909607
"Sub-Divisional Hospital, Patori",Unknown,Unknown,Unknown,Unknown,Bihar,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.6339104,85.5946608
Krishna Hospital,"Cinema Chowk, Patory, Shahpur Patori",Unknown,Unknown,848504,Bihar,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.6354355,85.5878946
Abhilasha Diagnostic Centre,"Cinema Chowk, Patory, Samastipur, Sarairanjan, Patori Road, Hasanpur Surat, Tara Dhamaun",Unknown,Unknown,848504,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.635422,85.5886328
Asadhya Rog Chikisarth,Tara Dhamaun,Unknown,Unknown,848504,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.637088,85.5871175
Dr. Ram Chandra Mishra Medical Clinic,Shahpur Patori,Unknown,Unknown,848504,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.634505,85.590293
Dr. Ram Bilash Sharma Clinic,"Mukundpur Road, Sultanpur Chhaurahi",Unknown,Unknown,848504,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.6241266,85.5977645
"SubCentre, Jagarnathpur",Jagarnathpur,Unknown,Unknown,844501,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.6390442,85.5300531
"SubCentre, Jaoj",Jaoj,Unknown,Unknown,844501,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.6994421,85.5216407
"SubCentre, Rupsipur",Rupsipur,Unknown,Unknown,844501,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.6950237,85.5471803
"SubCentre, Shahpur",Shahpur,Unknown,Unknown,844506,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.6214409,85.5204219
"SubCentre, Basudevpur Chandel",Basudevpur Chandel,Unknown,Unknown,844501,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.6568358,85.5476314
