Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
MAHAKALI DISPENSARY,Unknown,g.m office road,Unknown,442403,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Mo-Su 10:00-17:00,19.9494406,79.3112187
Lalpeth dispensary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9265221,79.3103646
WCL AREA HOSPITAL,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9285187,79.3072279
RAYYATWARI DISPENSARY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.9622899,79.3109993
Dental Care Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,19.9677567,79.3046842
Guru Ashish Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.9677322,79.3046906
Ghate Surgical and Maternity Hospital,"Ganj Ward, Near Sardar Patel College, ,Ramala Talao, Near Panch Mandir",Unknown,Unknown,442401,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9513341,79.3018342
Sainani Nursing Home,"Ganj Ward, Near S.P. College",Unknown,Unknown,442402,Maharashtra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.9504777,79.3015198
Coal City Hospital,Shastrinagar Mul Road,Unknown,Unknown,442401,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9690809,79.309252
Shri Mahvir Surgical Hospital,"Vivek Nagar, Mul Road",Unknown,Unknown,442401,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9685616,79.3045025
"Sub Centre, Nandgaon Pode",Nandgaon Pode,Unknown,Unknown,Unknown,Maharashtra,Unknown,Unknown,centre,Unknown,Unknown,Unknown,19.9007875,79.3047881
Bhiwapur UPHC,"Bhiwapur, Super Market, Chandrapur",Unknown,Unknown,442403,Maharashtra,Unknown,Unknown,centre,Unknown,Unknown,Unknown,19.9384579,79.3076622
"PHC, Chandrapur","Babupeth, Chandrapur",Unknown,Unknown,442402,Maharashtra,Unknown,Unknown,centre,Unknown,Unknown,Unknown,19.9569962,79.3113249
