Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Kalaignar Karunanidhi Nagar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0386493,80.2052158
Koyambedu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,13.0720236,80.1980375
Kasimedu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.122775,80.2960584
Amrit Hospital,"New No.310, Mint Street, Sowcarpet",Unknown,Unknown,600079,Tamil Nadu,Unknown,hospital,hospital,Unknown,http://www.amrithospital.com/,Unknown,13.0922007,80.2792912
Vikram Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0985007,80.2796178
City Tower Hospitals,"Old No AA-10, New No AA - 85, 2ND-Avenue, Near Roundtana Bus Stop",Unknown,Unknown,600040,Tamil Nadu,Unknown,hospital,hospital,Unknown,http://www.citytowerhospitals.net/contact.asp,Unknown,13.08438,80.2160862
"Apollo Hospitals, Tondiarpet","No.645, TH Road, Tondiarpet",Unknown,Unknown,600081,Tamil Nadu,Unknown,hospital,hospital,Unknown,https://www.apollohospitals.com/,Unknown,13.1289367,80.2905623
K.H.M.Hospital,"AB-14/4907, Balasubramanian Building, Opposite Sri Ayyappa Temple, 6th Main Road",Unknown,Unknown,600040,Tamil Nadu,Unknown,hospital,hospital,Unknown,https://khmhospital.com/,Unknown,13.0844424,80.2130723
Sundaram Medical Foundation,"9-C, Shanthi Colony Iv Avenue, Anna Nagar",Unknown,Unknown,600040,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.08217,80.2069819
Sri Devi Speciality Hospial,"New No.4, Old No.1620-A, 16Th Main Road, Anna Nagar",Unknown,Unknown,600040,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0887983,80.1994692
Corporation Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0336624,80.2572467
Military Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.0194622,80.1972947
Goverment dental hospital & collage,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0829605,80.281264
Kilpauk Medical College,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0785984,80.2433369
Cancer Institute,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0061338,80.239884
Sri Ramachandra Medical Centre and Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0380979,80.1428047
Govt Maternity Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0720996,80.2589871
Institute of Child Health,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0735496,80.257025
Institute of Obstetrics and Gynaecology dd,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.0735431,80.2591463
MIOT International,"Manapakkam, 4/112, Mount Poonamalle Road","4/112, Mount Poonamalle High Rd, Sathya Nagar, Manapakkam, Chennai, Tamil Nadu 600089",Unknown,600089,Tamil Nadu,Unknown,hospital,hospital,044 4200 2288,https://www.miotinternational.com/,24/7,13.0211808,80.1858412
