Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
District Hospital,Unknown,Unknown,Chhindwara,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.0509324,78.939744
Mercy Hospital,"Khajri Road, Opp Dev International Hotel, Shivnagar Colony, Sinchai Colony, Mohan Nagar, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.064361,78.937501
Eco Friendly clinic,"Gulabara Road, Gulabara, Sanchar Colony, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,22.0568834,78.9337111
Dr. Shukla Clinic,Chhindwara,Unknown,Unknown,480001,Madhya Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,22.053366,78.940075
Dr Bajaj dental clinic,"Narsinghpur Road, Ganesh Colony, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.0669954,78.9543104
aashirwad clinic(dr pawar),"Sanchar Colony, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.0596147,78.9267729
Siddharth Hospital and Diagnostic Centre,"Satkar, Sinchai Colony, Mohan Nagar, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.0585423,78.9365408
Nagpur Eye Hospital,"Tiraha Satkar, Sinchai Colony, Mohan Nagar, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.0579107,78.9363657
dr .duggad cancer doctor,"Rautha Wada, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.055028,78.9417442
Hanote fracture clinic,"Pg College Road, Near Tribal Museum, Opp Dollson Hotel",Unknown,Unknown,480001,Madhya Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.0726363,78.9406788
Nagpur Hospital,Santoshi Mata Mandirm Charfatak,Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.0591852,78.950332
Balaji Multispeciality Hospital,"South Civil Lines, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.0524893,78.9329439
Ayush Wing Panchkarma Therapy Center,Chhindwara,Unknown,Chhindwara,480001,Madhya Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,22.0511326,78.9366399
Dr Kanchan Dubey Clinic,"Unnamed Road, Patel Nagar, Vivekanand Colony, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.0434838,78.9360629
Nahar Hospital,"Moti Nidhi Complex, Parasia Road, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.058445,78.9347495
Anand Hospital,"Private Bus Stand ,Satkar Tiraha, Parasia Road, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.056859,78.9362058
City Hospital,"Gulabara, Sanchar Colony, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.054886,78.933801
Seeta Parmanand WCL Hospital And Traing Center,"Teacher'S Colony, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.0673,78.928782
Vasan Eye Care Hospital,"Rautha Wada, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.0597628,78.9463006
Lamba Children & Dental Clinic,"Chhindwara-Seoni Road, Gandhi Ganj, Nai Abadi, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.0587591,78.9534871
Well Baby Clinic,"Satkar, Chandangaon, Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.058432,78.931871
"Pandey Nursing Home, Fracture Hospital & Kusum IVF","Pola Ground ,Chhindwara",Unknown,Unknown,480001,Madhya Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.049894,78.938447
