Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
PSG Hospitals,"P.O. Box. No.1674,Peelamedu,Near Psg College Of Technology",Unknown,Unknown,641004,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.0188398,77.0073136
Ortho One,Unknown,Tiruchi Road,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0018351,77.0328061
G R Hospital,"30, Ram Gardens, Sowripalayam Road Udayampalayam",Unknown,Unknown,641028,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0093491,77.0024216
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.087657,77.003366
Rahul Acupuncture,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,alternative,Unknown,Unknown,Unknown,11.0005656,77.0300317
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.021742,77.0190105
ESI Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0092807,77.0240486
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,11.0203396,77.018377
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.0206016,77.0182915
Unknown,Unknown,Vilankuruchi Road,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,11.0364256,77.015101
"Park Hospital, Coimbatore",Kalapatti Main Road Near Sitra Civil Aerodrome Post,Unknown,Unknown,641014,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0419411,77.0379131
"R V Hospital, Coimbatore","No. 78B, Kowai Road, Unnur",Unknown,Unknown,641653,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0546916,77.0639178
Sri Loga Clinic,"12/93 A, Sathy-Mettupalayam South West Street, Sirumugai",Unknown,Unknown,641302,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.072535,77.0017429
"St Lukes Hospital, Coimbatore","18-G, Ashok Layout, Civil Aerodrome Road",Unknown,Unknown,641014,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0335424,77.0376261
Dr. Muthu's Ortho Centre-Coimbatore,"687,Trichy Road ,Ramanathapuram, Opposite Alvernia School",Unknown,Unknown,641045,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0026291,77.0406497
Sree Andal Hospital,"Vilankurichi, Coimbatore, Bharathi Nagar",Unknown,Unknown,641035,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.0560065,77.0164575
Chinniampalayam Venkateshwara Hospital,"Chinniampalayam Venkateshwara Hospital, Avinashi Road",Unknown,Unknown,641062,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0545152,77.0652106
Ramvel Hospital,"13/1, Bharathi Nagar, Kamarajar Road, Uppilipalayam Post",Unknown,Unknown,641015,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.01362,77.0222618
"Lotus Eye Care Hospital Ltd, Coimbatore","770, 12, Avinashi Rd, Tnhb Colony, Indira Nagar, Civil Aerodrome Post, Peelamedu",Unknown,Unknown,641014,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0406116,77.0401856
Sumith Hospital,"467 A, Peelamedu, Coimbatore, Vilankurichi Road",Unknown,Unknown,641004,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0261493,77.0176752
"Rajah Hospital, Coimbatore","Peelamedu, Coimbatore, Gandhiji Stret",Unknown,Unknown,641004,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0270299,77.0187333
"Geethasree Hospital, Coimbatore","No: 103, Sathy Road, Near Kalapatti Pirivu, Poonthottam Nagar, Saravanampatti, Coimbatore",Unknown,Unknown,641035,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.07196,77.002444
"Balaji Hospital, Sulur","160, Trichy Rd, Mathiyalagan Nagar, Sulur",Unknown,Unknown,641402,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.0277947,77.1298133
Peelamedu PHC,"D.No.8, Near Psg Public Schools, Peelamedu, Pioneer Mill Road",Unknown,Unknown,641004,Tamil Nadu,Unknown,Unknown,centre,Unknown,Unknown,Unknown,11.0268325,77.0037378
"Kamalaprakasam, Kalapatti","Saravanampatti - Kalapatti Road, Kalapatti, Coimbatore",Unknown,Unknown,641048,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.0778,77.035681
Coimbatore Medical College Hospital,"Railway Station, Coimbatore, Trichy Road,Near",Unknown,Unknown,641018,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0289285,77.0237553
SS Hospital Coimbatore,"No 17, Police Quarters Rd,Ganapathy, Coimbatore, V.O.C. Nagar",Unknown,Unknown,641006,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.04761,77.000115
"Governmemt Hospital, Somanur","29 A, Panjayath Office, Somanur, Near Panjayath Office",Unknown,Unknown,641668,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.0839439,77.189266
"Harini Shravan, Coimbatore","Near Gks Bus Stop, Coimbatore, Vgv Janani Nagar,Saravanampatti",Unknown,Unknown,641035,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.0703318,77.0005452
"Royal Care Hospital, Coimbatore","1/520, L & T Bye Pass, Road, Coimbatore",Unknown,Unknown,641062,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.059106,77.0893479
"V.R.Hospital, Coimbatore","Vinayagapuram, Coimbatore, Vilankurichi Road",Unknown,Unknown,641035,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.05642,77.001972
Vimal Jothi Hospital,"Near Visuvasapuram Busstop, Coimbatore, Sathu Main Raod,Saravanampatti",Unknown,Unknown,641035,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0892,77.008366
"Government Hospital, Sulur","Sulur Government Hospital, Near Bus Stand, Somanur, Trichy Road",Unknown,Unknown,641402,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0247544,77.1228621
Singanallur Government Hospital,"D.No.569, Vasantha Mill Bus Stop, Singanallur, Trichy Road, Anaiyankadu Road",Unknown,Unknown,641005,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0011,77.033733
"PHC, Irugur","Irugur, Near Masaniyamman Kovil",Unknown,Unknown,641103,Tamil Nadu,Unknown,Unknown,centre,Unknown,Unknown,Unknown,11.0174154,77.0670117
"Peoples Medical Centre, Coimbatore","Near Railway Gate, Coimbatore, Gandhi Nagar, Irugur",Unknown,Unknown,641103,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.0217448,77.0603524
"Roselet Medical Centre,Coimbatore","Opposite To Water Tank, Coimbatore, Car Street, Sowripalayam",Unknown,Unknown,641028,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.01005,77.008874
Saraswathi Hospital,"152A, Near Bypass Junction, Coimbatore, Trichy Road,Chinthamani pudur",Unknown,Unknown,641103,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0069868,77.071368
"Vela Hospital, Singanallur, Coimbatore","Kothari Mill Lane, Trichy Rd, Singanallur, Coimbatore",Unknown,Unknown,641005,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0017873,77.0300545
Sanmugapriya Hospital Coimbatore,"Near Mahalakshmi Koil, Coimbatore, Grg Nagar,Sowripalayam",Unknown,Unknown,641028,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0145025,77.0079676
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.0190925,77.0228879
Srinivas Hospital,"G.V. Residency, Mullai Nagar",Unknown,Unknown,641015,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.013248,77.0192485
Kavya Ortho Centre,"Andal Nagar, Lakshmipuram",Unknown,Unknown,641015,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.0150335,77.0216931
SM Clinic,Unknown,Unknown,Unknown,641015,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.013613,77.019663
Chycartist Hospital,"Lakshmipuram, Uppilipalayam",Unknown,Unknown,641015,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0160902,77.0202551
Kovai Dental Care & Implant Centre,Uppilipalayam,Unknown,Unknown,641005,Tamil Nadu,Unknown,dentist,dentist,Unknown,Unknown,Unknown,11.0102234,77.0249144
Thiru Physiotherapy Clinic,"Lakshmipuram, Kasthuribai Gandhi Nagar",Unknown,Unknown,641015,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.0143629,77.023391
Nalam Child Care,"Agraharam, Singanallur",Unknown,Unknown,641005,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.0006287,77.0306011
Lekha Clinic,Varadharajapuram,Unknown,Unknown,641005,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.006978,77.0273766
Dr. Felix Hospital,Unknown,Unknown,Unknown,641005,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.0044086,77.0348661
Vista Care Opticals & Eye Clinic,Varadharajapuram,Unknown,Unknown,641015,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.0101764,77.0245161
Sky speech & hearing care Clinic,Unknown,Rajalakshmi Nagar,Coimbatore,641004,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Mo-Sa 10:00-19:30,11.0207277,77.0189795
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,11.0121348,77.0241285
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,11.0208777,77.0218602
