Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Faith Hospital,Old Sewak Road,Unknown,Unknown,797112,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.9051075,93.7196231
Zion Hospital and Research Centre,Purana Bazar,Unknown,Unknown,797112,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.9161945,93.7476133
Nikos Hospital And Research Centre,"P W D Road, Midland",Unknown,Unknown,797112,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.9086408,93.715467
"Metro Hospital, Dimapur",Circular Road,Unknown,Unknown,797112,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.9140329,93.716442
"Urban Primary Health Centre, Dimapur",Burma camp,Unknown,Unknown,797117,Nagaland,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.9288925,93.7421636
"District Hospital, Dimapur",Unknown,Unknown,Unknown,797112,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.904959,93.731523
Grace Health Care,N.S.T. Colony,Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.909191,93.7211796
Good Health Diagnostic & Clinic,"Fire Brigade Road, Near East Police Station",Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.907827,93.731059
Family Health Clinic,Half Nagarjan Junction,Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.906185,93.733221
City Hospital,Civil Hospital Colony,Unknown,Unknown,797112,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.906627,93.731253
Mercy Eye Centre,Police Colony,Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.906816,93.733918
Sunjay Surgi Care,"Old Daily Market, Marwari Patti",Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.9065754,93.7262206
Government of Nagaland Urban Leprosy Clinic,Civil Hospital Colony,Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.906115,93.731787
Dimapur Hospital and Research Centre,Purana Baza,Unknown,Unknown,797116,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.9055101,93.7500946
Fellowship Nursing Home,"Fellowship Road, Fellowship Colony",Unknown,Unknown,797113,Nagaland,Unknown,hospital,hospital,Unknown,Unknown,Unknown,25.9142282,93.7096698
Langkumer's Clinic,"Market, Khermahal",Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.913789,93.722688
Nagaland Multispeciality Hospital & Research Centre,"PWD Road, Midland",Unknown,Unknown,797112,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.908579,93.716553
Dr. Belho's Clinic,"Walford Road, Walford Colony",Unknown,Unknown,797117,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.910328,93.737026
Premier Ortho Care,"SH36, N.S.T. Colony",Unknown,Unknown,797113,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.910989,93.7207787
JK Hospital,Landmark Colony,Unknown,Unknown,797113,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.909739,93.712297
Gilead Nursing Home,N.S.T. Colony,Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.913846,93.724528
Dr. Murry Clinic,"Khermahal Road, Khermahal",Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.915639,93.719991
Oriential Nursing Home,N.S.T. Colony,Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.9136651,93.7245336
Smile Dental Clinic,N.S.T. Colony,Unknown,Unknown,797112,Nagaland,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.910593,93.72132
Shamrock Hospital,"Dobhinalla Road, Near State Bank, Duncan Basti",Unknown,Unknown,797112,Nagaland,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,25.9083545,93.7035979
"SubCentre, Samaguri",Samaguri,Unknown,Unknown,797116,Nagaland,Unknown,Unknown,centre,Unknown,Unknown,Unknown,25.9184273,93.7839304
"Patient Care Diagnostics, Dr Belho's Clinic, Walford road",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,25.9103627,93.7369468
