Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
HEALTH CENTER,Unknown,newton rod,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.5676379,87.3163773
Vivekananda Hospital,"Dr.Zakir Hussain Avenue ,Bidhannagar, Durgapur",Unknown,Unknown,713212,West Bengal,Unknown,hospital,hospital,Unknown,https://vivekanandahospital.com/,Unknown,23.5230593,87.3394818
Eye Clinic,"B-5,Collins Path,Bidhannagar,Durgapur",Unknown,Unknown,713212,West Bengal,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.5109283,87.347082
Durgapur City clinic and Nursing Home Pvt Ltd,"Doctors Colony, Central Park, City Centre, Durgapur",Unknown,Unknown,713216,West Bengal,Unknown,hospital,Unknown,245-5262 / 254-6600,durgapurcityhospital.com,Unknown,23.53966,87.3002172
Dr.B.C.Roy Medical Institute,"N-1, Doctor S Colony, City Centre, Durgapur",Unknown,Unknown,713216,West Bengal,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.5232869,87.3440733
The Mission Hospital,"Plot No 219 (P), Immon Kalyan,Saptarshi Sarani,Durgapur",Unknown,Unknown,713212,West Bengal,Unknown,hospital,Unknown,Unknown,https://themissionhospital.com/,Unknown,23.5200264,87.3553296
Bidhan Niramoy Nursing Home,"B-120,Aldrin Path, Bidhannagar Durgapur",Unknown,Unknown,713212,West Bengal,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.5128238,87.3508195
Presidency Nursing Home,"A/1, Nandalal Bithi",Unknown,Unknown,713216,West Bengal,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.5397003,87.3013455
ESI Hospital,"Bidhannagar, Durgapur",Unknown,Unknown,713212,West Bengal,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.523857,87.340576
Main Hospital,"B-Zone, Durgapur",Unknown,Unknown,713205,West Bengal,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.572585,87.304977
Durgapur City Hospital,"Central Park, Doctor's Colony, Durgapur",Unknown,Unknown,713216,West Bengal,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.539446,87.30049
Durgapur Sub Divisional Hospital,"Bidhannagar, Durgapur",Unknown,Unknown,713212,West Bengal,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.526108,87.342168
