Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Chinthamani Medical Department,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,11.347629,77.7190874
Dr.R. Gnanasekaran,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,11.3456558,77.7215197
Pasumai Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,11.3452083,77.7183883
Deepa Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,11.3466632,77.718547
Lotus Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3266236,77.7306301
Government Hospital,"Pallipalayam, Near Bus Stand",Unknown,Unknown,638006,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.3608508,77.747453
Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,11.3652161,77.7486375
Maruthi Medical Centre(Mmch Hospital),"Perundurai Road, Erode",Unknown,Unknown,638011,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3384018,77.7130616
"Kovai Medical Centre And Hospital, Perundurai",301 Bhavani Main Road Perundurai,Unknown,Unknown,638052,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3381361,77.7139593
Senthil Multispeciality Hospital,"547, Perundurai Road",Unknown,Unknown,638011,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.338983,77.7138529
Acchutha Eye Care,"H-3, E.V.N. Road, Periyar Nagar, Near Surampatty Nall Road, Erode - 638 009",EVN Road,Unknown,638009,Tamil Nadu,Unknown,hospital,hospital,0424 403 0804,http://www.acchuthaeyecare.com,Unknown,11.33176,77.7202562
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.3367518,77.7282991
Kumarasamy Hospital,"H-137, Periyar Nagar, , Periyar Nagar",Unknown,Unknown,638001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.334273,77.7259118
"Thangam Hospital, Erode",H-123. Periyar Nagar,Unknown,Unknown,638001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3340961,77.7262437
Unknown,Unknown,Gandhiji Road,Unknown,638001,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.3368151,77.7268262
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3405723,77.7188786
Vsm Hospital Atho And Maternity Centre,"Perundurai Road, Erode, Sathyamoorthi Hospital Road",Unknown,Unknown,638011,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3374641,77.7117842
Unknown,"Cauvery Rd, Janakiammal Layout, Karungalpalayam",Unknown,Unknown,638003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.350096,77.7325083
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,11.3335186,77.7186437
Bharani Paventhan Multi Speciality Hospital,"#74, Sampath Nagar,Opposite District Court",Unknown,Unknown,638011,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3358357,77.7081187
City Hospital,"87, Rkv Road, Near Chennai Silks",Unknown,Unknown,638003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3451151,77.7300887
Arasan Eye Hospital,"26 Annamalai Lay-Out, Opposite Royal Theatre, New Bus Stand",Unknown,Unknown,638011,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3464182,77.7163893
"Vikram Hospital, Erode","12/29, State Bank Road",Unknown,Unknown,638001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3356411,77.7280569
Valli Hospital,"20, Evn Road, Surampatty Four Roads",Unknown,Unknown,638009,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3338081,77.7185297
Vadivu Subramanian Nursing Home,"2, O.A. Ramasamy Street, Gandhi Nagar",Unknown,Unknown,638009,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.337507,77.7152038
Sri Shanmuga Hospital,"14 / A Thiruchengode Main Road, Pallipalayam Erode",Unknown,Unknown,638006,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.3659792,77.7527426
Visaalam Hospitals,"9A, Sankagiri Bye Pass Road, Pallipalayam Road",Unknown,Unknown,638006,Tamil Nadu,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,11.3651528,77.747808
"National Hospital, Erode","Saveetha Hospital Complex,#333, Brough Road",Unknown,Unknown,638001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3344445,77.7181099
K.B.N. Nursing Home,"#49/1, Mosikeeranar Street,Near Krishna Theatre",Unknown,Unknown,638003,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,11.344835,77.7310771
Kalyani Kidney Care Centre,"104,Main Road,Sampath Nagar,OppositeKongu Kalairangam",Unknown,Unknown,638011,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3383604,77.7080879
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,11.3240676,77.7410006
Arul Siddha Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3241935,77.7415856
Dr. Agarwal's Eye Hospital Ltd. - Erode,"No-397/1, Perundurai Main Road,Opposite To Kpk Petrol Pump",Unknown,Unknown,638011,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3421842,77.7173066
Dr.K.M. Nallaswamy Hospital,"Erode, Power House Road",Unknown,Unknown,638001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3367022,77.7184211
Sri Jothi Hospitals,"Nehruji Street, Nadar Medu",Unknown,Unknown,638001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3217208,77.7275956
"Nishant Hospital, Erode","350,E.V.N Road,Near Pazhamudhir Nailayam,Opp Power House",Unknown,Unknown,638009,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3365931,77.7179866
Universal Hospital,"447, Brough Road",Unknown,Unknown,638001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3411046,77.7185217
Ck Hospital,"41, Balasubbarayalu Street",Unknown,Unknown,638001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,11.3326562,77.7282011
