Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
"ESI Hospital, NH-3","NH-3, ESIC Building, NIT Faridabad",Unknown,Unknown,121004,Haryana,Unknown,hospital,hospital,Unknown,https://www.esic.nic.in/Haryana-hospital.php,Unknown,28.3936231,77.295194
"Pulse Hospital, Faridabad","940/23-24, Main Road, Sec-23",Unknown,Unknown,121002,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3613231,77.2993018
Ahuja Clinic,"2L/1, N.I.T",Unknown,Unknown,121001,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,28.386625,77.2874967
Dr Nand Lal Sharma Memorial Hospital,House No. 701 Sector 8 Y.M.C.A. Road Sector 8 Y.M.C.A. Road,Unknown,Unknown,121006,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3820914,77.2999924
Arora Ultrasound Clinic,"Shop No.99, Sector-22",Unknown,Unknown,121005,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.364304,77.2990758
Sharma Maternity and Eye Centre,"94, Deep Chand Bhartia Marg, Sector 23",Unknown,Unknown,121005,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3614447,77.2956211
"R. K. Hospital, Faridabad","3C/59, B.P., N.I.T,Fbd, Near Metro Cinema, Esi Hospital Chowk",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3912907,77.2926874
Apurva Hospital,2N/74 B P Near 2-3 Gole Chakkar N I T,Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3892012,77.2896297
"Santosh Hospital, Faridabad","3F/139, Nit (Near Post -3 & Electricity Office)",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3955744,77.2899288
Nav Jeevan Hospital,"3-E/25, B.P., N.I.T",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3912912,77.2859209
C.K. Memorial Kapoor Hospital,"3B/8, B.P. Nit , Opposite Eros Institute",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.397692,77.295536
Devanshi Hospital,1-D/14 B. P. 1-2 Chok N. I. T,Unknown,Unknown,121001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3808671,77.2980149
"Akash Hospital, Ballabgarh","Sector-56, Rajiv Colony, Samaypur Road, Ballabgarh",Unknown,Unknown,121004,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3276109,77.293767
Apex Multispeciality and Aparoscopy Hospital,"3C-79 , Bp , Nit , Dav College Road, Opp Esi Medical College , Nit 3",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3945067,77.2925118
"Bhatia Hospital, S.G.M. Nagar","3825A, Block-A, Main Bandh Road , S.G.M. Nagar, N.I.T",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3990782,77.2887218
"Vardaan Hospital, Faridabad","3E - 1, Nit",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3913119,77.2886923
Dr. Aroras Nursing Home,"1G/46, Opposite Bus Stand, Kl Mehta Road , New Industrial Township 1, New Industrial Township",Unknown,Unknown,121001,Haryana,Unknown,clinic,clinic,Unknown,Unknown,Unknown,28.3859195,77.2999019
"Dayal Hospital, Faridabad","Chacha Chowk Mode, Sohana Road,Near Sarurpur Gaon",Unknown,Unknown,121001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3526818,77.2778173
Dr. Jagdish Chandra Clinic,"Jawahar Colony, Gurdwara Road, N.I.T",Unknown,Unknown,121005,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.3670661,77.2877958
Taneya Nursing Home,"Air Force Road, Dabua Colony Nit",Unknown,Unknown,121001,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.3766861,77.2834888
"Kalra Clinic, Faridabad","2181, Air Force Road Jawahar Colony, N.I.T",Unknown,Unknown,121001,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.3809138,77.2920316
Bhagwan Mahavir Hospital and Research Centre,"Jain Bhawan A-3, Central Green , Nit",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3962451,77.2992414
Dr. K.S. Jindal,"3-E/35, B.P. N.I.T",Unknown,Unknown,121001,Haryana,Unknown,doctors,doctor,Unknown,Unknown,Unknown,28.3908093,77.288589
Manchanda Ortho and Physio-Care Centre,"3C - 110, Near Esi Chowk, Nh-3",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.392146,77.2920799
Janmeda Nursing Home,"E-87,Main 60 Feet Road,Dabua Colony",Unknown,Unknown,121001,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.3735834,77.2819319
Shri Ram Ji Charitable Hospital Society,"Tikona Park, N.I.T",Unknown,Unknown,121001,Haryana,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.3827592,77.2969253
