Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Civil Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2196609,72.641845
"Vinayak Orthopaedic Hospital, Pathika S.T. Stand",958/2 Sector - 7/C Pathika S.T.Stand,Unknown,Unknown,382010,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2150357,72.6428381
"Mamta Children Hospital, Gandhinagar","Sector-24 Char Rasta, Opposite Nagrik Bank, Sector-24",Unknown,Unknown,382024,Gujarat,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.2448913,72.6493518
Hi Tech Hospital,"Sector 3D , Plot No 1180, Gh Road ,Near Gh1 Bus Stand",Unknown,Gandhinagar,382006,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2054057,72.6336991
"Sanjivani Hospital, Gandhinagar","Opposite Amin Vadi, Near Verai Mata Mandir, Dehgam",Unknown,Unknown,382305,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2324833,72.6686785
Mukund Eye Hospital,"203/A, Megh Malhar Shopping Complex, Sector 11 Ch - Road",Unknown,Unknown,382011,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2157197,72.6491037
Yashdeep Heart and Medical Hospital,"147/1, Near Panchdev Mandir, Sector-22",Unknown,Unknown,382016,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2327889,72.6585478
Narayani E N T Hospital,"No. 1008 / 2, Sector 7 / C, Opp: S.T.Depot",Unknown,Unknown,382010,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2147805,72.6429936
Ila Maternity Hospital - Gandhinagar,447 Sector -16,Unknown,Unknown,382016,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2318942,72.6500317
"Kalrav Children Hospital, Gandhinagar","Opposite Railway Station, Kalol",Unknown,Unknown,382721,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2321814,72.6539639
Dr Deepak Mehta Surgical Hospital And Nursing Home,"B26/2 Sector,7-D Near Gh-3 Corner",Unknown,Unknown,382007,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2117744,72.6467058
Shashvat Hospital,"Plot No 1/1, Sector-3-A",Unknown,Unknown,382010,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2045854,72.633166
Urvi Maternity Hospital,"144/1, Near Panchdev Mandir, Sector-22",Unknown,Unknown,382010,Gujarat,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.2329639,72.6591412
