Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,27.3313407,88.6135864
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,27.328743,88.6028366
Urban Family Welfare Center,Unknown,Unknown,Unknown,737102,Sikkim,Unknown,Unknown,centre,Unknown,Unknown,Unknown,27.3249511,88.6146395
"Physical Health Sub Centre ,Kabi",Kabi,Unknown,Unknown,Unknown,Sikkim,Unknown,Unknown,centre,Unknown,Unknown,Unknown,27.3979974,88.6181729
Netralaya Eye Clinic and Optical Centre,"Arithang, Gangtok",Unknown,Unknown,737101,Sikkim,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,27.333257,88.6149307
Drishyam Eye Care and Surgical Centre,"NH10, Arithang, Gangtok",Unknown,Unknown,737101,Sikkim,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,27.3323733,88.6144148
Dental Clinic,"Bodhi Marg, Sungava, Gangtok",Unknown,Unknown,737101,Sikkim,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,27.3367271,88.6131569
Dr. Sumit Periwal Child Care Clinic,"Arithang, Gangtok",Unknown,Unknown,737101,Sikkim,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,27.3304332,88.61363
Ruchi Diagnostic Clinic,"Arithang, Gangtok",Unknown,Unknown,737101,Sikkim,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,27.3304047,88.6136867
ENT Clinic,"Upper Sichey, Sungava, Gangtok",Unknown,Unknown,737101,Sikkim,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,27.336356,88.613052
"SubCentre, Penlong",Penlong,Unknown,Unknown,737107,Sikkim,Unknown,Unknown,centre,Unknown,Unknown,Unknown,27.376356,88.6239078
Ridhkaran Madangopal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,27.3282532,88.6123433
Periwal Brothers,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,27.3298782,88.6127984
Chiranjilal Lalchand,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,27.3296744,88.6126246
Jagriti Medical Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,27.3290902,88.6124899
