Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.7366042,85.0432321
Jindal Hospital and Endosurgery Center,"G.B Road, Gol Pathar More Magadh",Unknown,Unknown,823001,Bihar,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,24.7898393,85.0077331
Gaya Urban Center,Unknown,Unknown,Unknown,848203,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,24.7799855,85.0028314
Jai Prakash Narayan Hospital,Unknown,Unknown,Unknown,Unknown,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,24.7994549,85.0094645
PHC Manpur,Unknown,Unknown,Unknown,813201,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,24.7997166,85.0313728
Dr. Pramod Kumar Residence Clinic,Manpur,Unknown,Unknown,823003,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,24.7959327,85.0203453
Dr. Vijay Jain,"An Road, Gol Bagicha",Unknown,Unknown,823001,Bihar,Unknown,doctors,doctor,Unknown,Unknown,Unknown,24.799949,85.007976
"SubCentre, Khiriyawan",Khiriyawan,Unknown,Unknown,823004,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,24.7416141,85.0076087
"SubCentre, Mankosi",Mankosi,Unknown,Unknown,824231,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,24.7286028,85.0188344
"SubCentre, Lodipur",Lodipur,Unknown,Unknown,823003,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,24.7831404,85.0865109
"SubCentre, Sohai Pur",Sohai Pur,Unknown,Unknown,823003,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,24.7520267,85.0483173
"SubCentre, Amwan","Amwan, Jani Bigha",Unknown,Unknown,823004,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,24.7252352,85.0022872
"SubCentre, Barsauna",Barsauna,Unknown,Unknown,805131,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,24.735133,85.0755963
"SubCentre, Bandhuwa",Bandhuwa,Unknown,Unknown,823003,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,24.7599649,85.0647787
