Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Sambhavi Hospital Maternity Home,"Near Bank Of Boroda, Adarsh Nagar, Kushumkhera, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.2191868,79.5155219
Tewari Maternity Center and Nursing Home,Mukhani Chouraha,Unknown,Unknown,263141,Uttarakhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.2170121,79.5180633
Jagdamba Heat Care and Maternity Centre,"Opposite Navrang Vihar , Pillikothi, Kaladhungi Road Haldwani , Sitt",Unknown,Unknown,263139,Uttarakhand,Unknown,clinic,clinic,Unknown,Unknown,Unknown,29.2186109,79.5173176
"Government Medical College Hospital, Haldwani",Rampur Road Haldwani,Unknown,Unknown,263139,Uttarakhand,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.2066422,79.5215112
"Sai Hospital, Nainital","Near Mukhani Chauraha Kaladhungi Road, Haldwani , Nainital, Nainital, Uttaranchal",Unknown,Unknown,263139,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.2172941,79.5180888
Agarawal Clinic & Nursing Home,"Mahesh Nagar , Near Dr. Ajay Pandey Nawabi Road Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.2207763,79.5229073
Bombay Hospital and Research Centre,"Avas Vikas Road, Near Saurabh Hotel,Hladwani",Unknown,Unknown,263139,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.234865,79.5330433
S K Nursing Home and Hospital and Clinic,"Gb Pant Marg Tikonia, Near Skoda Showroom, Haldwani, Nainital",Unknown,Unknown,263139,Uttarakhand,Unknown,clinic,clinic,Unknown,Unknown,Unknown,29.224215,79.5314099
Kathgodam UPHC,"Kathgodam, Haldwani",Unknown,Unknown,263126,Uttarakhand,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.2716541,79.5440046
Himalayan Arogya Niketan Ayurveda Naturopathy Hospital & Research Centre,"Kapil Complex, Mukhani Chauraha, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.2185998,79.5176568
Dr. Jasleen Kaur Kapoor,"Kathgodam, Haldwani",Unknown,Unknown,263126,Uttarakhand,Unknown,doctors,doctor,Unknown,Unknown,Unknown,29.2594077,79.5429601
Tatrari Clinic & Medicos,"Thapa Colony, Haldwani",Unknown,Unknown,263126,Uttarakhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.2425304,79.5323132
Dr. Manoj Trivedi Psychiatric Clinic,"Shakti Sadan Colony, Near Amba Vihar Donehariya Mukhani Road, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.2251139,79.5235101
Bhatt Hospital,"Sakhavat Ganj, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.2222366,79.5298069
Nirvan Hospital,"Heera Nagar, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.2112171,79.5177473
Drishti Eye charity,"Subhash Nagar, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.2295539,79.5299329
Dr. Adarsh Kumar,"Mukhani Chawraha ( Old Joshi Bone Hospital), Opposite Hdfc Bank, Adarsh Nagar, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,doctors,doctor,Unknown,Unknown,Unknown,29.2185667,79.5174235
Govind Dental Clinic,"Kapil Complax, Mukhani, Opp. Petrol Pump, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,dentist,dentist,Unknown,Unknown,Unknown,29.2186416,79.5174087
Kalyanika Polyclinic,"Kaladhungi Road, Heera Nagar, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,clinic,clinic,Unknown,Unknown,"8:00-13:00, 17:00-19:00",29.2165914,79.5238939
Sushila Tewari Cancer Care Unit,"Rampur, Haldwani",Unknown,Unknown,263139,Uttarakhand,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.2063945,79.5175961
