Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Ramkrishan Mission Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9329804,78.1481148
Matrichaya Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9316466,78.1365861
City Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9337515,78.1336284
City Hospital,"F - 1, Super Complex, Ranipur More (New Hardwar), Chandracharya Chowk",Unknown,Unknown,249401,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9334384,78.1337473
"Ramakrishna Mission Sevashrama, Haridwar",P.O Kankhal,Unknown,Unknown,249408,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9325864,78.1475329
Ananya Maternity and Medical Center,"Santosh Vihar, Arya Nagar, Jwalapur",Unknown,Unknown,249407,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9234405,78.1177497
Chandan Memorial Clinic and Lokpriya Hospital,"Ramleela Ground , Bhel Road, Jwalapur",Unknown,Unknown,249407,Uttarakhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9270611,78.1079422
Devbhoomi Hospital,"173, New",Unknown,Unknown,249401,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9316787,78.1351599
Shiv Shakti Hospital,"Shiv Shakti Vihar, Satikun Kankhal",Unknown,Unknown,249408,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9208694,78.1388131
Ganga Valley Hospital,"Kankhal, Kankhal, Haridwar, Uttaranchal",Unknown,Unknown,249408,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9243843,78.1372654
Sondhi Nursing Home,"Arya Nagar,Jwalapur,Hardwar(U.P)",Unknown,Unknown,249407,Uttarakhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9241983,78.1194395
Ganga Mata Charitable Eye Hospital and Research Institute,Saptarishi Link Road,Unknown,Unknown,249403,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9892436,78.192692
Preet Maternity Home And Ent Centre,"506, Pirlane Aryanagar, Jwalapur",Unknown,Unknown,249401,Uttarakhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9254664,78.123436
Dr Mehras Nursing Home and Hospital,"New Haridwar ,Jwalapur",Unknown,Unknown,249401,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9330641,78.1358398
Government Mela Hospital,Ancillary Estate Haridwar,Unknown,Unknown,249403,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9514091,78.1578192
Neelkanth Netralaya,"259,Vivek Vihar,Awas Vikas,Ranipur More",Unknown,Unknown,249403,Uttarakhand,Unknown,clinic,Unknown,Unknown,https://gmchld.org/,Unknown,29.9166035,78.1372654
Mishra Maternity Hospital,"Paramdham Ashram Road, Sarva Priya Vihar Colony, Kankhal",Unknown,Unknown,249404,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9200894,78.137127
Maxwell Janjeevan Hospital,"Laksar Road, Jagjeetpur",Unknown,Unknown,249408,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9217118,78.1363378
Daksh Balaji Ortho Hospital,"6 A, Gurbaksh Vihar, East, Laksar Road, Near Buddihmata Mandir, Kankhal",Unknown,Unknown,249408,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9185558,78.1410544
Sanjeevani Hospital,"Sati Kund Mandir, Laksar Road, Kankhal",Unknown,Unknown,249408,Uttarakhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9222758,78.1368264
Shah Clinic,Jagjeetpur,Unknown,Unknown,249404,Uttarakhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.918688,78.1394408
Gurukul Kangri Ayurvedic College & Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.918719,78.1194207
