Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Shivam Hospital,"525/35, Phagwara Road Sukhdev Nagar, Near T B Hospital Khanpuri Gate",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,http://www.shivamhospital.in/,Unknown,31.520966,75.9002785
New Saini Hospital,"Near Government College, Guru Nanak Avenue, Sutehri Road, Phagwara Chowk",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5242997,75.9141728
Sood Ent Hospital,"Near Banga Chowk, Railway Road, Garhshanker",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5362424,75.9048381
B.R. Chowdhary Hospital,"Near Pseb, Sub Urban, Jalandhar Road, ,Near Prabhat Chowk",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5319113,75.908276
Gulati Surgical Hospital,Hira Colony,Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,gulatisurgicalhospital.com,Unknown,31.5367139,75.9051499
RRM Central Hospital,"St No.3 Opp. Manavta Mandir, Central Town, Hoshiarpur",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,https://www.centralhospitalhoshiarpur.com/,Unknown,31.5284077,75.9084678
Singla Children Hospital,"Hira Colony Road, Hira Colony Road",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5293752,75.9044511
Satnam Hospital,"Opposite Shivam Hospital, New Deep Nagar",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5193247,75.9009802
Sethi Hospital and Maternity Home,"B-17/568, Sutheri Rd, Central Town, Manavta Nagar",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5282397,75.9085549
Gur Charan Kanwal Hospital,Gokal Nagar,Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5273056,75.9003594
Principal Raj Kumar Memorial Modern Hospital,Near Govt College,Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5274895,75.9042866
Saini Hospital / Saini I.V.F. and Fertility Research Centre,"Shaheed Udham Singh Park, Model Town Opposite Shahid, near Roshan Ground",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5348201,75.9028585
Goyal Hospital and Heart Care Centre,"Chandigarh Road, Aslamabad",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5446891,75.9021084
Gursimran Hospital,"Naloian Chowk, Dasuya Road",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5528694,75.9002446
"Kanwar Hospital, Hoshiarpur","Fatehgarh road, Street No 3, Guru Nanak Avenue, Near Prabhat Chowk",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5244451,75.9141285
Bhagya Tara Hospital,"New Shastri Nagar, Hoshiarpur",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.542134,75.909666
Bahti Clinic,Hoshiarpur,Unknown,Unknown,146024,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,31.583518,75.963131
Narad Hospital,"Manavta Nagar, Hoshiarpur",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5289124,75.9098501
Dr. Vijayendra's Urology Clinic,Hoshiarpur,Unknown,Unknown,146001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,31.5242734,75.9141693
Kalia Nursing Home,Krishna Nagar,Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.529988,75.919878
Police Hospital,Hoshiarpur,Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.523913,75.927286
Dr. Gulzar's Eyemax Clinic,Hoshiarpur,Unknown,Unknown,146001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,31.527622,75.9166142
TGM Gulati Surgical Hospital,"Ravidass Nagar, Aslamabad, Hoshiarpur",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.513582,75.929506
Purewal Bone & Joint Treatment,"Aslamabad, Hoshiarpur",Unknown,Unknown,146001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,31.514069,75.929304
S.D Homeopathic Hospital,Hoshiarpur,Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.53348,75.911493
Aggarwal Nursing Home,"Manavta Nagar, Hoshiarpur",Unknown,Unknown,146001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,31.528855,75.907507
Ravjot Hospital & Cardiac Centre,"Shaheed Udham Singh Park, Hoshiarpur",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5345257,75.9009238
Child Care Hospital,Hoshiarpur,Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5379716,75.9061659
J J Children Hospital and Women Wellness Centre,"Manavta Nagar, Hoshiarpur",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5307664,75.9067002
Sethi Hospital,"Manavta Nagar, Hoshiarpur",Unknown,Unknown,146001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,31.5289413,75.9089543
