Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Vikram Hospitals,"1-98/90/26, Near IOC Petrol Bunk, Hi-Tech City Main Road, Madhapur",Unknown,Unknown,500033,Telangana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4406857,78.3916647
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4405212,78.3916995
Apollo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4411195,78.3922165
Image Hospitals,"Plot No 8 & 9, Arunodaya Cooperative Housing Society, Vittal Rao nagar, Madhapur",Unknown,Unknown,500081,Telangana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4444337,78.3860746
Sai Krishna Medical Hall,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4426699,78.4415494
Sri Sathya Sai Medical & General Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4423328,78.4421888
Ameerpet Government Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4417142,78.4478775
Sri Vijaya Hospitals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4422795,78.4480341
Apollo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Su 07:00-23:00,17.4387093,78.4503714
Sree Priya Multi Speciality Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4415414,78.4461255
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4417252,78.4459528
Healthcare medical hall,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.3674722,78.486492
deluxe medical hall,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.3675439,78.4875756
Rahmat Ali hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.3672265,78.4859878
Reliable medical hall,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.3675031,78.4831017
Satya Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.407574,78.512174
Koundinya Medical&General Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4074716,78.5123242
Apollo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4023937,78.5096265
Ananda Nursing Home,Nimapara,Unknown,Unknown,752106,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,17.4101591,78.5143831
Innova Children's Heart Hospital,"12-5-30, Whith House, Moulali Road, Tarnaka",Unknown,Unknown,500017,Telangana,Unknown,hospital,Unknown,Unknown,https://www.innovahospitals.in/,Unknown,17.4293162,78.533452
Apollo Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4290954,78.5333362
Apollo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4092213,78.4890195
Medplus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4172588,78.4118211
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4411848,78.3917482
Vasavi ENT Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.40681,78.4645023
Mahavir Hospital and Research Centre,"10-1-1, Bhagwan Mahavir Marg, A.C Guards",Unknown,Unknown,500004,Telangana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4036641,78.4570626
Vasu Medical Store,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.402194,78.4833865
Medical Store,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4026538,78.4845254
Old Apollo Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.3985586,78.4814113
Krishna Children's Hospital,"11-5423/A/B, Niloufer Road, Opp. Hanuman temple, Red Hills, Lakdikapool",Unknown,Unknown,500004,Telangana,Unknown,hospital,Unknown,Unknown,https://krishnachildrenhospital.in,Unknown,17.4021334,78.4625295
Apollo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,17.4362518,78.5185589
Apollo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4436154,78.4804254
Arogyasree Health care trust,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4301742,78.3937323
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,17.468298,78.366808
Surojini Devi Eye Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.3990359,78.4447966
Balaji Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,17.4647222,78.4832453
Star Hospital,"8-2-596/5, Road No 10, Banjara Hills",Unknown,Unknown,500034,Telangana,Unknown,hospital,Unknown,040-44 777 777,https://www.starhospitals.in/,Unknown,17.4156911,78.4454609
Rainbow Hospitals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4148145,78.4475692
Fernandez Hospital,"D.No: 4-1-1230, Opp. YWCA, Abids Road, Bogulkunta",Unknown,Unknown,500001,Telangana,Unknown,hospital,Unknown,040 40222300,https://www.fernandezhospital.com,Unknown,17.3921498,78.4793651
Oxygen Hospital,Unknown,Vikrampuri,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4556983,78.4984034
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.4664325,78.4733729
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,17.4693193,78.4778376
