Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Greater Kailash Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.7250815,75.8904652
Shri Aurobindo dental clinic and institute of medical science,Unknown,Ujjain Road,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.7915227,75.8456355
Arshid shah,Unknown,Dhar road,Unknown,452001,Unknown,Unknown,pharmacy,Unknown,8103012446,Unknown,Unknown,22.7096242,75.8270791
Curewell hospital janjeerwala square,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.726664,75.8819643
Yoga Amrutam,Unknown,vasant vihar colony,Indore,Unknown,Unknown,Unknown,hospital,Unknown,9826099886,https://yogaamrutam.com/,Mo-Su 06:00-19:15,22.7579241,75.9020955
Suhan Pathology,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,laboratory,7869916166,Unknown,8:00-21:00,22.7538689,75.9053564
Dr. Lal Path Labs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,laboratory,9993399884,https://www.lalpathlabs.com/,Mo-Sa 08:00-20:00 ; Su 08:00-12:00,22.7569453,75.8989153
Dr. Vrinda Vashistha,Unknown,"Scheme No.-78, Vijay Nagar, 25, E.B, Lower Basement,",Indore,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,"Su-Sa 11:30-13:30,18:00-20:00",22.7535808,75.9048226
Total Homeopathic Pharmacy and Clinic,Unknown,"scheme number 94,near Bombay Hospital square",Unknown,Unknown,Unknown,Unknown,clinic,Unknown,9926569141,Unknown,"Mo-Sa 10:00-13:00,17:00-21:30",22.7531467,75.9044143
Sanjivani Ayurveda Medical,Unknown,Bombay Hospital Sqaure,Indore,Unknown,Unknown,Unknown,pharmacy,Unknown,9039137640,Unknown,Mo-Su 09:00-21:00,22.7529191,75.9050024
Daant Evam Orthodentic Chikitsa Kendra- Dr. Rakesh Thukral,Unknown,"Scheme No. 54, Vijay Nagar",Indore,Unknown,Unknown,Unknown,dentist,dentist,9425058561,Unknown,Mo-Sa 10:00-17:00,22.755912,75.8872703
Care Ayurveda Clinic,Unknown,"Scheme no.54, Vijay Nagar",Indore,Unknown,Unknown,Unknown,hospital,Unknown,9827089853,Unknown,"Mo-Sa 16:00-20:30, Su 10:00-12:00",22.7537292,75.8877182
