Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Maheswan Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.9170423,70.9053368
Shri Maheshwari Hospital and Research Centre,"35, C V Singh Colony,Barmer Rd",Unknown,Unknown,345001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.9066938,70.9438437
"UPHC, Gafur Bhatta",Gafur Bhatta,Unknown,Unknown,345001,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.92939,70.916497
Government Hospital Jaisalmer,"Cvs Colony, Jaisalmer",Unknown,Unknown,345001,Rajasthan,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.918331,70.907324
Jawahar Hospital,"Cvs Colony, Kishan Ghat",Unknown,Jaisalmer,345001,Rajasthan,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.916067,70.907701
"Government Hospital, Jaloda","Near Hanuman Chaurah, Cvs Colony",Unknown,Jaloda,345001,Rajasthan,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.916526,70.907232
Dream Hospital,Jaisalmer,Unknown,Unknown,345001,Rajasthan,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.9110258,70.9064379
Modern Dental Clinic,Unknown,Unknown,Unknown,345001,Rajasthan,Unknown,dentist,dentist,Unknown,Unknown,Unknown,26.915105,70.9086725
Golden City Hospital & Fertility Centre,Jaisalmer,Unknown,Unknown,345001,Rajasthan,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.92189,70.9075075
RL Memorial Hospital,Unknown,Unknown,Unknown,345001,Rajasthan,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.9187749,70.9087325
VJS Eye Care,"Dedansar Road, Anchalvansi Colony",Unknown,Unknown,345001,Rajasthan,Unknown,clinic,clinic,Unknown,Unknown,Unknown,26.919554,70.909237
Dr. Naseer Ahmed,Jaisalmer,Unknown,Unknown,345001,Rajasthan,Unknown,doctors,doctor,Unknown,Unknown,Unknown,26.916936,70.9191539
Prachi Clinic,Jaisalmer,Unknown,Unknown,345001,Rajasthan,Unknown,clinic,clinic,Unknown,Unknown,Unknown,26.9172165,70.9074705
SMS Eye Hospital,Jaisalmer,Unknown,Unknown,345001,Rajasthan,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.9248231,70.9077526
Dr. B K Arya,Jaisalmer,Unknown,Unknown,345001,Rajasthan,Unknown,doctors,doctor,Unknown,Unknown,Unknown,26.9239607,70.9081759
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.9160571,70.907894
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.9156573,70.9078395
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.9156677,70.9078984
Priya,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.9167978,70.9046646
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.91567,70.9079291
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.9160678,70.9079904
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.916071,70.9080331
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.9160624,70.9079493
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.9156644,70.9078674
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.9183062,70.9088487
