Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Dawalbhakta Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0119259,75.5593229
Sahyog Critical Care Centre,"Bhagwant Bhuvan, No 69,Housing Society,Near Rose Garden,Shahu Nagar",Unknown,Unknown,425002,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.013136,75.559373
Dr. Datar E.N.T. Hospital,"Laxmi Keshav, Opposite Anurat Bhavan Pratap Nagar",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0097693,75.558004
Nityaseva Hospital,"10, Pratap Nagar, Near Anuvrat Bhavan",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0100105,75.5573961
Nimjai Healthcare( Pvt) L T D,"2674/A12 , Opposite Session Court , Maher Hospital",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0118067,75.5610221
Shri Naval Hospital and Ivf Center,M.J. College Road,Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0019001,75.559497
Rajas Hospital,"Opposite Mahesh Pragati Mandal, Ring Road",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0046495,75.5572137
Godavari Hospital and Maternity Home,"M.J. College Road, Near Bhaskar Market",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.001969,75.5598611
Atharva Hospital Criticare General and Dental Centre,"Swatantrya Chowk, Near India Garage",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0030107,75.564677
Kolhe Hospital,"National Highway No.6, Near Prabhat Colony Chowk",Unknown,Unknown,425002,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0016278,75.5566283
"Sanjivani Hospital, Jalgaon","2112/25, Jaikisan Wadi",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0121287,75.560836
Parshwa Netralaya,"Swatantrya Chowk, 87/2, Behind I P Presidents Bunglow",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0035929,75.5664472
Dr V H Chaudhari Hospital,Near Bhaskar Market,Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0199168,75.5304989
Mansai Hospital,"27, Visanji Nagar",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.011464,75.5658518
Jalgaon Heart Institute Ltd. / Indoamerican Cardiovascular Center,Visanji Nagar Opp Golani Market,Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0144648,75.5601735
Siddhesh Hospitals,"Near Khajamiya - Khajamiya Darga, Behind Shubhakamna Sankul",Unknown,Unknown,425002,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0101444,75.5512123
Sudatta Orthopaedic Hospital,"389, Opposite Patrakar Colony, Telephone Exchange Road, Swatantrya Chowk",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0048693,75.5653552
Dipika Hospital,"Near Bhaskar Market, Opposite Jilhapeth Police Station",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.002806,75.5612558
Shree Gajanan Heart and Eye Hospitals Pvt. Ltd,"Plot No. 370, Opposite General Post Office, Omkar Nagar, Jilhapeth",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0066014,75.567724
Raisoni Hospital,Near Sessions Court,Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0136561,75.5625781
Arya Hospital,Ganesh Plaza Baliram Peth,Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0173166,75.5680472
Shobha Hopsital,"Pratap Nagar, In Front Of Sau. Ranta Jain School(Old Maharana Pratap) Near Swami Smarath Kendra, Kwajamiya Chouk",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0034772,75.5680712
Gayatri Hospital,"Maliwada, Near Balaji Mathi, Erandol",Unknown,Unknown,425001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.0068037,75.5484502
