Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Batra Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7512875,74.9085736
Madaan Hospital And Research Centre,"37 A/C, Gandhi Nagar",Unknown,Unknown,180004,Jammu and Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7064477,74.8588765
Bee Enn General Hospital,"A unit of Bee Enn Charitable Trust, Talab Tillo Road",Unknown,Unknown,180002,Jammu and Kashmir,Unknown,hospital,Unknown,Unknown,http://www.beeenngroup.com,Unknown,32.7296159,74.8411043
Pushpanjali Life Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7298046,74.8396994
Maharishi Dayanand Hospital And Research Centre,"228,B C Road Opp National Garege Rehari Chungi",Unknown,Unknown,180005,Jammu and Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7435391,74.8613736
Kalindi Hospital And Diagnostic Centre,"2/155, Vikas Nagar, Subash Nagar",Unknown,Unknown,180005,Jammu and Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7492263,74.8467314
SHS Memorial Nursingh Home,"32, Rehari",Unknown,Unknown,180005,Jammu and Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7431476,74.8586096
Sood Eye Centre,Trikuta Nagar,Unknown,Unknown,180012,Jammu and Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7008271,74.8745003
Medicare Nursing Home,"39 B/C, Gandhi Nagar",Unknown,Unknown,180003,Jammu and Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7064494,74.8619878
"Centre For Sight, Rehari Chungi","228, B.C.Road, Rehari Chungi, Near Maharishi Dayanand Hospital",Unknown,Unknown,180001,Jammu and Kashmir,Unknown,clinic,clinic,Unknown,https://www.centreforsight.net/,Unknown,32.7437466,74.8613602
Care-N-Cure Hospital,"78/8, New Bye Pass Road, Railway Station, Trikota Nagar",Unknown,Unknown,180004,Jammu and Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7015584,74.8789474
District Hospital Gandhi Nagar,Gandhi Nagar,Unknown,Unknown,180004,Jammu and Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7047465,74.8603463
Chand Eye Clinic,32-Gurha Bakshi Nagar,Unknown,Unknown,180001,Jammu and Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7378549,74.8492567
S H S Memorial Hospital,"Rehari Chowk, 32, Colony Road, Near Gurowara, Rehari",Unknown,Unknown,180005,Jammu and Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7431804,74.8586096
Arya Hospital,"Pathankot Jammu Highway, Bridge No 5, Sujanpur",Unknown,Unknown,180004,Jammu and Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7428865,74.8616619
Aastha Nursing Home,Ambphalla,Unknown,Unknown,180004,Jammu and Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7454138,74.8634161
Surjit Hospital,Gandhi Nagar,Unknown,Unknown,180004,Jammu & Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.702753,74.8600639
Homoeopathic Clinic,Trikuta Nagar,Unknown,Unknown,180012,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7022855,74.8774295
Dr. Ajay Wakhloo Clinic,Gandhi Nagar,Unknown,Unknown,180004,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7032677,74.8611307
Sachdeva Netralaya,Gandhi Nagar,Unknown,Unknown,180004,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7028688,74.8657978
Dr. Batra's Homoeopathy Clinic,Bahu Plaza,Unknown,Unknown,180001,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7051919,74.8724629
Shri Matha Vaishno Devi Netralaya MultiSpeciality Clinic,Gandhi Nagar,Unknown,Unknown,180001,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7052288,74.8702854
Maximum Clinics,Gandhi Nagar,Unknown,Unknown,180004,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7002131,74.8602638
Kudyar Clinic,Trikuta Nagar,Unknown,Unknown,180012,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7005254,74.8744327
Triveni Nursing Home,Gandhi Nagar,Unknown,Unknown,180004,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7067137,74.862604
Benison IVF& Health Care Clinic,Gandhi Nagar,Unknown,Unknown,180004,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7068416,74.8628531
Goel Eye Clinic & Retina Centre,"Bahu Plaza, Gandhi Nagar",Unknown,Unknown,180006,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7053598,74.8727213
Oscar MultiSpeciality Clinic,Maheshpura,Unknown,Unknown,180001,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.7360476,74.8557894
Rio Skin and Hair Health Centre,Roop Nagar,Unknown,Unknown,180013,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.772134,74.843568
Suri Nursing Home,Canal Road,Unknown,Unknown,180002,Jammu & Kashmir,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,32.7281403,74.8463725
Drishti Eye & Retina Clinic,"Jain Bazaar, Pakki Dhaki",Unknown,Unknown,180001,Jammu & Kashmir,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,32.735886,74.871042
