Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
eye hospital,Unknown,main road sakchi,jamshedpur,Unknown,Unknown,Unknown,hospital,Unknown,06572432203,Unknown,Unknown,22.8040431,86.2025846
Sai,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.8100924,86.2028503
Ganga Memorial Hospital and Research Centre,"Dimna Road, Mango,Jamshedpur",Unknown,Unknown,831018,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.8301058,86.2236254
"Life Line Nursing Home, East Singhbhum","Main Road, Rajendra Nagar,Near Govt Hospital",Unknown,Unknown,831001,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.8092139,86.2091549
Arogyam Hospital and Diagnostic Research Center,"Sidhgora Market, Main Road,Sidhgora, Jamshedpur",Unknown,Unknown,831009,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.8003659,86.2310015
Nisha General Hospital (P) Ltd.,"Main Road, Jawhar Nagar, Mango",Unknown,Unknown,831018,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.8355839,86.2126324
Apex Hospital (Unit Of Chaudhary Medicare Hospital Pvt Ltd) - Jamshedpur,"New Baradwari Sakchi Near Mgm Hospital, Near Hotel Ganga Regency",Unknown,Unknown,831001,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.8096824,86.2104397
"Primary Health Centre, Pagda",Patamda,Unknown,Unknown,832105,Jharkhand,Unknown,Unknown,centre,Unknown,Unknown,Unknown,22.8794297,86.2882575
Brahmananda Narayana Clinic,Unknown,"Dhalbhum Road, Ambagan, Sakchi, Jamshedpur, Jharkhand 831001",Unknown,Unknown,Unknown,Unknown,clinic,Unknown,095072 02020,Unknown,Unknown,22.81025,86.20383
Durga Medical,Unknown,Dimna Road ,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,22.841013,86.2316994
Mayank Mrinal Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.8270536,86.2234434
Paul Medical Hall,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.822889,86.2196563
Mahima Pathology,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,laboratory,Unknown,Unknown,Unknown,22.8229337,86.2197648
