Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Govt. hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3022903,73.0603578
BSF Hospital,"Mandore, Nayapura",Unknown,Unknown,342007,Rajasthan,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.333187,73.0442989
kelash hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.3003659,73.0584874
Shri Ram Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.3103711,73.0389769
Chandra Bhusan Hospital,Opp Mahamandir Railway Station Mandore Road,Unknown,Unknown,342006,Rajasthan,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.3095768,73.0381205
Yash Aman Hospital,"21, Kishor Bag, Near Bhomiyaji Than, Main Nagor Road",Unknown,Unknown,342802,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3264341,73.0445378
Aastha Hospital,"Near Hdfc Bank,Paota, Main Mandore Road",Unknown,Unknown,342003,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3012553,73.0380186
S.N.T. Satellite Hospital,"Near Amritlal Gehlot Stadium, Mandore, Jodhpur",Unknown,Unknown,342007,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3399306,73.0504145
"Govt. Hospital, Balsamand","Opp. Bsf Training Centre, Balsamand, Mandore",Unknown,Unknown,342007,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3349683,73.0338302
PHC Mahamandir,"Durga Das Nagar, Laxmi Nagar, Jodhpur",Unknown,Unknown,342006,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.3008582,73.0464661
City Dispensary Sursagar,Soorsagar,Unknown,Unknown,342001,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.3078903,73.0024876
"ESIC Dispensary, Laxmi Nagar","Paota C Road, Mahamandir Area",Unknown,Unknown,342006,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.303554,73.041957
Esi Dispensery No. 2 Maderna Colony,"Bhadasiya School Girls, Bhadasiya, Maderna",Unknown,Unknown,342006,Rajasthan,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.315994,73.0510589
"Government Hospital, Jodhpur","Nagori Gate Kila Road, Inside Nagori Gate, Vijay Chowk, Jodhpur",Unknown,Unknown,342001,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3003581,73.0296209
Composite Hospital,"Mandore, Jodhpur",Unknown,Unknown,342005,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3333198,73.0445374
Ayurvedic Hospital,"Mandore, Jodhpur",Unknown,Unknown,342007,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3355771,73.0608688
Khichi Hospital,Jodhpur,Unknown,Unknown,342006,Rajasthan,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.311285,73.049311
Sagar Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.3122096,73.0940121
