Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Indian Red Cross Society Blood Bank - Kakinada,"D.No: 8-14-39, Ground & 1st Floor, Red Cross Street, Gandhi Nagar, Kakinada",Unknown,Kakinada,533004,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,http://www.Indianredcross-eg.org,24/7,16.9700692,82.2276516
Rotary Club Blood Bank,"D.No: 15-8-3, Rotary Club Golden Jubilee Charitable Trust, Second Floor, Brahmarishi Road, Satya Prasanna Nagar",Unknown,Kakinada,533001,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,16.9558062,82.2383939
"Government General Hospital, Blood Bank.","Government General Premises, Ground Floor",Unknown,Kakinada,533001,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,16.9557048,82.2275638
Bharani Hospital,Kakinada,Unknown,Unknown,533003,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.9721394,82.2368563
Sri Venkata Chalapathi Nursing Home,"H.No: 10-7-39, Kopellavari Street, Ramaraopet(Near Duper Bazar), Kakinada",Unknown,Unknown,533004,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.9623125,82.2279594
Trust Hospital(A Unit Of Sarvottam Health Care),"H.No: 3-29, Sarpavaram Junction",Unknown,Unknown,533005,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,https://www.trusthospitals.in/,24/7,16.9956421,82.241119
Sai Sudha Hospital,"H.No: 21-1-24, Jawahar Street, Shalypet",Unknown,Unknown,533004,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,16.9545355,82.2324528
Sudha Urology And Andrology Hospital,"H.No: 10-5-8, Nageswara Rao Street, Rama Rao Pet 2nd Junction, Kakinada",Unknown,Unknown,533004,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.9635849,82.2287956
Vijaya Nursing Home - Kakinada,"Jawahar Street, Kakinada , East Godavari",Unknown,Unknown,533004,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,16.9557901,82.233289
Apollo Hospitals - East Godavari,"H.No: 13-1-3, Main Road, Kakinada",Unknown,Unknown,533001,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,16.9605538,82.2358967
