Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Mariampur Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.465464,80.305789
Agarwal Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.464244,80.314388
Rama Krishna Mission Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.468763,80.318223
Aashi Medical Store,Unknown,Unknown,"Vijay Nagar, Kanpur",Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.4649615,80.2905501
Rama Medical Store,Unknown,Unknown,"Vijay Nagar, Kanpur",Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.4649478,80.2904342
New Golden Medical Store,Unknown,Unknown,"Vijay Nagar, Kanpur",Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.4635336,80.2943016
Sumeet Medical Store,Unknown,Unknown,"Vijay Nagar, Kanpur",Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.4632986,80.2952151
Lala Lajpat Rai and Associate Hospital,Swaroop Nagar,Unknown,Unknown,208001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4781242,80.3114319
Life Care Chemist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.4727211,80.2868668
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.4655048,80.3067394
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.5113535,80.2365581
प्राथमिक स्वास्थ्य केन्द्र,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.4712772,80.3267936
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4791725,80.3056219
Shifa Eye Research Centre(Ana Eye Hospital),"88/327, Chaman Ganj",Unknown,Unknown,208002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.468316,80.3357461
Shekhar Rastogi Eye Hospital,13 Lakhanpur Road,Unknown,Unknown,208001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4945033,80.2790838
Merry Gold Hospital,"E-32, Panki Mandir Road",Unknown,Unknown,208002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.409045,80.3274326
R.K.Sindhi Sangh Maternity Hospital,"Block - 11,Govind Nagar",Unknown,Unknown,208006,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4527897,80.302311
"Rama Medical College Hospital, Kanpur Nagar","Rama City, G.T.Road, Near Mandhana Railway Station",Unknown,Unknown,209217,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,https://ramamedicalcolleges.com/,Unknown,26.5671937,80.2208604
Shivani Hospital Pvt Ltd,"120/503, Shivaji Nagar",Unknown,Unknown,208005,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4718516,80.3020616
Tulsi Hospitals Ltd,14/116-A Civil Lines Civil Lines,Unknown,Unknown,208001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4794961,80.344069
Jeevani Hospital,"Kanpur Nursing Home, Opp Hallet Hospital ,7/199 Swaroop Nagar",Unknown,Unknown,208002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4795897,80.3106406
Gopal Krishna Surgical and Maternity Clinic,"127, W-1/63, Saket Nagar, (Opposite Parag Diary)",Unknown,Unknown,208014,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.439615,80.3091238
S.R Hospital and Diagnostic Point,"128/A187, K Block,Kidwai Nagar",Unknown,Unknown,208001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4201391,80.3293204
Maa Durga Hospital and Research Center,"Shivli Road, Kalyanpur",Unknown,Unknown,208002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4984456,80.2374639
Hamid Hospital,97/128 Talao Mahal,Unknown,Unknown,208001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4721229,80.3406358
Regency Hospital,"A-2, Sarvodaya Nagar",Unknown,Unknown,208005,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,www.regencyhospital.in,Unknown,26.4793574,80.3015634
Ratandeep Hospital,"I-6, Moti Vihar, 117/K/13, Sarvodaya Nagar",Unknown,Unknown,208025,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4808825,80.2994223
Royal Cancer Institute and Research Centre,"113/103A, Swaroop Nagar",Unknown,Unknown,208002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,royalcancerinstitute.com,Unknown,26.479268,80.3160292
North Star Hospital and Joint Replacement center,25/11 - Canal Road,Unknown,Unknown,208001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,www.northstarhospital.co.in,Unknown,26.4635912,80.359061
Rama Shiv Hospital,"81, W-2, Vivek Vihar, Barra",Unknown,Unknown,208027,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4309735,80.307937
Akshi Eye Care Centre,"#2/344, A-Azad Nagar Kanpur,Opposite Pandit Deen Dayal Vidyalaya",Unknown,Unknown,208002,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.4983439,80.3117881
Madhav Eye Hospital,"G.T Road , Awadhpuri",Unknown,Unknown,208024,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4952396,80.269344
Bhargava Hospital,"15/263, Civil Lines Civil Lines",Unknown,Unknown,208001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4743257,80.350167
St. Catherine's Hospital,"63/8, Mg Marg,Mall Road",Unknown,Unknown,208004,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,stcatherineshospital.org.in,Unknown,26.4581507,80.3603929
New Shiv Raj Hospital,"128/70 Y, Block Kidwai Nagar",Unknown,Unknown,208011,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.422144,80.3196676
Nasir Hospital,87/73 Hindustan Tannery Compound Bypass Road Jajmau,Unknown,Unknown,208001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.4311536,80.4056311
Paliwal Eye and Retina Centre,"Manu Clinic, 7/117, Swaroop Nagar",Unknown,Unknown,208001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.4841176,80.3198902
