Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Neelu Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,9.9637331,76.2478659
PNVM Hospital and Research Centre,"Madhava Pharmacy Jn, Kacherippady, Kochi",Unknown,Unknown,682018,Kerala,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,9.9859833,76.2814393
Al Shifa Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9787245,76.2867126
Sree Sudheendra Medical Mission Hospital,"Kacheripady, Chittoor Road",Unknown,Unknown,682018,Kerala,Unknown,hospital,Unknown,Unknown,https://ssmmhospital.com/,Unknown,9.9849328,76.2832964
Jyothi Medical Shop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,9.9573258,76.2511988
Cochin Coperative Medical Shop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,9.9577151,76.2540041
Gautham Hospital,"P.B. No. 868, Panayapilly",Mons. Mathew Kothakathu Road,Unknown,682008,Kerala,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,9.9468667,76.2560419
Laxmi Hospital,Unknown,Mons. Mathew Kothakathu Road,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,24/7,9.9478979,76.2558553
Madhava Pharmacy,Unknown,Banerji Road,Ernakulam,682018,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,9.9859829,76.281377
City Hospital,"Mahatma Gandhi Rd, opp. Padma Theatre, Padma Junction, Shenoys, Ernakulam",Mahatma Gandhi Road,Ernakulam,682035,Kerala,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,9.9812391,76.2834857
new medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,9.9979558,76.2961038
Akshaya Hospital,"Near Varkeys Market, Kaloor - Kadavandara Road, Kadavandara",Kaloor-Kadavanthara Road,Unknown,682020,Kerala,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9690057,76.299672
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,9.9731372,76.2812728
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,9.9879592,76.2942771
Westend Eye Hospitals,"Kacheripady, Chittoor Road, Near Vimalalayam",Chittoor Road,Unknown,682018,Kerala,Unknown,hospital,hospital,+91 9288605411,Unknown,Unknown,9.9880943,76.2827224
Recoup,Unknown,Old Railway Station Road,Unknown,Unknown,Unknown,Unknown,Unknown,rehabilitation,Unknown,Unknown,Unknown,9.9884867,76.281579
Avalon Pharmacy,Unknown,ESI Hospital Road,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,9.9920587,76.282585
nechupadam dental clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,9.9785572,76.2762711
Geekay Drug House,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 09:00-08:00,9.968433,76.2876545
Mandoli Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,9.96839,76.2877668
Soman's Dental Speciality Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,9.9682239,76.2877865
MG Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,9.9646941,76.2873507
Sri Kripa Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,9.9660336,76.288563
Modern Medical Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,9.9649902,76.2892501
Rishi Ayurveda,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,alternative,Unknown,Unknown,Unknown,9.9653442,76.2917507
Razal Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,9.9640327,76.2467031
Medline Diagnostics Center,Unknown,T D East Sannidhi Road,Ernakulam,682035,Unknown,Unknown,Unknown,laboratory,+91 484 238 3737,Unknown,Mo-Sa 09:00-16:30,9.9799821,76.2820251
Celica Medical Center,Unknown,Mahatma Gandhi Road,Ernakulam,682015,Unknown,Unknown,Unknown,laboratory,+91 484 238 2582,https://www.celicacochin.com/,Mo-Su 09:15-17:00,9.9576894,76.2892645
Gulshan medicare,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,laboratory,+91-484 405 1351,Unknown,Unknown,9.9867324,76.2807801
Homeo clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,doctor,Unknown,Unknown,Unknown,9.912541,76.2936908
Jesus Hospital,"Opposite Government Hospital, Karuvelipady, Cochin",Unknown,Unknown,682005,Kerala,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,9.9428842,76.2606941
Vijaya Institute of Medical Sciences,"Kadamdhenu Apartments,Kadavanthra-Kaloor Road Kadavanthra",Unknown,Unknown,682020,Kerala,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9700978,76.2991192
