Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7168057,74.2411131
Apple Hospitals and Research Institute Ltd,"804/2,805/2 E Ward, Kadamwadi Road",Unknown,Unknown,416003,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.701583,74.2394954
Joshi Hospital and Dialysis Centre,"23, Opp Rajesh Motors Bhusawal",Unknown,Unknown,416003,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,16.7089054,74.2535515
"Vasan Eye Care Hospital, Kolhapur","Ashoka Arcade, 517/A/1, E Ward, Plot No 4, Station Road, Kawla Naka, Shivaji Park",Unknown,Unknown,416003,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,16.7057396,74.2464992
Purva Hospital,"No. 1169, Rajaram Road, Takala",Unknown,Unknown,416001,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,16.7000596,74.2488214
Aastha Hospital,"Royal Pride Opp Hotel Gokul No. 350/1, Station Road",Unknown,Unknown,416003,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7036601,74.2360172
Om Clinic,M D (Paed) Dch Mahadwar Road,Unknown,Unknown,416001,Maharashtra,Unknown,clinic,clinic,Unknown,Unknown,Unknown,16.7055265,74.2461386
Ent Hospital (Dr. Balashed Patil),Shivaji Nagar Kolahpur,Unknown,Unknown,416112,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7006428,74.2278627
"Meera Nursing Home, Kolhapur","240, I Ward, Ruikar Colony",Unknown,Unknown,416001,Maharashtra,Unknown,clinic,clinic,Unknown,Unknown,Unknown,16.7040121,74.2560755
Vardhan Children Hospital,Central Bus Stand Near Railway Fatak Behind Swarg Jewellers Sykes Extension,Unknown,Unknown,416008,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,16.7008875,74.2423493
Swami Hospital,"774/Kh, Shahpuri 5Th Lane E Ward",Unknown,Unknown,416001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7008059,74.2327054
"Vijay Hospital, Kolhapur","Shahupur, 3Road Lane",Unknown,Unknown,416003,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7013647,74.233321
Shri Ram Clinic,"At Post - Yavaluj, Tal Panhala",Unknown,Unknown,416005,Maharashtra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,16.710044,74.2667681
Guru Prasad Hospital,"1486 A/1, D Ward, Maskuti Talaw, Uttareshwar Peth",Unknown,Unknown,416002,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7004334,74.2153247
"Apex Hospital, Kolhapur","C. S No 517 A/13, Plot No-27 Near Gadre Garden , Shivaji Pak",Unknown,Unknown,416012,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,16.7039915,74.246736
Apple Saraswati Multispeciality Hospital,"804/2 ,805/2, E Ward, Circuit House, Kadamwadi Road",Unknown,Unknown,416003,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7224375,74.2545587
Mudhale Nursing Home and Kolhapur Endoscopy Centre,"204 K/30B, New Shahupuri, Behind Turist Hotel,Near C.B.S",Unknown,Unknown,416001,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,16.7062195,74.2440364
Patki Hospital,Kolhapur,Unknown,Unknown,416001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.700427,74.239136
Ishan Hospital,Pratiraj Complex Opp Pitali Ganpati Mandir Opp Pitali Ganpati Mandir,Unknown,Unknown,416003,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7166872,74.2413609
Vairat Hospital,"1451/C, Dr. Ahilya Devi Complex Behind Cpr Hospital Laxmi Puri",Unknown,Unknown,416006,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7005978,74.2278667
"Ashwini Hospital, Kolhapur","G N Chambers, Kolekar Tikati Mangalwar Peth",Unknown,Unknown,416012,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7012157,74.2312033
Om Sai Children's Hospital and Paediatric Pulmonology& flexible bronchoscopy Clinic,"643/1-4, E, Ward ,Rukada, Chambers, First Floor, Near Hariprasad, Mangai , Karyalay , Shahupuri 2nd Lane",Unknown,Unknown,416221,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7018618,74.232637
Desai Hospital,"071E , 2nd Lane , Shahpuri",Unknown,Unknown,416001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7010615,74.2356209
Rama Clinic,"666E,Shahupuri,2nd.Lane",Unknown,Unknown,416001,Maharashtra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,16.7011826,74.2346393
Western India Institute Of Neuro Sciences - Kolhapur,"182/83 B, Bawada Road, Near Mahaveer College, Nagala Park",Unknown,Unknown,416002,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7121467,74.227109
Kelavkar Medical Centre and Critical Care Unit,"247/1 `E` Ward, Tarabai Park",Unknown,Unknown,416003,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7116997,74.2400721
