Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Eden Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.5727398,88.3600196
Calcutta Medical College & Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.5722242,88.3614363
Ballygunge Drugs Centre,Unknown,Unknown,Unknown,700019,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.5337863,88.3648196
Frank Ross,Unknown,Hazra Road,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,https://www.frankrosspharmacy.com/,Unknown,22.5262448,88.3657852
Sri Ramakrishna Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.5179768,88.3551504
Unknown,Unknown,Burdwan Road,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.5222059,88.3285765
Get Well,Unknown,Rash Behari Avenue,Unknown,700026,Unknown,Unknown,pharmacy,pharmacy,098314 61931,Unknown,Fr-We 09:00-22:00,22.5169556,88.3489454
Life Homoe Medicine,Unknown,S B Ghosh Road,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,22.7581278,88.3711704
Life Medicine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,22.75816,88.3711409
XPons Doctor's Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.7586464,88.3707083
M/S Remedy,Unknown,Old Calcutta Road,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,22.7583502,88.3735435
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.5641673,88.3680233
Chittaranjan Shishu Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.5264408,88.3471209
Chittaranjan Seva Sadan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.5259264,88.3470069
Chittaranjan National Cancer Institute Hospital,Unknown,Shyama Prasad Mukherjee Road,Kolkata,700026,West Bengal,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.5252694,88.3466423
Centre Point Nursing Home,"27/T, Raj Krishna Street, Uttarpara,",Unknown,Unknown,712258,West Bengal,Unknown,clinic,clinic,9830511168;9051968444,http://thecarenursinghome.com/,Unknown,22.5291683,88.3451221
Aastha,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.5429973,88.3560631
Quadra Medical Services Pvt Ltd,Unknown,Hazra Road,Unknown,700019,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,22.5263392,88.3641593
Mayor Chect Clinick,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,22.5895694,88.3507269
