Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Shakun Medical Store,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.873942,80.9577991
"Devishiv Hospital, Lucknow","B-328-B, Sector B, Mahanagar., Near Mount Carmal School",Unknown,Unknown,226006,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8746885,80.9603472
Hind Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.8542571,81.0086687
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.8779227,80.9969109
Saraswathi Hospital and Research Centre,"233, Tiwariganj,Faizabad Road,Via Chinhat",Unknown,Unknown,226016,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8929536,81.0676311
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.9188249,80.9777199
Unknown,Unknown,Kanchana Bihari Marg,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.9044958,80.9745792
Jagrani Hospital,"C-50/51, Trimurnigram,Ring Road,Kalyanpur",Ring Road,Unknown,226022,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,dietician.jagranihospital.com,Unknown,26.8977996,80.9687508
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.8912023,81.064664
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,26.890983,81.0646623
Unknown,Sadar Cantt,Carriappa Road,Unknown,226002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8176012,80.94033
Rigmeds Pharmacy,Unknown,Ram Ram Bank Chauraha,Lucknow,226024,Unknown,Unknown,Unknown,alternative,9648414507,https://rigmeds.com/,Unknown,26.9049676,80.9433725
Agarwals Dental Clinic,Unknown,Mahanagar Extension,Lucknow,226006,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,26.882276,80.9565481
Ajanta Hospital & IVF Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.8146397,80.9044751
Mansarovar Eye Hospital,"#57/53, Vidhan Sabha Marg,Opposite Akashvani",Unknown,Unknown,226001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.8418872,80.9399218
Shekhar Hospital Pvt. Ltd.,"B- Block, Church Road, Indira Nagar",Unknown,Unknown,226016,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.87633,80.9854174
Rida Nursing Home,"Rida Nursing Home ,1, Sector-9, Vikas Nagar",Unknown,Unknown,226020,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.8722807,80.9764923
Metro Hospital and Trauma Centre,"1/25, Vijay Khand, Gomti Nagar, Lucknow,Near Lohia Park, Gomti Nagar(Over Bridge)",Unknown,Unknown,226010,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8595311,80.9898859
Samra Hospital,"Near Medical College,Petrol Pump,Subhas Marg",Unknown,Unknown,226003,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8624216,80.9135422
Rida Hospital,"301/1, Sector- 9, Vikas Nagar",Unknown,Unknown,226006,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8896937,80.9622954
Shri Hari Kamal Netra Neelaym and Laser Centre,"C-20, Sector-M, Near -Gulacheen Mandir, (Infront Of Metro Club) Kursi Road",Unknown,Unknown,226026,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8966428,80.9547544
Safiya Clinic and Nursing Home,Haider Mirza Road Golaganj,Unknown,Unknown,226001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.8528432,80.9248924
Rishi Hospital,"4/33, Vijyant Khand, Kathauta Chauraha Rd, Gomti Nagar",Unknown,Unknown,226010,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.8663756,81.0220738
Ranjana Nursing and Maternity Home,"M .I. G -9, Aishbagh, L.D.A Colony",Unknown,Unknown,226004,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8487999,80.9039091
Dr.Shyama Prasad Mukherjee (Civil) Hospital,"Park Rd,Hazratgunj",Unknown,Unknown,226001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8446682,80.9489809
Varshney Clinic and Hospital,"Opp-Naveen Galla Mandi , Tarun Dharam Kanta, Sitapur Road",Unknown,Unknown,226021,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.8907187,80.9353687
Nishat Hospital,"3, J. C. Bose Marg, Lal Bagh",Unknown,Unknown,226001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8504049,80.936254
Get-Well Hospital,"C-16,Sector-M,Aliganj.Kursi Road",Unknown,Unknown,226024,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8964072,80.9547467
Jan Kalyan Eye Hospiyal,"A-1040, Indra Nagar",Unknown,Unknown,226016,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.8783845,80.9789613
Modern Pathology and Diagnostic Center,"2/17, Vinay Khand, Gomti Nagar",Unknown,Unknown,226001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.8510595,81.0097302
"Urmil Hospital, Lucknow","Priyadarshani Colony,Sitapur Road",Unknown,Unknown,226020,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.9024338,80.9382574
Abhinav Drishti Eye Hospital,"B - 719, Sec - C, Mahanagar, Near Channi Lal Crossing",Unknown,Unknown,226006,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.878323,80.9538938
Chandra Mother And Eye Care Pvt Ltd,"4/43, Vivek Khand Opp: Central School, Gomti Nagar",Unknown,Unknown,226010,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8661579,81.0056037
Saral Krishna Hospital,"B-11, Sector-E, Aliganj, Opposite Kendriya Bhawan, Purania, Aliganj",Unknown,Unknown,226024,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.891931,80.9450716
Ajanta Hospital and Ivf Centre Pvt. Limited,"765, Alambagh,Near Krishna Cinema, Kanpur Road",Unknown,Unknown,226005,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.8157204,80.9051429
