Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Golu and Lucky Medicare Home,"Singh Mansion, Kotwali Chowk",Unknown,Unknown,847212,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.329973,86.070527
Nayan Jyoti Netralaya,Ranti Deodhi,Unknown,Unknown,847239,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3475694,86.096486
"Heart Hospital, Madhubani","Jahnavi Sadan , Navratan",Unknown,Unknown,847211,Bihar,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3379607,86.0798188
Heritage Hospital and S N R L Trauma and Orthopedic Research Centre,Jeebachh Chowk Sapta,Unknown,Unknown,847211,Bihar,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.3587011,86.0488433
"Sadar Hospital, Madhubani",Infront of Cerkit House,Unknown,Unknown,Unknown,Bihar,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,26.337876,86.0718774
Primary Health Center Rahika,Rahika,Unknown,Unknown,847238,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.3767344,86.0167426
Dr. Jagannath Gami's Clinic,"Near Balua, Gandhi Chowk",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3546594,86.0676961
JPS Physiotherapy Centre,"Bhoop Narayan Singh Colony, Madhubani",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.341655,86.0729404
Arogya Sewa Clinic,"Basuara, Madhubani, Hospital Road",Unknown,Unknown,847212,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.331912,86.0716819
Maxmedica Eye Clinic,"North Kali Mandir, Madhubani",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3531692,86.0771691
Dr.Pankaj Kumar - Skin Care Clinic,"Head Post Office Road, Near Indian Bank",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3474121,86.0740804
Amba Clinic,"Public School, Station Road",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3468157,86.0758034
Dr.R.K Das Clinic,"Bijily Colony, Madhubani",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3384558,86.0709314
Dr. Bharti Kumari Eye Clinic,"North Kali Mandir, Raza Nagar, Surat Ganj",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3530408,86.0774011
Heart & Diabetes Clinic,"Ward Number 7, Surat Ganj, Madhubani",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3556158,86.0773601
Dr. Kaushal Kumar Cardio Clinic,"Ward Number 7, Adarsh Nagar Colony",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3550534,86.0775238
Dr. SN Sinha Clinic,"Pupri, Madhubani Road, Dahibhat Dih, Madhubani",Unknown,Unknown,847211,Bihar,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,26.3582299,86.0637875
