Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
PAMC Hospital (Pandian Advanced Medical Centre),"Opp To Milk Project, Madurai South, K.K.Nagar,Madurai",Unknown,Unknown,625020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9267975,78.1420027
Aravind Eye Hospitals,"Kuruvikaran Salai, Anna Nagar, Sathamangalam",Unknown,Unknown,625020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9212003,78.1398805
Government Vetinary Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9317265,78.1401058
Neomed Hospital,"11Lakeview Road, Opp Sundaram Theatre, K K Nagar",Unknown,Unknown,625020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9291508,78.148482
Raksha Hospital,"Plot No. 130, Anna Nagar, Near Ambiga College, Alamaram Bus Stop",Unknown,Unknown,625020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9213756,78.1430107
Mohan's Medicity Hospital,"11-A, Vinayaga Nagar, Opposite District Court, K K Nagar",Unknown,Unknown,625020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9358857,78.1424099
Mithra Hospital,"Opp To Milk Project, Madurai South, Sivengai Road",Unknown,Unknown,625020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9259886,78.1409588
"Leonard Hospital, Madurai","#38, Singaravelar St,Matha Kovil Main Road",Unknown,Unknown,625007,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9487954,78.1428216
"Vadamalayan Hospitals, Chokkikulam","# 9-A, Vallabai Road, Chokkikulam",Unknown,Unknown,625002,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9428234,78.1299752
Sri Omsakthi Clinic,"187/2, Alagar Kovil Main Road K.Pudur",Unknown,Unknown,625007,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,9.9414153,78.1411332
"Balaji Hospital, Anna Nagar","107-A/1, Vaigal Colony, Near Ambika Theatre, Anna Nagar",Unknown,Unknown,625020,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.918032,78.1466813
Amba Hospital,"26,Main Road,Krishnapuram Colony",Unknown,Unknown,625014,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,9.9498205,78.1273808
