Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Vaibhava Laxmi Medical Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.9085464,74.8297367
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.9002079,74.8355624
"Venus Hospital, Dakshina Kannada",Surathkal,Unknown,Unknown,575014,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.9880718,74.8016267
Dr Murthys Eye Care Centre,"6-103, Bajpe- Mrpl Road, Surathkal",Unknown,Unknown,575014,Karnataka,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,12.9897301,74.8015617
Misquith and Rao's Hospital,"Bajpe Road, Kana Surathakal",Unknown,Unknown,575014,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.9836731,74.8125078
"PHC, Bondel",Bondel,Unknown,Unknown,575015,Karnataka,Unknown,Unknown,centre,Unknown,Unknown,Unknown,12.9243306,74.8694491
PHC Ganjimata,"Ganjimata Panchayat, Ganjimata",Unknown,Unknown,574144,Karnataka,Unknown,Unknown,centre,Unknown,Unknown,Unknown,12.976989,74.950676
Government Hospital,"Benajanapadavu, Bejanapadavu, Karnataka",Unknown,Unknown,Unknown,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.9049935,74.9819402
Echs Hospital,"Kottara Sankesha Rd, Kotekani, Mangalore, Karnataka",Unknown,Unknown,Unknown,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.9035635,74.8380701
Exservice Mens Hospital Service .. E C H S,"Ashoka Nagara, Mangalore, Karnataka",Unknown,Unknown,Unknown,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.901923,74.837974
Fr Mullers Salvadore Monteiro Rural Health Training Centre,"Pope Layout, Bajpe Proper, Karnataka",Unknown,Unknown,Unknown,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.9780426,74.8819857
Primary Health Centre,"Ganjimutt, Ganjimutt, Karnataka",Unknown,Unknown,Unknown,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.9769641,74.9506667
Brainwonders Mangalore,Unknown,"XR84+JFM, Ryan International School, Kulai Main Road Post, near Suratkal, Honne Katte, Kulai, Mangaluru",Mangaluru,575019,Unknown,Unknown,Unknown,counselling,+919892771999,https://www.brainwonders.in/career-counselling-in-mangalore,Mo-Sa 09:30-19:30,12.966213,74.8057068
