Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Tulsi Hospital,"D-Block Samrat Palace, Garh Road, Meerut Road",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9698124,77.7306271
Maternity Home,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9715676,77.7318434
Dhanvantri Jeevan Rekha Limited,"1, Saket, Near Gol Market",Unknown,Unknown,250003,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,djrl.org.in,Unknown,28.9891609,77.7248073
"Dr. Atul Gupta, Physician",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9589813,77.7302804
"Dr. Sanjay Goel, Physician",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9618578,77.7313636
Dr. Punjani,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9617053,77.7305925
Prem Hospital,"L-5, Shastri Nagar",Unknown,Unknown,250004,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,https://meerutivf.com/,Unknown,28.9496274,77.7259274
Madhu Nursing Home,Unknown,Nai Sadak,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9665559,77.7303001
Sumit Nursing Home,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9631016,77.7297672
आनन्दित,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9546621,77.7296069
Sushila Jaswant Rai Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9917375,77.7231232
Roop Netralaya Meerut Laser and Eye Care Center Pvt Ltd),"334, E.K. Road",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9837184,77.7101988
Sanjay Nursing Home,Indira Chowk,Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9800394,77.7101404
Eves Hospital,"Eves Cinema Road 86 , , Purva Ahiran Hapur Road",Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9814355,77.7087973
Bhupal Nursing Home,"(A Unit Of Maratha Medicare , Begum Bridge Road",Unknown,Unknown,250003,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9911794,77.7063109
St Lukes Hospital,"Saket,Victoria Park",Unknown,Meerut,250003,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9819787,77.7260157
"Santosh Hospital, Meerut","L-629-631, Shastrinagar, Hapur Road",Unknown,Unknown,250004,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9464739,77.7238002
Moolchand Sharbati Devi Eye Hospital,Bacha Park,Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9832363,77.7077351
Dr. Tyagi Polyclinic and Maternity Home,"Opposite Children`S Park, Meerut Hapur,Raod",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9943172,77.7117947
GREEN HOSPITAL AND TRUMA CENTER,"Umar Nagar, Hapur Road",Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9615519,77.7167554
"Shivam Nursing Home, Meerut","C-5, Shastri Nagar, Near Tej Garhi Crossing, Near Tej Garhi Crossing Shastri Nagar",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,28.960842,77.7400585
Jagdamba Hospital,"L-619, Shashtrinagar",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9470255,77.7235307
"Jeevan Jyoti Nursing Home, Meerut",Begum Bridge Meerut,Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9928967,77.7059488
Visioncare Eye and Laser Centre,"Near Radha Govind Mandeep ,Amarpali Cinema Cinema Gar Road",Unknown,Unknown,250002,Uttar Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,28.9688255,77.7247792
Devlok Hospital,"4-Phool Bagh Colony, Suraj Kund Road",Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9724557,77.7203053
Dayanand Nursing Home,"No 47/L-4, Jawahar Quarters, Begum Bridge Road",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9952076,77.7080959
Shivaji Hospital,"Near ,Raja Rani Vivah Mandap Garh Road Merruth",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9658798,77.7334484
"Indraprastha Hospital, Meerut","Indraprastha Hospital, Bhumiya Ka Pul , Near Brahmpuri Police,Thana",Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9714602,77.7011027
Agrawal Eye Hospital,"61, Shivaji Road, Near Eves Crossing",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9834643,77.7097205
Yashlok Hospital And Nursing Home,Eastern Kacheri Road Shivaji Road,Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9859202,77.7136324
Ajay Hospital and Paediatric Speciality Center,"Bhopal Vihar , Near Radha Govind E College, Grah R",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9523615,77.7589506
Anandit Patient Care Home,"H-386, Shastri Nagar",Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.9550072,77.729221
Giri Pushpa Aarogya Hospital,"B-13, Adarsh Nagar,Meerut Cantt",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.993848,77.7113674
Dr.Chaurasia Nursing Home,"College Road,Chhippi Tank",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,28.9863087,77.7073798
Yug Hospital,"Near Nandan Cinema,Garh Road",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.972925,77.7144869
"Prakash Eye Hospital and Laser Centre, Meerut","Garh Road , Opposite Hotel Harmony",Unknown,Unknown,250004,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9662806,77.7313077
Sushila Jaswantrai Maternity and General Hospital,"115, Civil Lines",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9911635,77.7229969
"Centre For Sight, Meerut Cantonment","Centre for Sight at Jawahar Eye Hospital, 194/15, Delhi Road, OppositeRoadways Bus stand, Meerut Cantonment",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,https://www.centreforsight.net/,Unknown,28.984176,77.7108036
Meerut Kidney Hospital,"Prabhat Nagar, L.I.C Road, Near I.T.I College",CCS University Road,Meerut,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9830474,77.7308719
Meerut Eye Centre,"Opposite Gandhi Ashram, Garh Road , Meerut City",Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9711322,77.7190608
Anand Hospital,"Garh Road Near Medical College, A-1, Damodor Colony, Garh Road",Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,https://www.anandhospital.com/,Unknown,28.9617138,77.7460156
Neel Kamal Nursing Home,"Preet Vihar Colony,Maicjamdo Shaeed Gate, Garh Road",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.9679508,77.7189257
J P Hospital,"193,Prabhat Nagar,Near Lic,Main Road",Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.9910908,77.7286155
"CGHS Dispensary, Vijay Nagar","154, Western Kutchery Road",Unknown,Unknown,Unknown,Uttar Pradesh,Unknown,clinic,centre,Unknown,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Unknown,28.9860551,77.7100951
Dr.Sandeep Path and Eye Clinic Pvt.Ltd.,"125,Eastern Kutchery Road,(Shivaji Road)",Unknown,Unknown,250002,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.983085,77.7096878
