Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Veom hospital ,Unknown,dutt road,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.8212063,75.1793872
Sandhu Bone and Joint Hospital,"Near Hotel Dev, Main Bazar,Amritsar Road",Unknown,Unknown,142001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.8095459,75.1696223
"Medizone Hospital, Moga",Opposite New Telephone Exchange Old Dussehra Ground,Unknown,Unknown,142001,Punjab,Unknown,hospital,Unknown,Unknown,http://medizonehospitals.com/,Unknown,30.8173241,75.1787184
Savera Hospital,Railway Road,Unknown,Unknown,142001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.8494355,75.1793025
"Sood Nursing Home, Moga","Singla Street, Akalsar Road",Unknown,Unknown,142001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.8196467,75.1687185
Dr Iqbals Psychiatric Care Centre,"kotkapura-Moga Road,Jain Street",Unknown,Unknown,142001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.8116415,75.1705196
Dr. Satya Pal Mittal Hospital,"Canal Rest House Road, Opp,Khalsa Sr,Sec School",Unknown,Unknown,142001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.8166744,75.1687841
Bansal Nursing Home And Maternity Hospital,Aara Road,Unknown,Unknown,142001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.8170483,75.163984
"Goyal Hospital, Moga","Tanki Wali Gali,Amritsar,opposite to Sadik Joint Hospital",Unknown,Unknown,142001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.8119331,75.1706104
Moga Medicity Multispeciality & Supers Speciality Hospital,"Ferozpur Road, Near Truck Union",Unknown,Unknown,142001,Punjab,Unknown,hospital,Unknown,01636500665,Unknown,Unknown,30.8207633,75.176758
G.S. Memorial Prem Hospital,"Main Bazar, Khalsa School Road",Unknown,Unknown,142001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.8222932,75.1686172
