Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Rajendra Clinic,"Wadala Sewri Cross Road, Wadala West, Wadala, Mumbai",Unknown,Unknown,400031,Maharastra,Unknown,clinic,clinic,Unknown,Unknown,Unknown,19.016482,72.8533452
Saint Anne's Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.2733799,72.883476
National Centre for Training and Research into Cerebral Palsy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0516428,72.8321317
Al Medica,Unknown,Chapel Road,Mumbai,400050,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.0508044,72.8275179
Noble Plus,Unknown,M Kahn Chowk,Mumbai,400050,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,24/7,19.0520576,72.8238839
Jasmine Hospital And Wow Clinic,"Panchsheel Vishal Complex, 1st Floor, Sector-5 Near Sai Nidhi Hotel Airoli Navi Mumbai",Unknown,Unknown,400708,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1486707,72.9998192
Bobby's,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.9446858,72.8270162
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.9413574,72.8279067
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.9413117,72.82766
Real Chemist,Unknown,New Marine Lines,Mumbai,400020,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.9413633,72.8275945
Darvashdar dispensary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1113217,73.1752671
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.2351808,72.8444146
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.2351808,72.8425049
Saifee Ambulance,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,18.9599377,72.8314957
Sheetal Medical & General Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.9228307,72.832167
Siddarth Municipal Hospital,"Siddarth Municipal General Hospital, Opp Motilal Nagar Post Office, Goregaon (W), Mumbai",Unknown,Unknown,400104,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1594017,72.8401701
Arcadia Chemist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.2536627,72.9820759
Kalpana Lifeline Hospital Pvt. Ltd,"Plot No.16, Ambadi Road, Opposite Akshay Hotel, Vasai(W)",Unknown,Unknown,401202,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.388889,72.8251108
Shastri Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.1115752,72.8499451
Lifescan Imaging Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1877248,72.8458455
Jevan Vikas Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.1106501,72.8483274
Dr Kasbekar Sterling Hospital,On Sion-Panvel Exprsssway Sector - 7 Vashi Navi Mumbai,Sion Panvel Highway,Unknown,400703,Maharashtra,Unknown,hospital,hospital,02266804444,http://www.navimumbai.wockhardthospitals.com,24/7,19.0698454,72.9873953
Sai Medical Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:00-21:00,19.044174,72.9294714
JOY Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0558773,72.8973945
Inlaks Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.0466131,72.8964218
Nobel Chemist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,24/7,19.2151843,72.8286964
"Ankit Fracture, Maternity and Surgical Hospital","No. B-4, Girirath, Carter Road Near Sai Baba Temple, Borivali (East)",Unknown,Unknown,400066,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.2270454,72.8605924
Superdoc Medical,Unknown,Hanuman Road,Unknown,400057,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.1030147,72.8453313
Atul Aurvedic,Unknown,Hanuman Road,Unknown,400057,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.1035624,72.8508736
Parle Provision,Unknown,Hanuman Road,Unknown,400057,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.1035319,72.8510229
Suman,Unknown,Hanuman Road,Unknown,400057,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.1036357,72.8518597
Padmashree Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.2122524,73.0918952
Utility Chemists,Unknown,Sulochana Shetty Marg,Unknown,400022,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.0350215,72.8594597
Sujay Hospital,"25, Gulmohar Park Gulmohar Road, Juhu Scheme Vile Parle - West",Gulmohar Road,Unknown,400049,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,24/7,19.116234,72.8339632
Chinchansure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.2367995,73.1271408
Bethany Hospital,"Lok Upvan Phase-Ii, Smt. Glady S Alvares Marg, Off Pokhran Road No-Ii",Unknown,Unknown,400610,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.2198203,72.9618661
Powai Dental Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1246531,72.9172844
Powai Hospital,"1-A, BSNL Colony, Powai, Mumbai",Unknown,Unknown,400076,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.124088,72.9164511
Wellness Forever 24Hrs open,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.2256126,72.9703156
Sailee Hospital and Diagnostic Center,"Prathameshhorizon, Newmhbcolony, Newlinkroad, Borivali(W)",Link Road,Unknown,400091,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.2278166,72.8405388
Noble Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.0704127,72.8964441
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.2150169,72.871778
Sanu Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.1428701,72.82908
Real Chemist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1249844,72.8225269
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.1175874,72.8292383
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0493781,72.8698066
Mohan Medical,Unknown,"Four Bungalows, Opposite Bon Bon, JP Road, Andheri West",Unknown,400058,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,24/7,19.129843,72.8222405
Solanki Medical Shop,Unknown,"Dr B.R Ambedkar Road, Bandra West","Bandra, Mumbai",400050,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.0627103,72.8292247
Dr Shetty's Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,19.0626463,72.8293617
Ambika Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1351976,72.8224038
Dr Manveen Gill,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.132483,72.8274922
Dr CV Hemlata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.1301491,72.821012
Dr M S Jayaprakash,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.1301643,72.8191961
Dr Nischint Jayaprakash,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.1301491,72.8191318
Chemist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.015229,72.824135
Balaji Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.0610835,72.9004589
Ameeta patil  Nursing Home,Unknown,m ward marg,chembur east,400071,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0622247,72.8997288
Mata Ramabai B Ambedkar Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0557141,72.8946408
Dr Dharampal Singh,Unknown,"Raviraj Oberoi Complex, Inside SAB TV Lane",Mumbai,400053,Unknown,Unknown,clinic,clinic,+912226361219,Unknown,Unknown,19.1366491,72.828144
Vital Imaging Centre,Unknown,"New Link Road, Andheri West",Mumbai,400053,Unknown,Unknown,clinic,clinic,+912226301184,Unknown,Unknown,19.1396186,72.831187
Top Dog Pets Clinic,Unknown,"J.P Road, 7 Bungalows, Andheri West",Unknown,400061,Unknown,Unknown,clinic,Unknown,+912226348466,www.topdogpetaclinic.com,Unknown,19.1293548,72.8191564
Hyat Hosptal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1806805,72.8630713
Dr Preet Kochar's Dental Clinic,Unknown,"Bank Of Maharashtra Lane, Seven Bungalows, Andheri West",Mumbai,400061,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.129661,72.8188938
Richfeel Hair And Scalp Clinic,Unknown,Unknown,Mumbai,Unknown,Unknown,Unknown,clinic,Unknown,+912266778877,Unknown,Unknown,19.1253274,72.8222504
Jhonsons Diagnostics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0501047,72.919391
Mount Medical Store,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.049722,72.8263095
Sai Snehdeep Hospital,"Plot 12-13, Sector-20, Koparkhairane",Unknown,Unknown,400709,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1085023,73.0017953
SRL Diagnostics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,laboratory,Unknown,Unknown,Unknown,19.0242541,72.8379711
Mangal Murti Hospital and Polyclinic,"Plot No.65-68 & 66-69, Rsc-13, Opposite Saibaba Temple, Gorai Part 1, Borivali (West)",Gorai Link Road,Mumbai,400091,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.2263008,72.8278848
Dr.zamil,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0615785,72.9282129
Anu Medicals,Unknown,Chembur Station Road,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.0625309,72.9001192
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.0616337,72.8451297
Dr. Belani’s Blue Shield Medical Clinic,Unknown,Andheri-Kurla Road,Mumbai,400059.,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,19.112218,72.8686542
Rohan Chemist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1302443,72.818179
jonsons diagnostics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0501477,72.9193344
IMTIYAZ Dr.,Unknown,Road Number 4,MUMBAI,400043,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0655806,72.9231105
baba hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.4226323,72.8237309
Unknown,Unknown,Road 1,Unknown,400089,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,19.0681654,72.9045538
nidan hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0924663,72.9121731
bba,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0602605,72.9113338
mahaveer hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0677525,72.9275925
khawaja garaib nawaz hopital,Unknown,Road Number 3,MUMBAI,400043,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0673394,72.9227347
maa hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0585059,72.8904048
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.0601982,72.8434698
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.0603756,72.8431935
SuperDoc Medical Store,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.0601905,72.8433464
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.0614075,72.8438372
Aastha Nursing Home,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,19.1345827,72.8243313
sanjeevan hospital,Unknown,Jeejabai Bhosle Marg,mumbai,400043,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0608709,72.9247689
Metalife,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0668912,72.9134181
MILLAT OSPITAL,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0678107,72.921216
LOTUS HOSPITAL,Unknown,Unknown,MUMBAI,Unknown,Unknown,Unknown,clinic,Unknown,022-25565041/25565051,Unknown,Unknown,19.0674664,72.9207522
Diamond Polyclinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0536873,72.9010665
AMAN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0524549,72.9185421
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0582796,72.9018695
Saidhanhospital Iccu and Eye Care,"Vidhataapartments, Groundfloor, Mulund(E)",V B Phadke Marg,Mulund (East),400081,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1682476,72.9612909
"Chandraganga Hospital, Mulund","Chandraganga Apartments, V.B.Phadke Marg, Near Subway,Mulund (East)",Unknown,Mulund (East),400081,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1760293,72.9618357
Ambaji Medical Store,Unknown,Lokmanya Tilak Road,Mulund (East),Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1701579,72.9590168
MILLENIUM HOSPITAL,Unknown,Unknown,MUMBAI,400043,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0668878,72.9204587
SABA HOSPITAL,Unknown,Unknown,MUMBAI,400043,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0680437,72.9210506
Jupiter Scan Centre,Unknown,Purushottam Kheraj Road,Mulund(West),Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.172135,72.9474337
Ritesh Medical,Unknown,Unknown,Unknown,400070,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,09:00-22:00,19.0813056,72.8829461
