Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Kotpal Hospital,"Pallavpuram Phase 2, Roorkee Road, Meerut(Nh -58)",Pallavpuram,Unknown,250110,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.0633349,77.7095124
Sarvhit Nursing Home,"42- Pallav Puram, Near Modi School Roorkee Road",Unknown,Unknown,250004,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.0519077,77.7073731
"Prakash Nursing Home, Meerut","A-23, Pallavpuram Phase -1",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.0544147,77.7102578
"Santosh Nursing Home, Meerut","64, Azadnagar , Meenakshi Puram Road",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.0140608,77.7367962
Kalyani Ayurvedic Hospital,"Q-169,Pallavapuram -Ii",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.0626054,77.7171292
Shivlok Hospital,"Roorkee Road,Modipuram",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.0587419,77.7078784
Sangeeta Nursing Home and Maternity Centre,"Radha Garden, Mawana Road",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,29.0054674,77.7435239
"CGHS Dispensary, Lekha Nagar","DAD Quarters, Lekha Nagar",Unknown,Unknown,Unknown,Uttar Pradesh,Unknown,clinic,centre,Unknown,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,Unknown,29.0133501,77.7063511
Divyajyoti Speciality Hospital,"C- 1/4, Pocket - D, Ganga Nagar, Near Sai Mandir",Unknown,Unknown,250002,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.007592,77.747348
Uday Policlinic and Nursing Home,"B-111, Pallav Puram",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.0513701,77.7081549
G M Modi Hospital,"Roorkee Road, Near Post Office, Modipuram",Unknown,Unknown,250110,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.0635422,77.7080771
Apollo Nursing Home,"B-50, Phase -I Pallavpuram",Unknown,Unknown,250001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.0540698,77.708751
Government Hospital Rajpura,Unknown,Unknown,Unknown,Unknown,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.0120858,77.7691685
Government Hospital Dulehra,Unknown,Unknown,Unknown,Unknown,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.0703719,77.7230325
Vikram Ved Hospital,"Mawana Road, Kaseru Baksar, Ganga Nagar, Meerut",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.0108744,77.7509801
Apusnova Multispeciality Hospital & Trauma Centre,"Mawana Road, Meerut",Unknown,Unknown,250001,Uttar Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,29.011192,77.748245
"Urban Health Centre, Palheda",Palheda,Unknown,Unknown,250001,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.0576761,77.7172302
"Urban Health Centre, Kaseru Baksar",Kaseru Baksar,Unknown,Unknown,250001,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.0099899,77.755626
"SubCentre, Bahrala",Bahrala,Unknown,Unknown,250110,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.0944857,77.7356985
NetMeds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,29.0059736,77.7430187
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,laboratory,Unknown,Unknown,Unknown,29.0072122,77.7452447
