Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Mahaseth Nursing Home & Infertility Centre,"Alalpatti D.M.C. Campus, Laheriya Sarai",Unknown,Unknown,846003,Bihar,Unknown,clinic,clinic,Unknown,Unknown,Unknown,26.1369633,85.9082003
R B Memorial Hospital,Benta Road,Unknown,Unknown,846002,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1275656,85.9038571
Anant Arogya Neketan,"Benta Road, Laheriasari",Unknown,Unknown,846003,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1265027,85.9033388
"Navjeevan Hospital, Darbhanga","NearDmch Child Ward, Laheria Sarai",Unknown,Unknown,846003,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1320706,85.9027037
Ugratara Netra Chikitsalaya Hospital,Refugee Colony Bangaon Road,Unknown,Unknown,852201,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1269664,85.9044573
Arora Nursing Home,"Benta Chowk, Laheriya Sarai",Unknown,Unknown,846003,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1295732,85.9051198
Godawari Jiwachh Memorial Hospital,"Sahaganj, Benta, P.O.-Dmc Campus",Unknown,Unknown,846003,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1296986,85.9058898
I B Smriti Arogya Sadan,"West Diggi, Mishra Tola",Unknown,Unknown,846004,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1480456,85.9032781
Jyoti Research Hospital,"Vaishali Complex, Hospital Road, Laheriasarai",Unknown,Unknown,846004,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1313298,85.9012333
Raj Gopal Health Care Centre,"Front Of Telephone Office, Gangasagar,Allpatti ,Laheriasarai",Unknown,Unknown,846004,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1377117,85.9041607
Sri Ramjanki Arogya Niketan,"8, G M Road (Denbi Road) NearRadio Station",Unknown,Unknown,846004,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1567248,85.9013177
"Aastha Hospital, Darbhanga","Vip Road, Bengalitola, Laheriasarai",Unknown,Unknown,846001,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1231798,85.9016529
R.K. Ortho Ashram clinic,Madarpur,Unknown,Unknown,846003,Bihar,Unknown,hospital,hospital,Unknown,Unknown,Unknown,26.1413108,85.9006693
Dwivedi Clinic,"Hospital Road, Laheriya Sarai",Unknown,Unknown,846003,Bihar,Unknown,clinic,clinic,Unknown,Unknown,Unknown,26.1296791,85.9016731
Satya Sai Nursing Home clinic,"Benta Chowk,Laheriasarai",Unknown,Unknown,846003,Bihar,Unknown,clinic,clinic,Unknown,Unknown,Unknown,26.1376929,85.9040482
"Mahamaya Nursing Home, Darbhanga","Vip Road, Alpatti",Unknown,Unknown,846004,Bihar,Unknown,clinic,clinic,Unknown,Unknown,Unknown,26.141572,85.9084994
UPHC Lakhmi Sagar Chuna Bhatti,Darbhanga,Unknown,Unknown,846009,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.1649552,85.9070563
"Primary Health Centre, Donar",Donar,Unknown,Unknown,846009,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.1495634,85.914931
"Community Health Centre ,Bahadurpur Darbhanga","Bahadur Pur Road, Rampur Madan",Unknown,Unknown,846001,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.1005966,85.910342
"SubCentre, Senduar Gopal",Senduar Gopal,Unknown,Unknown,847429,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.1079706,85.9380566
"SubCentre, Lakshmipur",Lakshmipur,Unknown,Unknown,847423,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.1593595,85.9753799
"SubCentre, Sara Mohanpur",Sara Mohanpur,Unknown,Unknown,846009,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.1686761,85.9301766
"SubCentre, Bijuli",Bijuli,Unknown,Unknown,847115,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.1988342,85.9742383
"SubCentre, Atihar",Atihar,Unknown,Unknown,847423,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.1640453,85.9823268
"SubCentre, Baruara",Baruara,Unknown,Unknown,847429,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.103873,85.9861181
"SubCentre, Pirri",Pirri,Unknown,Unknown,847429,Bihar,Unknown,Unknown,centre,Unknown,Unknown,Unknown,26.1121776,85.9640791
