Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
ESI Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.3383212,76.6323943
Adithya Adhikari Hospital,"417 Contour Road, Gokulam Ii Nd Stag Near Vijaya Bank",Unknown,Unknown,570002,Karnataka,Unknown,hospital,hospital,Unknown,Unknown,Unknown,12.3315512,76.6271812
"Vikram Jyoth, Mysuru","#2909,New No.22&22/1,Temple Road,Near Vontikoppal Police Station,V.V.Mohalla",Unknown,Unknown,570002,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.3247991,76.6320872
Apollo Pharma,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.3102079,76.6924832
Mamatha Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,12.3009853,76.616647
Gandhi Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.3180805,76.657422
M. M. Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,12.3226615,76.6580333
Raj Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.3172008,76.6573189
Sikander Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.3166122,76.6569372
Csi Holdsworth Memorial Hospital,"Mandi Mohalla , Na",Unknown,Unknown,570009,Karnataka,Unknown,hospital,hospital,Unknown,Unknown,Unknown,12.320427,76.6500703
Dr S Kalyana Sundaram,Unknown,Teachers Layout,Mysore,5700029,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.3120415,76.6927032
Preethi Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.3120973,76.6483818
Bibi Ayesha Milli Hospital,No. 242 Old Mysore - Bangalore Road,Unknown,Unknown,570015,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.336883,76.657289
Jayaram's Dental Clinic,Unknown,Diwan's Road,Mysuru,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,12.3122937,76.6475164
Sushma Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,12.3052338,76.6847099
Mysore Beedi Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.32895,76.6878529
MedPlus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.3497973,76.6183815
Sushrutha Eye Hospital,"313, Deewans Road Near Marimallappa College Deewans Road",Unknown,Unknown,570024,Karnataka,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.306409,76.6455915
B N Shankar Nursing Home,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.3353286,76.6645852
Katil Dental clinic,Unknown,Sarasvatipuram 4th Main,Mysuru,570009,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.3023267,76.6324517
Lakshman Shetty Dental Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.325512,76.6218047
