Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Dr.A. Ansari Hospital,"Near Naganathar Temple, Nagapattinam, Naganathar Sannathi",Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7660855,79.8407257
V.P.N. Eye Hospital,"# 25, Neela West St",Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7652232,79.8407981
Nagai Hospital,"3/134, Near Puthur Anna Statue, Nagapattinam, Main Road, Puthur",Unknown,Unknown,611106,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7569314,79.8259024
Pentagon Hospital,"Near Iyyappan Temple, Nagapattinam, Sattaiyappar Street",Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.763934,79.84079
Sri Venkatswara Hospital,"Opp To Nellukadai Mariamman Temple, Nagapattinam, Kothankulam East Road",Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7608285,79.8426391
Sakthi Nursing Home,"Near New Bus Stand, Nagapattinam, Pidari Kovil Street",Unknown,Unknown,611001,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,10.76713,79.844991
Sri Harini Hospital,"Behind Dr.Ansari Hospital, Nagapattinam, Naganathar Sannathi;Melakottaivasal, Nagore",Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7661543,79.8401373
Arthur Hospital,"Asn Colony, Melakottaivasal, Nagapattinam",Unknown,Unknown,611003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7644836,79.8449846
Nagapattinam Government District Head Hospital,"Rdo Office, Nagapattinam, Public Office Road",Unknown,Unknown,611101,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.77246,79.843971
Medall Care Centre Plus,Melakottaivasal,Unknown,Unknown,611001,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,10.7600172,79.8407061
Psk Hospital,Unknown,Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.774901,79.840678
Ramanan Hospital,"Melakottaivasal, Nagore",Unknown,Unknown,611003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.763601,79.842683
Herbocare Hospital,Nagore,Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.78103,79.8400124
Santhra Segar Hospital,Unknown,Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.774674,79.8397
Ortho Care Clinic,Unknown,Unknown,Unknown,611001,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,10.775485,79.840193
Punnagai Dental Clinic,Elancheran Nagar,Unknown,Unknown,611001,Tamil Nadu,Unknown,dentist,dentist,Unknown,Unknown,Unknown,10.776029,79.840586
Murugappan Hospital,Unknown,Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.774713,79.840272
Chandrasekar Hospital,Unknown,Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.774919,79.8384182
Park Hospital,Melakottaivasal,Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7610454,79.8408982
Amk Hospital,"Melakottaivasal, Nagore",Unknown,Unknown,611003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7652282,79.8405213
Vijayas Superspeciality Dental Centre,Velippalayam,Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.779481,79.840216
Abinidhi Scans,Melakottaivasal,Unknown,Unknown,611003,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,10.768834,79.841386
Azad Dental Clinic,"Melakottaivasal, Nagore",Unknown,Unknown,611003,Tamil Nadu,Unknown,dentist,dentist,Unknown,Unknown,Unknown,10.7675002,79.8451989
SP Ortho Clinic,"Nagore, Nagapattinam",Unknown,Unknown,611003,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,10.7634098,79.8407408
Shek Dawth Hospital,"ASN Colony, Melakottaivasal, Nagapattinam",Unknown,Unknown,611003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.765595,79.842405
Dr. M.C. Surgical Clinic,Nagapattinam,Unknown,Unknown,611001,Tamil Nadu,Unknown,clinic,clinic,Unknown,Unknown,Unknown,10.774327,79.8396118
RJR Hospital,"Velippalayam, Nagapattinam",Unknown,Unknown,611001,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.7770791,79.838248
Srivaris Hospital,"Melakottaivasal, Nagore",Unknown,Unknown,611003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.762093,79.839897
JP Dental Clinic,Nagapattinam,Unknown,Unknown,611003,Tamil Nadu,Unknown,dentist,dentist,Unknown,Unknown,Unknown,10.760168,79.8430484
NSS Hospital,"Melakottaivasal, Nagore",Unknown,Unknown,611003,Tamil Nadu,Unknown,hospital,hospital,Unknown,Unknown,Unknown,10.763828,79.843334
