Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Global Super Speciality Hospital,"Vip Road, Iti Corner",VIP Rd,Nanded,431601,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.1685403,77.3065067
Godavari Hospital ( Giccm ),Near Hingoli Gate (Under Bridge),Unknown,Unknown,431602,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1618072,77.3176132
Suvidha Cardiac Centre Pvt. Ltd.,"2nd Floor, Ashwini Hospital & Ramakant Heart Care Centre, Shivaji Nagar",Unknown,Unknown,431602,Maharashtra,Unknown,Unknown,centre,Unknown,Unknown,Unknown,19.1612371,77.3047627
Bokare Hospital,"Near : Sbi, Opp: Kala Mandir Ghamodia, Doctor's Lane",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.157964,77.3081519
Toshniwal Chest Hospital Maternity and Nursing Home,"Doctor Lane, Chamodiya Area,Opposite Sbi Bank,Vazirabad",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1589189,77.3086345
Lavekar Hospital,Lavekar Hospital Subhash Road Vazirabad,Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1518923,77.3131105
Radha Govind Hospital,Shivajinagar,Unknown,Unknown,431602,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1617154,77.3045093
Ashwini Hospital and RamaKant Heart Center Pvt.Ltd.,Shivaji Nagar,Unknown,Unknown,431602,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1612093,77.3047158
Motewar Netrlaya,"Near Bus Stand,Ghamodiya,Doctors Lane",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1588093,77.3075844
Mahale Hospital,"Borban Goverdhanghat Road, Nanded",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1516585,77.3079519
Tungenwar Orthopaedic and Maternity Hospital,"No. 2-9-70, Somesh Colony,Behind Kala Mandir",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1561901,77.3070078
"Wadekar Hospital, Nanded",Near Shivaj Putla,Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1561331,77.3100252
Marathawada Bal Rugnalya,"Borban Factory Area,Govardhan Ghat Road",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1528348,77.3101547
Dr Komawar Hospital,Doctors Lane,Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1589429,77.306995
Bidwai Nursing Home,"12, Doctor`S Lane , Vaziirabad",Unknown,Unknown,431601,Maharashtra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.1578079,77.3089322
Kadam Hospital,"1,2 & 3, Doctors Lane",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1570554,77.3081812
Gargi Hospital,"Near Peoples High School, Gokul Nagar",Unknown,Unknown,431602,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1620979,77.302049
Lotus Hospital and Critical Care Centre,"Doctor's Plaza, Doctor's Lane ,Near Bus Stand & Railway Station",Unknown,Unknown,431731,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1582411,77.308951
Jayashree Ent and Maternity Nursing Home,"Aarif Sir's Account Classes, Dr Lane Rd Number 1, Khadakpura",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1577014,77.3088706
Vishwa Institute Urology and Kidney Centre,"Somesh Colony, Behind Kalamandir",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,https://www.vishwaurology.com/,Unknown,19.1551133,77.3066255
Samarth Orthopedic and Accident Hospital,"Near Lokmanya Mangal Karyalay,Hingoli Gate",Unknown,Unknown,431602,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1624666,77.3191146
Kardile Hospital,Goverdhan Ghat Road,Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1502029,77.3092648
Shri Venkatadri Hospital,"V.I.P. Road, Visen Nagar",Unknown,Unknown,431602,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1649058,77.3146601
Max Hospital,"Hingoli Gate Flyover, Samrat Nagar, Hyder Bagh,Nanded",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1616063,77.316343
Cure Max Multi_Speciality Hospital And Critical Care Centre,"Hingoli Gate Subway Road, Ashraf Nagar, Hyder Bagh, Nanded",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1617475,77.316378
Sharma Hospital,"Hingoli Gate Flyover,nanded",Unknown,Unknown,431605,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1617948,77.3170365
Shriniwas Orthopaedic Nursing Home,"NearMseb Office, Hingoli Gate, Ashraf Nagar,nanded",Unknown,Unknown,431605,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.161792,77.3168407
Samarth Hospital,Opposite Mseb Office New Mondha,Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1624466,77.3168754
"PHC, Tuppa",Unknown,Unknown,Unknown,431603,Maharashtra,Unknown,Unknown,centre,Unknown,Unknown,Unknown,19.1022766,77.3589879
Women Hospital,"Opp. Pharmacy College, Nanded",Unknown,Unknown,431602,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.175827,77.309114
"PHC, Wadgaon",Wadgaon,Unknown,Unknown,431603,Maharashtra,Unknown,Unknown,centre,Unknown,Unknown,Unknown,19.1178193,77.3743446
Hyder Bagh Urban Community Health Centre,"Hyder Bagh Road, Hyder Bagh, Dashmesh Nagar, Itwara Nanded",Unknown,Unknown,431601,Maharashtra,Unknown,Unknown,centre,Unknown,Unknown,Unknown,19.155233,77.332512
NDMC Jangamwadi Government Hospital,"Nanded-Malegaon Road, Near Employment Office, Nanded",Unknown,Unknown,431602,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.180153,77.302463
NDMC Arabgalli Municipal Hospital,"Arab Galli Area, Darbaar Masjid Road, Near Nanded Fort, Nanded",Unknown,Unknown,431604,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.143427,77.324738
"Dr Shankarrao Chavan Government Medical College and Hospital, Vazirabad","Vazirabad, Nanded",Unknown,Unknown,431601,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.156482,77.313095
"Government Hospital, Nanded",Nanded,Unknown,Unknown,431603,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1100465,77.3220992
"Government Hospital, Kautha",Pahar Ganj,Unknown,Unknown,431603,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1423055,77.3095579
Marathwada Children Hospital,"Doctor Lane Borban, Vazirabad, Nanded-Waghala",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1512345,77.3085905
Motewar Hospital,"Somesh Colony, Behind Kalamandir, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.156572,77.307015
Sai Children's Hospital,"Chikhalwadi, Hyder Bagh, Dashmesh Nagar, Dulleshah Raheman Nagar, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.15376,77.314747
Nidan Singh Memorial Hospital,"Ganeem Pura, Khadakpura, Nanded",Unknown,Unknown,431604,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1480054,77.3152162
Sahyadri Children's Hospital,"Ashraf Nagar, Hingoli Gate, Opp. Samarth Hospital, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.162154,77.316643
Jija Mata Hospital,"Samrat Nagar, Hyder Bagh, Dashmesh Nagar, Harsh Nagar, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1516681,77.3160923
Patil Hospital,"Mill Gate Road, Beside Bus Stand, Kalamandir, Nanded",Unknown,Unknown,431602,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.157936,77.306463
Arham Hospital Maternity & Surgical Home,"Behind S. P. Office, Police Head Quaters Road, Vazirabad, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1539523,77.3083028
Dr. Ashok Bhise Hospital,"CIDCO Colony, Nanded",Unknown,Unknown,431603,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1103523,77.323613
Rayat General Hospital,"Somesh Colony, Khadakpura, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.155925,77.305928
Dr. A. P. Deshmukh Kahalekar,"Gurudwara Road, Samrat Nagar, Hyder Bagh, Dashmesh Nagar, Harsh Nagar, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.151792,77.31584
Dr. M.A.Gaffar Hospital,"Vazirabad, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1526995,77.3097008
Ardhapurkar Hospital,"Chikhalwadi to Gurudwara Road, Samrat Nagar, Hyder Bagh, Harsh Nagar, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.151406,77.315139
Raheman Clinic & Nursing Home,"Opp. Madina Medical, Hyderabad Road, Deglour Naka, Nanded",Unknown,Unknown,431604,Maharastra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.151474,77.3327858
Shafaque Clinic,"Hyder Bagh, Dashmesh Nagar, Deglour Naka, Nanded",Unknown,Unknown,431601,Maharastra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.1622598,77.3295291
Tawakkal Clinic,"Near Liberty Function Hall, Hatai, Ganipura, Nanded",Unknown,Unknown,431604,Maharastra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.143333,77.328909
