Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Dr Zakir Hussain Hospital,"Mumbai-Agra national Highway, Opp. SBI, Kathda, Nashik",Unknown,Unknown,422001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.996035,73.799109
Dr Aware Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9826086,73.7774614
Nahush Eye Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9827112,73.7776885
Dr Bapaye Hospital,"Behind N D C C Bank, Old Agra Road, Old Agra Road",Unknown,Unknown,422001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9990223,73.7826899
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.984407,73.776653
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9962269,73.7791902
Dr.Paner Surgical Hospital,Unknown,Trimurti-Kamatwade Road,Nashik,422008,Unknown,Unknown,hospital,hospital,+91 9823095425,Unknown,Unknown,19.9827257,73.755308
Dr. Suryawanshi Eye Hospital,"Near Hotel Sandeep, Mumbai Naka,Kute Marg",Unknown,Unknown,422002,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9908377,73.779341
"Sarthak Hospital, Nashik","3Road & 4Rt Floor, Susya Arcade, Opposite Nilmani Bus Stand, Panchvati",Unknown,Unknown,422003,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9886951,73.7221402
"Aashirwad Hospital, Nashik","Vasant Vyakhyanmala Maidan, Behind Durga Mata Mandir, Trimurti Chowk",Unknown,Unknown,422008,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9841655,73.7560272
"Arihant Hospital, Nashik","Behind Wasan Showroom, Mumbai Naka",Unknown,Unknown,422001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9885866,73.7846356
Vakratunda Multispeciality Hospital - Nasik,"1st Floor, Rhaghukul Sankul,Behind Hotel Bandhuraj,Pathardi Phatta",Unknown,Unknown,422010,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9551579,73.7575868
"Vasan Eye Care Hospital, Nasik","Bhabha Nagar, Corner Mubai Naka, Nashik, Maharastra Nashik",Unknown,Unknown,422001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9869925,73.7852164
"Dr A.K.Pawar Institute of Obstetrics, Gynecology and Reproductive Medicine","Charuhas, Near Gaikwad Classes, Kanherewad",Unknown,Unknown,422001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9996923,73.7833911
Swadi Hospital,"960/5, Wadner Road, Deolali Camp",Unknown,Unknown,422401,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9033228,73.8308689
Shreeya Hospital,"Gayakwad Nagar, Mumbai Naka, Near Mahamarg Bus Stand",Unknown,Unknown,422002,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.987973,73.7822418
"Muktai Hospital, Jalgaon","Shivaji Nagar, Jammer.Tal.Jamner",Unknown,Unknown,424206,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9778567,73.8106236
Dr. Karad Hospital,"Satpur,Nashik-Trimbak Road",Unknown,Unknown,422007,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9903392,73.7356223
Suvichar Hospital Pvt. Ltd,"858 / 85, Ganesh Bada Nagar, Behind Hotel Siddharth, Poona Road",Unknown,Unknown,422001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9826909,73.8026011
Indorewala ENT Hospital,"Behind Mahamarg Bus Stand, Old Mumbai- Naka, Gaikwad Nagar",Unknown,Unknown,422001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9858163,73.7818252
Sudarshan Hospital,"City Plaza, Opp Kalika Mandir, Old Agra Road",Unknown,Unknown,422002,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9921727,73.7835663
Shrinivas Multispeciality Hospital,N-35/S-4/8/1 Swami Vivekand Nagar State Bank Chowk Mumbai-Agra Highway Cidco,Unknown,Unknown,422008,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.9675714,73.7684003
