Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Jasmine Hospital And Wow Clinic,"Panchsheel Vishal Complex, 1st Floor, Sector-5 Near Sai Nidhi Hotel Airoli Navi Mumbai",Unknown,Unknown,400708,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1486707,72.9998192
Dr Kasbekar Sterling Hospital,On Sion-Panvel Exprsssway Sector - 7 Vashi Navi Mumbai,Sion Panvel Highway,Unknown,400703,Maharashtra,Unknown,hospital,hospital,02266804444,http://www.navimumbai.wockhardthospitals.com,24/7,19.0698454,72.9873953
Sai Medical Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:00-21:00,19.044174,72.9294714
Powai Dental Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1246531,72.9172844
Powai Hospital,"1-A, BSNL Colony, Powai, Mumbai",Unknown,Unknown,400076,Maharastra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.124088,72.9164511
Balaji Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.0610835,72.9004589
Jhonsons Diagnostics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0501047,72.919391
Sai Snehdeep Hospital,"Plot 12-13, Sector-20, Koparkhairane",Unknown,Unknown,400709,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1085023,73.0017953
Dr.zamil,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0615785,72.9282129
Anu Medicals,Unknown,Chembur Station Road,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.0625309,72.9001192
jonsons diagnostics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0501477,72.9193344
IMTIYAZ Dr.,Unknown,Road Number 4,MUMBAI,400043,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0655806,72.9231105
Unknown,Unknown,Road 1,Unknown,400089,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,19.0681654,72.9045538
nidan hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0924663,72.9121731
bba,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0602605,72.9113338
mahaveer hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0677525,72.9275925
khawaja garaib nawaz hopital,Unknown,Road Number 3,MUMBAI,400043,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0673394,72.9227347
sanjeevan hospital,Unknown,Jeejabai Bhosle Marg,mumbai,400043,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0608709,72.9247689
Metalife,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0668912,72.9134181
MILLAT OSPITAL,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0678107,72.921216
LOTUS HOSPITAL,Unknown,Unknown,MUMBAI,Unknown,Unknown,Unknown,clinic,Unknown,022-25565041/25565051,Unknown,Unknown,19.0674664,72.9207522
Diamond Polyclinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0536873,72.9010665
AMAN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0524549,72.9185421
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0582796,72.9018695
Saidhanhospital Iccu and Eye Care,"Vidhataapartments, Groundfloor, Mulund(E)",V B Phadke Marg,Mulund (East),400081,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1682476,72.9612909
"Chandraganga Hospital, Mulund","Chandraganga Apartments, V.B.Phadke Marg, Near Subway,Mulund (East)",Unknown,Mulund (East),400081,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1760293,72.9618357
Ambaji Medical Store,Unknown,Lokmanya Tilak Road,Mulund (East),Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1701579,72.9590168
MILLENIUM HOSPITAL,Unknown,Unknown,MUMBAI,400043,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0668878,72.9204587
SABA HOSPITAL,Unknown,Unknown,MUMBAI,400043,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.0680437,72.9210506
Jupiter Scan Centre,Unknown,Purushottam Kheraj Road,Mulund(West),Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.172135,72.9474337
new life hospital,Unknown,R B Kadam Road,mumbai,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0897614,72.9049996
muktabai hospital,Unknown,Unknown,mumbai,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0946018,72.9032913
Anket Nursing Home,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1308944,72.9299048
Medicity Hospital,Unknown,Sector 7,Kharghar,410210,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.0347843,73.0685485
Aryan Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0391617,72.9488101
Dr.Mukhi's Raj Hospital,"109/1 Saraswati Sadan, Chs, Devi Dayal Road, Opposite Jalaram Ashish, Near T Ward Office, Mulund West",Unknown,Unknown,400080,Maharashtra,Unknown,hospital,Unknown,Unknown,http://www.drmukhirajhospital.com/,Unknown,19.1760945,72.9490036
Unknown,Unknown,Sane Guruji Rd,Unknown,400601,Unknown,Unknown,pharmacy,Unknown,9757432665,Unknown,Mo-Su 08:30-23:00,19.1871605,72.9718898
Ashwini Hospital and I. C. C. U. with Dialysis Centre,"P. K. Road, (Annexe), Lalan Building, 1st Floor Mulund (W)",Unknown,Unknown,400080,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1753107,72.9514943
Chiranjeevi Hospital,Unknown,Almeda Road,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1979406,72.9681922
Wellness Forever ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.1990805,72.9644017
Unknown,Unknown,Unknown,Unknown,400077,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Su 10:30-23:00,19.0758859,72.9115589
Unknown,Unknown,Powai Road,Unknown,40076,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Mo-Su 10:00-22:30,19.1211552,72.9172853
"Aayush Hospital, Thane","Bldg No. E-2, 2nd & 3Road Floor, Radha Nagarshopping Complex, Radha Nagar, Opposite Radha Nagar Police Chowki, Khadakpada, Kalyan (West)","Marigold Apt. , Panchpakhdi, Opp Nitin co & Honda showroom,",Thane (West),421301,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,19.1984892,72.9657017
Wellness Forever,Unknown,Central Avenue,Mumbai,400076,Unknown,Unknown,pharmacy,Unknown,022 6162 0659,https://wellnessforever.in,24/7,19.1166725,72.9097223
Upasani Maternity and Surgical Nursing Home,"Rashman Apartments ,Sevaram Lalwani Road,Mulund ( West )",Sewaram Lalwani Road,Unknown,400080,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1732429,72.9547642
Highway Hospital,"Dev Ashish Chs, Maruthon Circle, E. E. Highway, Near Highway Darshan",Eastern Express Highway,Unknown,400604,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1894902,72.9630092
Army Medical Facility,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.0260761,73.029474
Unknown,Unknown,GV Scheme Road 4,Unknown,400081,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.1698068,72.9597163
Meher Ambe Nursing Home,"Raj-Sneha, Opposite Rationing Office, Tambe Nagar, S N Road, Mulund (W)",Sarojini Naidu Road,Unknown,400080,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.1753796,72.9569965
Unknown,Unknown,Ganesh Gawde Road,Unknown,400080,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,19.172178,72.9509527
Unknown,"A/203, Heritage Holy, J.N.Road, Ambika Nagar, Next To Apna Bazar,Mulund (West)",Pandit Jawaharlal Nehru Road,Unknown,400081,Maharashtra,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,19.1674407,72.9512848
