Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Ramchandra Reddy Hospital,"Brindavan Colony, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4532439,79.9869999
Apollo hospitals,Unknown,Unknown,Nellore,524002,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.4383093,79.9927557
Government General Hospital's Blood Bank - Nellore,Dargamitta,Unknown,Nellore,524003,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,14.4253886,79.9631068
Indian Red Cross Society Blood Bank - Nellore,"Indian Red Cross Society (IRCS) Road, Madras Bus stand",Unknown,Nellore,524003,Andhra Pradesh,Unknown,Unknown,blood_bank,Unknown,Unknown,24/7,14.4439409,79.9799692
Amma Hospital - SPSR Nellore,"H.No: 24-1-1826, Near Hotal Dargamitta , Gn -7 Road",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.4482999,79.9844328
Jayabharat Hospital,"H.No: 16/2884, Somasekharapuram",Unknown,Unknown,524101,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,14.4450222,79.9832056
SPSR Nellore Hospital and Research Center,"Aravinda Nagar, Opposite rict Court",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,14.4434422,79.978571
Sri Ratnam Hospital,"H.No: 16/242, Near Sunday Market",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4514285,79.9858868
Lakshmi Fertility Research and Laparoscopic Surgical Center,"16-2-94, Opp. S2 Cinemas, Pogathota, Nellore(A.P.)",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,https://drandalslakshmifertilityclinic.com/,24/7,14.4489065,79.9844559
Vaishnavi Clinic,"H.No: 23/951, Wahabpet, Near Vegetable Market",Unknown,Unknown,524003,Andhra Pradesh,Unknown,clinic,clinic,Unknown,Unknown,24/7,14.4492156,79.9834205
Susrutha Uro Renal Hospital,"Pogathota, Near Raghava Cine Complex",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.4490195,79.9840401
Thanuja Maternity Hospital,"H.No: 16-2/137, Kasthuri Devi Nagar, 3rd Street from Raghava Cine Complex, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4501363,79.9855623
Madurai Netralaya,"H.No: 16-2-280, Beside Sunday Market, Gandhi Nagar, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4504298,79.9851103
R.S.R. Sarada Maternity Hospital,"H.No: 16-2-90, Opposite s2cinemas, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,https://www.saradamaternityhospital.com,Unknown,14.4487532,79.9848273
Vijaya Hospital,"H.No: 16 II,41-A, Raghava Cine Complex Road, Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.4490247,79.9831778
Rich Hospitals,"H.No: 16-2-131, Kasturidevi Nagar, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,https://richhospitals.com/,24/7,14.4499441,79.985062
Ramakrishna Diabetes Research Centre,"H.No: 16-2-114, Raghava Cine Complex Road, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4509051,79.9848099
S S Hospital,Near Tikkanna Telephone Bhavan Nellore,Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,www.drshyam.wixsite.com,Unknown,14.4552414,79.9880768
Sri Durga Hospital and Brain Center,"H.No: 15/266, Brundavanam, Opp;Thikkana Telephone Bhavan",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.4547128,79.9876598
Modern Eye Hospital And Research Centre,"H.No: 16-11-101 Beside Venkataramana Hotel Lane,MEH road, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4491584,79.9851036
Venkataramana Hospital,Gandhi Nagar,Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4517772,79.9857876
Sri Sai Patham Hospitals,"H.No: 16-2-113, Pogathota, Near Hotel Mayuri",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.4491571,79.9837209
Aravind Kidney Centre,"H.No: 15/402, Brindavanam Main Road",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.4555583,79.9875498
Dr P Madhusudhana Sastry Hospital,Pogathota,Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4487364,79.9840991
Sri Ramachandra Nursing Home,"Gandhi Nagar, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4509584,79.9846952
Bolleneni Super Speciality Hospital (KIMS Hospital),"Ambedkar Nagar, Nellore, Andhra Pradesh",Unknown,Unknown,524003,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,www.kimshospitals.com,24/7,14.4345075,79.9684048
Nizams Little Star Children Hospital,"Near Madras Bus Stand, Opposite: Court.",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,14.443887,79.9789976
Bhaskar Reddy Hospital,"Near Vijayamahal Gate, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,https://bhaskar-reddy-hospital.business.site/,24/7,14.4537817,79.9897921
Deepthi Nursing Home & Laproscopic Center,"Sbi Railway Road, Brindavanam",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.455505,79.9868578
Srinivasa Nursing Home,"H.No: 24-23, Padmasali Street",Unknown,Unknown,524003,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,24/7,14.4440935,79.9772541
Anasuya Institute Medical Sciences,"H.No: 16-2-142, Adjacent Lane To Hotel Venkata Ramana, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.443898,79.9850748
Sailaja Nursing Home,"Raghava Lines, Complex Rd, Pogathola",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.4489833,79.9835751
Aravind Nethralaya Meenakshi Diabetes and Endocrinology Centre,"H.No: 16-2-269, Swathantra Park Street, Gandhi Nagar",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.451883,79.9863012
Dr.Andal's Lakshmi Fertility Clinic,"16-2-94, Pogathota",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,https://drandalslakshmifertilityclinic.com/,24/7,14.4489234,79.9845672
R K Eye Care Center,"H.No: 15/68, Brindavanam Colony",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,24/7,14.4548128,79.9867451
Vasan Eye Care Hospital,"H.No: 15-365, Brindavanam",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4543297,79.9865319
"Post Partum Unit, Nellore","Dargamitta, Nellore",GNT Rd,Unknown,524004,Andhra Pradesh,Unknown,Unknown,midwife,Unknown,Unknown,Unknown,14.425235,79.962867
Soujanya Orthopaedic & Trauma Centre,"Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,14.452896,79.986427
Spandana Hospital,"Gandhi Nagar, Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4519045,79.9861729
Apollo White Dental & Advanced Dental Implantology Centre,"Gandhinagar, Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,dentist,dentist,Unknown,Unknown,Unknown,14.4494369,79.9855573
Sarayu Hospital,"Brindavanam, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4533408,79.987197
Akshita Hospital,"Jagadish Nagar, Nellore",Unknown,Unknown,524002,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.4397262,79.9963561
Anusha Hospital,"Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4515528,79.9857142
V.S Reddy Hospital,Nellore,Unknown,Unknown,524002,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4524054,79.9868086
Ashritha Children's Hospital,"Brindavan Colony, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.45241,79.986162
AIMS Super Speciality Hospital,"Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.449168,79.984851
Sri Venkateswara Sai Physiotheraphy Clinic,"Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,14.448709,79.985114
IRCS Cancer Hospital,Nellore,Unknown,Unknown,524004,Andhra Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.4271695,79.9594211
Jhansi Maternity & Fertility Hospital,"Gandhinagar, Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4497792,79.9857115
Rainbow Dental Clinic,"Balaji Nagar, Nellore",Unknown,Unknown,524002,Andhra Pradesh,Unknown,dentist,dentist,Unknown,Unknown,Unknown,14.451354,79.9912435
Padmavathi Hospital,"Brindavanam, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4540805,79.9862886
Dr. A.V. Sudhakar Rao,"Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,doctors,doctor,Unknown,Unknown,Unknown,14.448868,79.985206
Joni Eye Care,"BV Nagar, Nellore",Unknown,Unknown,524004,Andhra Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,14.4128291,79.9659693
Simhapuri Hospitals,Nellore,Unknown,Unknown,524002,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4481344,79.9952918
Anki Reddy Children's Hospital,"Brindavanam, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.454391,79.987142
B.E.S.T Hospital,"Gandhinagar, Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4503812,79.9852975
Swathy Hospital,"Agnipet, Santhapet, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.45861,79.980979
Abhaya Chinnapillala Hospital,"Gandhinagar, Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4496385,79.9846265
Sri Ram Eye & Chest Hospital,"Nawab Pata, Nellore",Unknown,Unknown,524002,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4597931,79.998366
Dr. Rajasekhar Reddy Memorial Hospital,Nellore,Unknown,Unknown,524002,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4537771,79.990406
Bomma Kesavulu Paralysis Clinic,"Agnipet, Santhapet, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,14.4586457,79.9798879
Rich Children Hospital,"Gandhinagar, Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.449683,79.985209
Siddhu Hospital,"Ramamurthy Nagar, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4494888,79.9864737
Chandamama Mother And Child Clinic,"Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,14.449458,79.985533
Nellore Nursing Home,"Agnipet, Santhapet, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4583364,79.9801518
Madhu Children's Hospital,"Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4489124,79.9852704
Sri Gayatri Homeo Clinic,"Balaji Nagar, Nellore",Unknown,Unknown,524002,Andhra Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,14.4510411,79.9913896
Padala Homeo Clinic,"Pogathota, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,14.452249,79.985618
Uma Mahesh Neuro Centre,"Gandhinagar, Brindavan Colony, Nellore",Unknown,Unknown,524001,Andhra Pradesh,Unknown,hospital,hospital,Unknown,Unknown,Unknown,14.4516877,79.986093
Sri Saibaba Clinic,"Balaji Nagar, Nellore",Unknown,Unknown,524002,Andhra Pradesh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,14.449025,79.9964504
