Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Prakash Hospital Pvt Ltd,Sector - 33 Sector - 33 Noida,Unknown,Unknown,201301,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.5854878,77.3494026
Sumitra Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.5818659,77.3529095
Kailash Hospital,"H-33, Sector- 27",Unknown,Unknown,201301,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,http://www.kailashhospital.com/,Unknown,28.577404,77.3314139
NMC Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.5729253,77.3402993
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,28.5863876,77.3679445
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,28.5954714,77.3623628
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,28.5953984,77.3625881
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,28.5673485,77.3350901
Bhardwaj Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,28.5660388,77.3355783
Religare Wellness,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,28.5660152,77.3356266
Ojjus Hospital,"D-141 AandB, Sector-40, Delhi-NCR",Unknown,Unknown,201303,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,http://www.ojjus.org/index-2.html,Unknown,28.5654904,77.3595236
Cloudnine Hospital,Unknown,"Hoshiyarpur, Sector 51",Noida,201301,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.5787478,77.3668926
Unknown,Unknown,"D-170A, Sector 50, Noida",Unknown,201301,Unknown,Unknown,hospital,Unknown,+91-120-4880000,https://www.neohospital.com/,Unknown,28.5697412,77.3702112
Dr. Bhimrao Ambedkar Multispeciality Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,28.576653,77.3376879
Tanvi Clinic And Diagnostic,Kaushik Palace (Bhangel),Unknown,Unknown,201303,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,28.541767,77.3876511
Ratra Multispeciality and Cosmetic Dental Centre,"Shop No 203 - 204,Savitri , Sec-18, Noida, Near Metro Station",Unknown,Unknown,201301,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,https://www.ratradentalcenter.com/,Unknown,28.5695528,77.32535
