Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
"ESI Hospital, Panipat",ESIC Building,Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,https://www.esic.nic.in/Haryana-hospital.php,Unknown,29.4010334,76.9701398
"Gandhi Hospital, Panipat","Tehsil Road ,( Behind Civil Hospital)",Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.4006705,76.9725987
Aarti Nursing Home,Teshil Road,Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4005881,76.9730017
"Tandon Hospital, Panipat",Tehsil Road Behind Civil Hospital,Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.4010087,76.9725779
Manisha Maternity and General Hospital,"Ram Mandir , Opposite Mithan Sweets Teh. Camp",Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.4046073,76.9710866
Abrol Medical and Heart Care Centre,"20,Nehru Nagar,Tehsil Town",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4038724,76.9708948
Cygnus Mata Kalawati Charitable Hospital,V.P.O Kohand,Unknown,Unknown,132114,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.4933947,76.9679028
"Talwar Nursing Home, Panipat",Tehsil Road Behind Civil Hospital,Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4006502,76.9729434
Singhal Clinic,"2298-A, Housing Board, Sector 13-17, Huda",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.42865,76.9815494
Supreety Hospital,"Barsat Road, Near Darpan Cinema, Preet Vihar, Tehsil Camp",Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.4115057,76.9711347
Bengali Clinic,"Verma'S Houes, Sudhir Nagar Road, Ashok Nagar, Tehsil Camp Panipat Taraf Ansar, Sudhir Nagar Road",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4063579,76.9756622
Arora Clinic,"Ward Number 2, Bhagat Nagar, Panipat",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4179577,76.9859274
Bhawna Clinic,"Bhagat Nagar, Panipat",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.404885,76.979866
Jk Jai Krishna Hospital,"Barsat Road, Opp. Jitendra Gun House, Ansals Sushant City, Noorwala",Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.4225634,76.9889899
Panchal Hospital,"777/5, Barsat Road, Sector 13-17, Huda",Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.4125516,76.9724185
N.K Clinic,"Krishna Nagar, Tehsil Camp",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4093247,76.9752976
Dhawan Skin and Allergy Clinic,"Sukhdev Nagar, Old Housing Board Colony",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4001418,76.9726678
Siddharth Nursing Home,"Barsat Road, Preet Vihar, Tehsil Camp",Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.4111505,76.9716276
Vidanta Cilinc,"House No- 810, Behind Dayal Singh Public School, Sector 13-17, Huda",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4240579,76.9801834
Nawal Clinic,"C/ Nawal Clinic, Devi Mandir Road, Ashok Nagar, Tehsil Camp",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4055471,76.9765298
Dr. Yaspal Clinic,"Panipat, Patel Nagar, Tehsil Camp",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.403553,76.975156
Dr. . Ved Gupta Hospital,"Barsat Road, Near Fun City Mall",Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.4119706,76.9722083
Gaurav Clinic,"Main Gali, Barsat Road, Cheema Enclave, Noorwala, Panipat",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4182285,76.9854923
Mediring Diagnostics & Physiotherapy Clinic,"Medical Market, # 9, Near, Devi Mandir Road, Desraj Colony",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4012473,76.9767892
Sapra Physiotherapy Clinic,"Sector 13-17, Huda, Panipat",Unknown,Unknown,132103,Haryana,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.4175125,76.9820912
Janseva Hospital,"Industrial Area, Panipat",Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.404718,76.952615
Dr. Buttar Hospital,"Barsat Road, Near Fun City Mall, Preet Vihar, Tehsil Camp",Unknown,Unknown,132103,Haryana,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.411757,76.9719885
