Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Eye,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3351251,76.4078909
Rama Atray Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.343988,76.4516367
"Deep Hospital,Patiala","Opposite State Collage Of Educatuion, Near Parssey Road",Unknown,Unknown,147002,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3557901,76.4558411
Dr Preet Iner Singh Eye Hospital,Vikas Colony,Unknown,Unknown,147001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3353752,76.4078495
"Patiala Hospital, Patiala",Azad Nagar,Unknown,Unknown,147004,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3601689,76.4038624
"Aggarwal Hospital, Patiala","2A Royal Enclave , Behind, Phase I, Urban Estate",Unknown,Unknown,147002,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3411209,76.4460803
Gayatri Hospital,"Charan Bagh, Patiala",Unknown,Unknown,147001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3703209,76.4026103
Mehar Hospital,Patiala,Unknown,Unknown,147001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3506572,76.4048986
Wadis Hospital,"Bahadurgarh, Rurki Kasba",Unknown,Unknown,147021,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3660398,76.4809446
Aasu Healthcare Clinic,"Balamgarh, Sanaur",Unknown,Unknown,147001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.3021308,76.4539329
Sohal Homoeopathic Hospital,Sanaur,Unknown,Unknown,147103,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3014181,76.4537812
Chaman Hospital,Bahadurgarh,Unknown,Unknown,147021,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3678099,76.4752939
Preet Clinic,"Bollar Chowk, Sanaur",Unknown,Unknown,147103,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.3020984,76.4613266
Rooprai Nursing Home Hospital,Baazigar,Unknown,Unknown,147103,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3031256,76.4464762
Khan Hospital,"Bahadurgarh, Ghanaur",Unknown,Unknown,147021,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3650788,76.48354
Vardmaan Mahavir Healthcare,Patiala,Unknown,Unknown,147002,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.3602327,76.4476717
Faqir Chand Rooprai Memorial Nursing Home,Patiala,Unknown,Unknown,147103,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.305637,76.446303
Taneja's Heart Care Centre,Patiala,Unknown,Unknown,147004,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.357231,76.400522
Goyal Hospital,"Ghuman Nagar, Patiala",Unknown,Unknown,147001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3648642,76.4032561
Bajwa Child Health Care Centre,"Shiv Nagar, Sanaur",Unknown,Unknown,147103,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.302592,76.462841
Vardaan Hospital,Patiala,Unknown,Unknown,147001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3430804,76.4003956
Kuber Hospital,"SST Nagar, Patiala",Unknown,Unknown,147003,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3332839,76.4172623
Mata Gujri Nursing Home,Unknown,Unknown,Unknown,147101,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.3186947,76.4177143
Rajan Hospital,Patiyala,Unknown,Unknown,147001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.336086,76.4008813
JK Memorial Hospital,Patiala,Unknown,Unknown,147003,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3423043,76.417898
SLG Ortho and Spine Centre,"SST Nagar, Patiala",Unknown,Unknown,147001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.334268,76.415092
Bhatnagar Eye and ENT Clinic,"Adalat Bazar, Patiala",Unknown,Unknown,147001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.3286848,76.405696
Aggrasain Hospital,"Vikas Colony, Patiala",Unknown,Unknown,147003,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3340093,76.4090623
Bansal Jointline Orthopaedic Hospital,"SST Nagar, Patiala",Unknown,Unknown,147001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3332993,76.4156718
Dr. Rajesh Mohan's Clinic,"Vikas Colony, Patiala",Unknown,Unknown,147001,Punjab,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,30.3359403,76.4096046
Sodhi Eye Hospital,"SST Nagar, Patiala",Unknown,Unknown,147001,Punjab,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,30.3333932,76.4156308
