Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Sardar Patel Cantonment General Hospital,"40, Solapur Baza Road",Unknown,Unknown,411001,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,18.5027163,73.87712
Dr. Babasaheb Ambedkar Cantonment General Hospital,"Bus Stop, Elphinston Road, Kasamali Jumbo Marg, Khadki",Unknown,Unknown,411003,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,18.569025,73.8486994
Command Hospital Southern Command,Unknown,Right Flank Road,Pune,Unknown,Maharashtra,IN,hospital,Unknown,Unknown,Unknown,Unknown,18.5005828,73.8894328
Ishwar Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.5538796,73.8050612
Sassoon Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,18.5251434,73.8695664
Sanjeevani Vitalife Medipoint Hospital,Unknown,New DP Road,Pune,411007,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,18.5649263,73.8022626
LifeLine Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,18.5597445,73.8062674
Dr. Chowdhary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,18.5547291,73.8082012
Dr. Bonagiri,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,18.5554816,73.8088556
Shree Sakthi Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,18.5883392,73.8015444
Ishwar Drug House,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.5434538,73.7845372
Metro Chemists,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.543525,73.7843119
Karva Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,18.5009733,73.8461063
Jeevan Deep Medicare Centre,"A-35-36,Niranjan Complex,Sus Roadashan",Unknown,Pune,411021,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,18.5433023,73.7838607
Dr. Rangappa's Ayurvedic Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,18.5437305,73.7852375
Dr. Mane's Dental Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,18.5424578,73.7907722
VitaLife Clinic,"111, Mont-Vert Arcade, Above Icici Atm, Pashan-Sus Road",Pashan-Sus Road,Pune,411021,Maharashtra,Unknown,clinic,hospital,+912066859900,https://vitalife.in/pashan/,Mo-Sa 07:30-21:00; Su 07:30-12:00,18.5424692,73.7907426
Dr. Nitin Joglekar's Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,18.5435561,73.7843869
Sahyadri Hospital,"Plot No.9B, Neena Society, S.No.1484.A/B, Paud Road, Opposite Vanaz Engineering",Unknown,Unknown,411038,Maharashtra,Unknown,hospital,hospital,Unknown,https://sahyadrihospital.com/,Unknown,18.5074625,73.8057842
"Krishna Hospital, Pune","2, Anjanwel, Prashant Society, Paud Road",Unknown,Unknown,411038,Maharashtra,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,18.5092055,73.8128199
Rahul Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.5117315,73.8088896
Pharmacy,Unknown,Unknown,Unknown,411004,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.516684,73.833895
Apollo Pharmacy,Unknown,Unknown,Unknown,411004,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,18.517157,73.8339486
