Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Dr. Hingora's Homeopathic Clinic,Unknown,Dhebar City Homes,Raipur Chhattisgarh,492013,Unknown,Unknown,Unknown,alternative,Unknown,Unknown,Unknown,21.2078927,81.6261837
bagri nursing home,Unknown,budhapara,Raipur,492001,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.2414376,81.6232005
Ramkrishna Care Hospital,"(Ramkrishna Care Medical Sciences Pvt Ltd) Aurobindo Enclave,Pachpedi Naka,Dhamatri Road","Aurobindo Enclave, Pachpedi Naka, Dhamtari Road, NH43,",Raipur,492001,Chhattisgarh,Unknown,hospital,Unknown,+91 7713003300,https://www.carehospitals.com/,Unknown,21.2130814,81.6537238
Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,"Dhamtari Road, Lalpur Near Pachpedi Naka","Dhamtari Road, Lalpur",Raipur,492015,Chhattisgarh,Unknown,hospital,Unknown,+91 7714210901,Unknown,Unknown,21.2132613,81.657736
Suyash Superspeciality Hospital,"Kota Gudhiyari Road, Behind Hotel Piccadilly","Gudhiyari Road, Behind hotel piccadily, kota",Raipur,492010,Chhattisgarh,Unknown,hospital,Unknown,+91 7712575275,www.suyashhospitalsraipur.com,Unknown,21.2584938,81.6060273
Shri Ganesh Vinayak Eye Hospital,Unknown,"Infront of colors mall, Dhamtari road",Raipur,492001,Unknown,Unknown,hospital,Unknown,+91 7714077741,https://sgveh.com/,Unknown,21.2131689,81.6561777
Vardaan Hospital (Unit Of Jindal Medicare),"Sector - 1, Shankar Nagar","Infront of shankar nagargarden, main road, sector-1, shankar nagar,",Raipur,492007,Chhattisgarh,Unknown,hospital,Unknown,+91 7712425778,www.vardaanhospital.com,Unknown,21.2520112,81.6632415
Bal Gopal Children Hospital and Research Institute,"Opposite Ashirwad Bhawan, Byron Bazar","Near mahila police thane, byron bazar road",Raipur,492001,Chhattisgarh,Unknown,hospital,Unknown,+91 7714225600,www.balgopalhospital.in,Unknown,21.2349337,81.6413322
Yashwant Hospital,Unknown,"TatyaparaChowk, GE road, Tatyapara Raipur",Raipur,492001,Unknown,Unknown,hospital,Unknown,+91 7712539333,https://www.vyhospital.in/,Unknown,21.2403202,81.6293508
"Sai Baba Nursing Home, Raipur","Opp Vijeta Complex ,Main Road, New Rajendra Nagar","Dr.swathi mahobia, newrajandranagar opp.vijeta complex",Raipur,492001,Chhattisgarh,Unknown,clinic,Unknown,+91 7714017979,ww.saibabahospital.com,Unknown,21.2254025,81.6590109
chhattisgarh info tech promotion society,Unknown,"3rd floor,state data central building,oppt.new circuit house,civil lines",raipur,492001,Unknown,Unknown,pharmacy,Unknown,+91774014158,www.ceochips@nic.in,Unknown,21.2371887,81.6542215
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,21.2636268,81.6499139
Gurukripa Prasuti and Nursing Home,"Shyam Nagar, Main Road",Unknown,Unknown,492001,Chhattisgarh,Unknown,clinic,clinic,Unknown,Unknown,Unknown,21.2361497,81.6596106
Mittal Hospital,Unknown,Beside crystal arcade,raipur,492001,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.260362,81.6587146
jain mandir,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2274864,81.6480755
chandak hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2278656,81.6484364
sukriti hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.2506345,81.649911
Shri Sai Ganesh Hospital,Unknown,Gudhiyari,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,21.266195,81.6181222
Prime Health Care Center,"Janta Colony, Ekta Nagar, Gudhiyari",Unknown,Unknown,492001,Chhattisgarh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,21.2641668,81.6179992
