Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Guru Nanak Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3498788,85.3300172
Debuka Nursing Home,"Burdwan Compound,circular road,Lalpur",vardhaman compound,ranchi,834001,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3762322,85.336121
New bihar medical store,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,23.3719476,85.3233723
dental hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3791108,85.3246278
MEDICAL STORE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.355003,85.3224505
Kripal Darshan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3797308,85.3285143
New mediciner,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3761979,85.3328128
THYRO CARE,Unknown,Circular Road.,Ranchi,834001,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3758395,85.3326437
PEARL SKIN CLINIC,Unknown,Circular Road.,Ranchi,834001,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3759602,85.332684
dilip medical hall,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,23.3676328,85.3498405
nirmaya,Unknown,Unknown,ranchi,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.3753524,85.3523023
kashyap eye hospital,Unknown,Purluia Road,ranchi,834001,Unknown,Unknown,Unknown,hospice,Unknown,Unknown,Unknown,23.3677645,85.338429
aushdhalay medical store,Unknown,Doranda college road,Ranchi,834002,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.3351634,85.3188065
M S Pharma,Unknown,Doranda,Ranchi,834002,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.3350014,85.3195852
Lakshmi Nursing Home,Unknown,Hinoo main road,ranchi,834002,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,23.331365,85.3160416
Gurunanak Hospital and Research Centre Blood Bank,"Gurunanak Hospital and Research Centre Blood Bank Unit, Station Road, Ranchi",Unknown,Ranchi,834001,Jharkhand,Unknown,hospital,hospital,Unknown,Unknown,24/7,23.350002,85.3299479
Narayani Nursing Home,"Road No:- A/3, New Hawai Nagar, Birsa Chowk",Unknown,Unknown,834003,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3207229,85.3102997
Prabhawathi Hospital,East Jail Road,Unknown,Unknown,834001,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3722061,85.3315414
Singh Eye Care,"C-259, Road No-1, Ashok Nagar",Unknown,Unknown,834002,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3484395,85.3077878
"Life Line Nursing Home, Ranchi","Pragati Path, Makchund Toli Near Oxford Public School",Unknown,Unknown,834001,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3548001,85.3499877
Rahat Nursing Home,Bariatu Road(Near Rims-Colony) Ranchi,Unknown,Unknown,834009,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3978577,85.3515936
Mungraj Gulraj Sarawgi Seva Niketan,Kanke Road,Unknown,Unknown,834008,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3934156,85.3146281
The Kashyap Memorial Eye Hospital - Ranchi,"Purulia Road, Near Sandhya Cinema",Unknown,Unknown,834001,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3677501,85.3374926
Rani Childern Hospital and Reserch Centre,Bariatu Road(Near Karamtoli Chowk),Unknown,Unknown,834008,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3879153,85.3337469
Ivf and Infertility Research Hospital,"10, Tagore Hill Road, Morabadi ,Ranchi",Unknown,Unknown,834009,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3996362,85.3387687
Kamal Eye Clinic,"35, Burdwan Compound",Unknown,Unknown,834001,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3754117,85.3358571
Sisir Seva Kendra,Near Plaza Chowk Main Road,Unknown,Unknown,834001,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3726899,85.3311753
Nidan Orthopaedic Centre,"Karma Chowk Singh Mode, Kalyan Pur Roadno. 5",Unknown,Unknown,834003,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3008954,85.3133608
Ranchi Urology Centre,"Bhonslebhawan, Harihar Singh Road, Bariatu Ranchi",Unknown,Unknown,834009,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3922696,85.3407522
Dwarika Hospital and Research Centre,"Jorar, Purulia Road, Namkum",Unknown,Unknown,834001,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3493623,85.4361664
K. C. Roy Memorial Hospital,"50, Circular Road",Unknown,Unknown,834001,Jharkhand,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3701206,85.3388438
St. Joseph Nursing Home,"Peace Road, Lalpur",Unknown,Unknown,834001,Jharkhand,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3707993,85.3405503
