Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
"Maa Gayatri Hospital, Ratlam",Ratlam,Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3399126,75.027926
Chl Jain Diwakar Hospital,Sagod Road,Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.326899,75.0198696
Ankoor Hospital Neo Ankoor Criti Care Center,Vedvyas Colony,Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3292781,75.0334172
Ashirwad Nursing Home,"Ved Vyas Colony,Hat Road",Unknown,Unknown,457001,Madhya Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3293662,75.0328507
"Mehra Nursing Home, Ratlam","Opp. BSNL Office,Katju Nagar",Unknown,Unknown,457001,Madhya Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,23.3316753,75.0308825
Shraddha General Hospital,"478, Katju Nagar",Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3327234,75.0324
Shah Hospital,Katju Nagar,Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3312782,75.0308365
Bima Hospital,"Jawahar Nagar, Ratlam",Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.340542,75.038469
Shraddha Hospital,"Katju Nagar, Laxman Pura, Ratlam",Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.333667,75.035194
Vedaant Hospital,"Tirupati Nagar, Ratlam",Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3465256,75.0285014
Jivansh (Maa Faluodi) Hospital,"Central Plaza Colony, Kasturba Nagar, Ratlam",Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.340078,75.027199
Geeta Devi Orthopedic Hospital,"Kasturba Nagar, Ratlam",Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3396667,75.0280653
Maheshwari Hospital,"Katju Nagar Main Road, Near Saraswati Shishu Mandir, Katju Nagar, Laxman Pura, Ratlam",Unknown,Unknown,457001,Madhya Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,23.3338709,75.0334096
"SubCentre, Nagra",Nagra,Unknown,Unknown,457001,Madhya Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.3307127,75.1121186
"SubCentre, Sagod",Sagod,Unknown,Unknown,457001,Madhya Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,23.306489,75.0003009
