Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Super Speciality Hospital,"N 18, Civil Township",Unknown,Unknown,769004,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2229905,84.8112166
"Lifeline Hospital, Sundargarh","D/10,Civil Township,Rourkela",Unknown,Unknown,769004,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2247317,84.8250386
Vesaj Patel Hospital,"H-4, Civil Township",Unknown,Unknown,769004,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.226511,84.8214844
"Shanti Memorial Hospital, Sundargarh","Near Ambedkar Chowk, Udit Nagar Rourkela",Unknown,Unknown,769012,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2277293,84.8404423
"CHC, Bisra",Bisra,Unknown,Unknown,770036,Odisha,Unknown,Unknown,centre,Unknown,Unknown,Unknown,22.2492541,84.9972725
Rajasthan Seva Sadan,"Em Block, Basanti Colony",Unknown,Unknown,769012,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2298612,84.8437637
Om Appolo Hospital,"Uu-10 Civil Township, Rourkela",Unknown,Unknown,769004,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2275578,84.8122524
"Hi-Tech Medical College & Hospital, Rourkela",Rourkela,Unknown,Unknown,769001,Odisha,Unknown,hospital,Unknown,Unknown,https://www.hi-techmedicalrkl.org/,Unknown,22.2234109,84.8301221
"SDH, Panposh","At/Po -Panposh Rourkela, Sundargarh",Unknown,Unknown,769004,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2295801,84.8044922
Meher Eye Hospital,"Udit Nagar,Main Road,Rourkela",Unknown,Unknown,769012,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.226925,84.8394436
Prashanti Nursing Home,"N/3, Civil Town Ship,Rourkela-4",Unknown,Unknown,769004,Odisha,Unknown,clinic,Unknown,"0661-2401042,9937010245",Unknown,Unknown,22.2233046,84.8273224
Purnima Nursing Home,Main Road Jhirpani,Unknown,Unknown,769042,Odisha,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.2667732,84.901947
Ambica Birsa Munda Hospital and Infertility Research Center,"D - 4/10, Civil Township",Unknown,Unknown,769004,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2221412,84.8148124
Community Welfare Society Hospital,"Jagda,Near Nit",Unknown,Unknown,769042,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.255388,84.9009181
Rourkela Government Hospital,"Near Ima House, Sti Squre",Unknown,Unknown,769042,Odisha,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2260867,84.8286259
Dr. Saroj Rath Residence and Clinic,"Raghunathpali, Rourkela",Unknown,Unknown,769004,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.2247409,84.8228877
Lion's Eye Hospital,"Civil Township, Rourkela",Unknown,Unknown,769004,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2259625,84.8189553
Life Span Diabetic Care Hospital,"Civil Township, Rourkela",Unknown,Unknown,769004,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.2219287,84.8216373
Indira Homeo Clinic,"Kalinga Vihar, Chhend Colony, Rourkela",Unknown,Unknown,769015,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.2459085,84.8063205
Godhuli Clinic,"Udit Nagar, Rourkela",Unknown,Unknown,769012,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.2264712,84.8407455
Hair Transplant Clinic,"Phace 2, Chhend Colony, Rourkela",Unknown,Unknown,769015,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.2399067,84.8109052
Ray Hospital & Test Tube Baby centre,"Civil Township, Rourkela",Unknown,Unknown,769004,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2224895,84.8272781
Srijan Clinic,"Koel Nagar, Rourkela",Unknown,Unknown,769014,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.2581922,84.8905456
Dr. J Nayak Eye Clinic,"Civil Township, Rourkela",Unknown,Unknown,769004,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.2265249,84.8166463
Dr. K K Rao Clinic,"Basanti Nagar, Rourkela",Unknown,Unknown,769012,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.2292346,84.841327
Gayatri Hospital,"Raghunathpali, Rourkela",Unknown,Unknown,769004,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.223711,84.827367
Shree Jagannath Maternity Care Centre,"Behera Bhavan, Jagda, Kourkela",Unknown,Unknown,769042,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2583907,84.9012245
Dr. Batra's Homeopthy Clinic,"Raghunathpali, Rourkela",Unknown,Unknown,769004,Odhisa,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,22.22766,84.8225729
Mini Hospital,"Basanti Nagar, Rourkela",Unknown,Unknown,769012,Odhisa,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,22.2287879,84.8385977
