Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Inpatient Department,Unknown,Unknown,Unknown,Unknown,Unknown,IN,hospital,hospital,Unknown,Unknown,Unknown,21.126903,79.1141613
Outpatient Department,Unknown,Unknown,Unknown,Unknown,Unknown,IN,hospital,hospital,Unknown,Unknown,Unknown,21.127343,79.1136038
Vijayant Medical Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,21.1327848,79.1073521
Matoshri Nursing Home,Unknown,Unknown,Unknown,Unknown,Unknown,IN,hospital,hospital,Unknown,Unknown,Unknown,21.129156,79.1138731
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,21.1342772,79.1193368
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,21.133907,79.1198678
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.12946,79.1132053
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.1285505,79.1135727
Matru Sewa Sangh (Maternity),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1438599,79.1076243
Nagpur Super Speciality Hospital,Unknown,"Behind Medical College, Hanuman Nagar, Hanuman Nagar",Nagpur,Unknown,Unknown,IN,hospital,hospital,Unknown,Unknown,Unknown,21.1241779,79.1026344
Rashtrasant Tukdoji Maharaj Cancer Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,IN,hospital,hospital,Unknown,Unknown,Unknown,21.1239077,79.1043456
Asha General Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1115524,79.1040801
Apulki Vairagade Hospital,"Manewada Cement Road, Shirdi Nagar, Opposite Navdurga Mandir",Unknown,Unknown,440024,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1117,79.1040881
Indira Gandhi Medical College,Unknown,"Ca Road, C A Road, Central Avenue, Central Avenue",Unknown,Unknown,Unknown,Unknown,hospital,hospital,+91 712 272 6126,Unknown,Unknown,21.1491099,79.1159505
Shri Radhakrishna Hospital and Research Institute,Central Avenue East Wardhamannagar,"Wardhaman Nagar East,",Nagpur,440008,Maharashtra,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1487104,79.1413039
Daga Hospital,Unknown,Gandhibagh,Nagpur,440018,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1530884,79.1035724
Dr. Somani Accident Hospital,Unknown,"Vaishno Devi Square, Hiwari Nagar Wardhaman Nagar",Nagpur,440008,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1475579,79.1377417
East End Hospital,Unknown,Central Avenue Padole Nagar,Nagpur,440008,Unknown,Unknown,hospital,hospital,0712 273 2332,Unknown,Unknown,21.147648,79.1383532
Shri Ram Jeevan Chaudhari Memorial Hospital & Research Center,Unknown,"New Shukrawari Road Ramwadi, Mangalwari, Mahal",Nagpur,440002,Unknown,Unknown,hospital,hospital,0712 695 5045,Unknown,Unknown,21.1417766,79.1037462
VINAYAK NETRALAYA,Unknown,"93/94, Gandhibagh",Nagpur,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1508876,79.1026519
Puniyani Hospital for Child and Women Care,Unknown,Mangalwari,Nagpur,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1496244,79.1084506
Sahu Hospital,Unknown,Gandhibagh,Nagpur,440018,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1520709,79.1037674
Chandak Critical Care Hospital & ICCU,Unknown,"Darodkar Square Central Avenue, Hansapuri,",Nagpur,440002,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1495333,79.1128642
Ace Womens' Hospital,Unknown,"Umiya Tower, Near Chandrashekhar Ashad Square, Central Avenue Road",Nagpur,440018,Unknown,Unknown,hospital,hospital,+91 712 2775417,Unknown,Unknown,21.1486438,79.1168452
Dr. Dalvi Memorial Hospital and Research Centre,"Telephone Exchange Chowk, Central Avenue,Garaoba Maidan",Bagadganj,Nagpur,440008,Maharashtra,Unknown,hospital,hospital,+91 712 2766414,https://dalvihospital.org/,Unknown,21.1473515,79.1214913
Arjun Hospital,Unknown,"Deshpande Layout 963, Padole Nagar,",Unknown,440008,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1472112,79.1390246
Shyam Medicals,Unknown,"Wardhman Nagar Square, Wardhaman Nagar, Wardhaman Nagar Central Avenue, Wardhaman Nagar",Nagpur,440008,Unknown,Unknown,hospital,hospital,+91 712 2768084,Unknown,Unknown,21.1482671,79.1348921
Sawarkar Hospital,Unknown,"Garoba Maidan, Shashtri Nagar",Nagpur,440008,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1455439,79.1329861
East End Hospital,"1208/737, Deshpande Lay Out, Central Avenue",Padole Nagar,Nagpur,440008,Maharashtra,Unknown,hospital,hospital,+91 712 2736294,Unknown,Unknown,21.1477429,79.1444081
Cure It Hospital Pvt.Ltd,Unknown,Taj Bagh,Nagpur,440024,Maharashtra,Unknown,hospital,Unknown,+91 712 646 5102,http://www.cureithospital.com/,Unknown,21.112629,79.1296817
Kherde Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1178889,79.1134088
Tushar Dental Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,21.117871,79.1133874
Jain Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.1152819,79.1127292
MedPlus Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.1175754,79.1110412
Kamble Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1176102,79.1061774
Sahu Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1220676,79.1051559
Rajat Medical Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.1235872,79.1117779
Asha Homeopathic Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1078896,79.1034883
Child Care Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,21.107933,79.103505
Chouhan Nursing Home,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,21.1080423,79.1035292
Dr. Manoj Waghmare's Clinic (Dermatologist and Cosmetologist),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,21.1073243,79.1033119
Gulmohar Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.1074249,79.1033382
Maooli Clinic (Stree Rog ani Prasuti),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,21.1073685,79.1033237
Sai Dental Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,21.1076347,79.1034315
Sarita Homeopathic Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1081135,79.1035441
Seva Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,21.1057956,79.1025264
Akshay Medicals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.1093611,79.1034298
Apollo Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.1140325,79.1040596
Ashok Medical Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.110802,79.103874
Belsare Children's Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,21.1155098,79.1041162
Buniyad Medical Stores,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,21.1151233,79.1044118
