Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Khanna Nursing Home and Maternity Center Saharanpur,Swatantra Nagri,Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9798182,77.5509426
Khanna Eye Hospital,"Link Road,Mangal Nagar",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9643285,77.5554447
K N Joshi Hospital,"63, Prakash Puram,Bajoria Road",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9570865,77.5574268
Sunheri Devi Trauma and Maternity Centre,Bajoria Roaqd,Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9665778,77.5512797
Vardan Children Hospital,"Bhagwati Colony,Link Road, Mangal Nagar",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9653331,77.5530407
Eye Q Super Speciality Eye Hospitals,"Hakikat Nagar Mod, Sadar Thane Road,Maligate Police Chowki",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9767215,77.5491903
"Gupta Nursing Home, Saharanpur",Nawab Ganj Chowk,Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9519924,77.5506516
"Singhal Nursing Home, Saharanpur",Church Road,Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9518896,77.5504055
Shanti Eye Clinic,"Opp Sabzi Mandi ,Delhi Road",Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9463274,77.5466188
"Dayawati Hospital, Saharanpur",Ranjeet Nagar,Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9649269,77.556012
Aruna Jain Memorial Heart and Medicare Centre,"# 2 Doctor Lane,Manjulika Garden, Bajoria Road",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9573955,77.5568978
Leela Heart And Medicare Centre,Bajoria Road,Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9563012,77.5576601
Sugandha Nursing Home,Opposite Civil Hospital,Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9569203,77.5591877
"Goyal Nursing Home, Saharanpur",Mission Compound,Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9570202,77.5451403
"Urmila Hospital, Saharanpur","G T Road, Patel Nagar",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9675468,77.5344638
Asha Goyal Nursing Home,"Bhagwati Colony,Link Road, Mangal Nagar",Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9652485,77.5542217
"Jeewan Jyoti Hospital, Saharanpur","Mahipura Saharanpur, Uttar Pradesh",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9679337,77.5747834
Tarawati Super Speciality Hospital,Bajoria Road,Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9569168,77.5572377
Banerjee Hospital,"Doctors Lane, Manjulike Garden, Bajoria Road",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9575512,77.5570473
"Anand Nursing Home, Saharanpur",Patel Nagar,Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9668991,77.5354207
Kamla Devi Hospital,"Goel Kothi Near Jain Bagh , Chilkana Road",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9846541,77.5423662
"Smriti Nursing Home, Saharanpur","Link Road , Mangal Nagar",Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9657053,77.5537831
Satyam Clinic,"Opposite Civil Hospital , Prakash Puram",Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9564966,77.5587944
Anand Orthopadic and Trauma Centre,Prerana Bhajoria Road,Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9573514,77.5559697
Toolika Nursing Home,"Mission Compound, Near Church",Unknown,Unknown,247001,Uttar Pradesh,Unknown,clinic,Unknown,Unknown,Unknown,Unknown,29.9560152,77.5458665
Prankur Hospital and Cancer Research Centre,"Mahipura, Dehradun Road",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9676578,77.5752883
Maratha Hospital,"15, Friends Colony, Delhi Road",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9399114,77.5420532
Saksham Hospital,"Delhi Road, Near Officer`S Colony",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.943061,77.5429255
Santosh Hospital and Research Institute,Link Road,Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9668172,77.551078
Prarthana Maternity and Eye Hospital,Mangal Nagar,Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9648548,77.5549646
Chandra Skin and Laser Centre,"Bajoria Road, Near Petrol Pump Saharanpur",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9576067,77.5551225
T.B. Hospital Saharanpur,Unknown,Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.954902,77.5625445
UHC Nehru Market,"Shri ram Chowk, Kishanpura/ ward no 11, Old Hospital Nehru Market",Unknown,Unknown,247001,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.9672877,77.5452322
UPHC Kamela Colony,"Kamela Road, Kamela Colony/ ward no 31, Kamela Colony",Unknown,Unknown,247001,Uttar Pradesh,Unknown,Unknown,centre,Unknown,Unknown,Unknown,29.9739493,77.530818
Government Hospital Ashok Vihar Ojpura,"Ojpura / ward no 44, ITC Road Ojpura",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9460742,77.5367363
Ramayan Hospital,"Navin Nagar, Gawaleera",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9406645,77.5363243
Aneja Hospital,"Mata Shakumbhari Devi Road, Jwala Nagar, Saharanpur",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9674986,77.5500943
Megacity Hospital,"Delhi Road, Adj Gng Mall And Paramount Tulip Township, VPO, Mavi Kalan",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9244025,77.5241599
Jaccha Baccha Hospital,"Matia Mahal Road, Nawabganj, Saharanpur",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9719242,77.5509596
City Hospital,"Avas Vikas Colony, Police Line, Saharanpur",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9449656,77.5459755
Life Care Hospital,"Mahipalpur, Saharanpur",Unknown,Unknown,247001,Uttar Pradesh,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,29.9698458,77.576702
